,0,1,2,3,4
0,8,276,"'If you share a house, it’s very likely that other people will get it,” said University of Bonn professor Christian Bayer, who co-authored a new research paper on coronavirus transmission.\n\n'",['Christian Bayer'],University of Bonn
0,12,380,"'The outbreak of coronavirus around the world has brought attention to the need for border security to prevent the spread of infectious diseases, according to former acting U.S. Immigration and Customs Enforcement (ICE) director Tom Homan.\n\n'",['Tom Homan.\\n\\n'],Rice University
0,58,1558,"'Yale University’s Frank Snowden, a pandemic historian, has labelled the Wuhan coronavirus a “disease of globalisation” and said the virus threatens “the economic and political sinews of globalisation, and [is] causing them to unravel to a certain degree”.'",['Frank Snowden'],Yale University
0,72,1948,'Rep. Alexandria Ocasio-Cortez (D-NY) has called ICE’s detention of illegal aliens and border-crossers during the coronavirus crisis “a humanitarian crisis that is right on our doorstep.',['Alexandria Ocasio-Cortez'],Rice University
0,112,3140,"'At a challenging time like this, the ability for our medical students to step forward as new young graduates two months early to help out in a pandemic speaks volumes about our profession,” University of Massachusetts Medical School Chancellor Michael Collins told the Herald.\n\n'",['Michael Collins'],University of Massachusetts
0,124,3425,"'The Ford and GE Healthcare teams, working creatively and tirelessly, have found a way to produce this vitally needed ventilator quickly and in meaningful numbers,” said Jim Hackett, Ford’s president and CEO.'",['Jim Hackett'],University of Oxford
0,129,3590,"'No one person, country, or ethnicity created this pandemic — disease does not discriminate,” University of Wisconsin, Madison, Chancellor Rebecca Black said.'","['Madison', 'Rebecca Black']",University of Wisconsin-Madison
0,165,4324,"'The Chinese government has been trying to project Chinese state power beyond its borders and establish China as a global leader, not dissimilar to what the U.S. government has been doing for the better part of a century, and the distribution of medical aid is part of this mission,” argued Dr. Yangyang Cheng, a postdoctoral research associate at Cornell University and columnist for SupChina.\n\n'",['Yangyang Cheng'],Cornell University
0,205,5199,"'ERCOT and Texas utilities are no strangers to emergency preparedness,” State Senator Kelly Hancock (R, North Richland Hills), chairman of the Senate’s Business and Commerce committee that is responsible for oversight of ERCOT, told Breitbart Texas in response to an email inquiry.'",['Kelly Hancock'],Pennsylvania State University
0,245,6443,"'At this time, all Bolivians have a duty and obligation to accompany and, consciously, abide by the measures [issued] such as staying at home, which is one of the mandatory measures we have to commit to,” Senator Efraín Chambi, the head of the MAS party, said in a statement this weekend.\n\n'",['Efraín Chambi'],McMaster University
0,289,7332,"'The damage from CO2 just accumulates, so every ton we don’t release is not inflicted on the environment, but if everything goes back to business as usual when this ends, it won’t have much of an impact,” said David Archer, a professor of geophysical sciences at the University of Chicago.\n\n'",['David Archer'],University of Chicago
0,290,7333,'A Northwestern University spokesperson said that he encouraged Professor Stevens to “work within the parameters defined by the Provost last night regarding making final examinations and assessments optional.”\n\n',['Stevens'],Northwestern University
0,311,7750,"'Actor Michael Rapaport viciously attacked First Lady Melania Trump on Sunday, calling her a “dumb animal,” in response to her coronavirus PSA in which Mrs. Trump suggested safety tips and said “while many of us are apart, we are all in this together.'","['Michael Rapaport', 'Melania Trump']",Uppsala University
0,320,8003,"'However, states would be better off taking small steps at first when it comes to voting by mail, according to\xa0Charles Stewart, a professor of political science at the Massachusetts Institute of Technology.\n\n'",['Stewart'],Massachusetts Institute of Technology
0,327,8114,"'We’re looking at feasibility,” Ford spokesman T.R. Reid said.'",['T.R. Reid'],University of Oxford
0,350,8498,"'Secretary of State Mike Pompeo on Thursday said Michael White has been “wrongfully detained by the Iranian regime” and called for his full release, along with “all wrongfully detained Americans in Iran.'","['Michael White', 'Mike Pompeo']",Pennsylvania State University
0,351,8498,"'Secretary of State Mike Pompeo on Thursday said Michael White has been “wrongfully detained by the Iranian regime” and called for his full release, along with “all wrongfully detained Americans in Iran.'","['Michael White', 'Mike Pompeo']",Pennsylvania State University
0,360,8920,"'The paper that recently published, these are under ideal sort of experimental situations,” said Joseph Vinetz, a professor of medicine at Yale University and infectious disease researcher who was not affiliated with the study.'",['Joseph Vinetz'],Yale University
