,0,1,2,3,4
0,0,75.0,"'Sunday on NBC’s “Meet the Press,”\xa0Gov. Jay Inslee (D-WA) claimed President Donald Trump was saying the coronavirus “was a hoax” while “we were acting to save the lives of our citizens.'","['Jay Inslee', 'Donald Trump']",Hour and Wage Division (WHD)
0,4,107.0,"'and they can’t wash their hands,” she added, while calling for the “French state to intervene”\n\nIn response to the crossings, the Home Office said that Home Secretary Priti Patel and the French Minister of the Interior Christophe Castaner have “reaffirmed their commitment to tackling this issue since the outbreak of coronavirus.'",['Priti Patel'],Armed Forces Retirement Home
0,5,131.0,'The Chicago Tribune reports\xa022-year-old\xa0Darnell J. McGee died after three attackers “jumped out of a silver Audi and opened fire” just after 7 p.m.\n\nMcGee was shot several times and “pronounced dead at the scene.',['J. McGee'],Defense Contract Audit Agency
0,16,507.0,"'Sen. Elizabeth Warren (D-MA) is demanding the racial data of those contracting the novel coronavirus, contending that it is “critical to ensuring an equitable and just response to this crisis across the board.'",['Elizabeth Warren'],Bureau of Land Management (BLM)
0,22,595.0,"'U.S. House Speaker Nancy Pelosi said Friday that vote-by-mail is an “essential” part of protecting America’s democracy and claimed there is “no legitimate argument against enacting it.', 'There is no legitimate argument against enacting it.'",['Nancy Pelosi'],Congress—U.S. House of Representatives
0,31,854.0,"'We’re bringing them on as fast as we can bring them on,” Navy spokeswoman Elizabeth Baker said.\n\n'",['Elizabeth Baker'],Navy
0,37,1096.0,"'On Thursday’s broadcast of CBS’ “Late Show,” House Speaker Nancy Pelosi (D-CA) stated that Democrats hope to get more funding for voting by mail into the coronavirus funding bill, and that Democrats want at least $2 billion “to protect the integrity of our election-critical infrastructure as well as to promote voting by mail.', 'We need at least five times that much in order to really meet the needs, to protect the integrity of our election-critical infrastructure as well as to promote voting by mail.'",['Nancy Pelosi'],Congress—U.S. House of Representatives
0,38,1234.0,"'The president authorized Secretary of Homeland Security Chad Wolf for FEMA “to acquire, from any appropriate subsidiary or affiliate of 3M Company, the number of N-95 respirators that the Administrator determines to be appropriate.'",['Chad Wolf'],Department of Homeland Security (DHS)
0,43,1242.0,"'We don’t want people to get an artificial sense of protection because they’re behind a mask,” Birx said during the White House press briefing on Thursday.\n\n'",['Birx'],White House
0,44,1245.0,"'There are 60 million people in Hubei [the province where Wuhan is located], and they have all just been left to live or die without any help,” Zhang Ruyi, a Wuhan resident, told Radio Free Asia.'",['” Zhang Ruyi'],Radio Free Asia (RFA)
0,47,1312.0,"'These numbers underscore the risks that the men and women at DHS are taking every day to protect public safety,” John Sandweg, former acting director of the Immigration and Customs Enforcement (ICE) agency in the Obama administration, said in the Times report.'","['Obama', 'John Sandweg']",Immigration and Customs Enforcement (ICE)
0,51,1405.0,"'While the current [coronavirus] specific research is limited, the results of available studies are consistent with aerosolization of virus from normal breathing,” Dr. Fineberg wrote in the letter to the White House.\n\n'",['Fineberg'],White House
0,53,1483.0,"'Senate Majority Leader Mitch McConnell (R-KY) told House Speaker Nancy Pelosi (D-CA) to “stand down” as she prepares to position Democrats to use the next economic relief bill to pursue progressive agenda items, also warning Republicans that she is “looking for a way to jam us.”\n\n“', 'While McConnell remains open to bipartisan discussions and solutions, he reemphasized that Pelosi’s first proposal remains a nonstarter moving forward and effectively warned the GOP that Pelosi is “looking for a way to jam us.”\n\n', 'What’s really happening here is, she’s looking for a way to jam us.”\n\nPelosi has publicly admitted\xa0she is looking to pack the next phase of relief with agenda items that have little to do with the crisis at hand, including changes to the way the U.S. conducts elections — a longterm goal Democrats have continued to slowly chip away at over the years.\n\n'","['Mitch McConnell', 'Nancy Pelosi']",Senate
0,54,1483.0,"'Senate Majority Leader Mitch McConnell (R-KY) told House Speaker Nancy Pelosi (D-CA) to “stand down” as she prepares to position Democrats to use the next economic relief bill to pursue progressive agenda items, also warning Republicans that she is “looking for a way to jam us.”\n\n“', 'While McConnell remains open to bipartisan discussions and solutions, he reemphasized that Pelosi’s first proposal remains a nonstarter moving forward and effectively warned the GOP that Pelosi is “looking for a way to jam us.”\n\n', 'What’s really happening here is, she’s looking for a way to jam us.”\n\nPelosi has publicly admitted\xa0she is looking to pack the next phase of relief with agenda items that have little to do with the crisis at hand, including changes to the way the U.S. conducts elections — a longterm goal Democrats have continued to slowly chip away at over the years.\n\n'","['Mitch McConnell', 'Nancy Pelosi']",Senate
0,63,1644.0,"'After Pearl Harbor and 9/11, we looked at what went wrong to learn from our mistakes,” Schiff, who led the House Democrats’ impeachment effort as the outbreak started to spread, tweeted on Wednesday.'",['Schiff'],Congress—U.S. House of Representatives
0,65,1768.0,'Chairman of the Joint Chiefs of Staff Army Gen. Mark Milley added that intelligence showed that drug cartels were trying to take advantage of the coronavirus crisis and try to “infiltrate additional drugs into our country.',['Mark Milley'],Joint Chiefs of Staff
0,67,1772.0,"'On Wednesday’s broadcast of the Fox News Channel’s “Ingraham Angle,” House Minority Leader Kevin McCarthy (R-CA) stated that after the coronavirus epidemic subsides, we cannot allow China “to control a supply chain in any industry.', 'But what we will not get back to is allowing China to control a supply chain in any industry.'","['Ingraham Angle', 'Kevin McCarthy']",Congress—U.S. House of Representatives
0,70,1919.0,"'The Last Word,” House Intelligence Committee chairman Rep. Adam Schiff (D-CA), one of the House impeachment managers of the impeachment of President Donald Trump, said those blaming impeachment for Trump’s delayed reaction to the coronavirus pandemic were acknowledging “the administration screwed up this response.', 'Yeah, the president said something similar, which, you know, was an interesting acknowledgment that the administration screwed up this response.'","['Donald Trump', 'Adam Schiff']",Congress—U.S. House of Representatives
0,73,1977.0,"'We’ll be expediting — people are moving off the ship as we’re briefing right now,” said Chief Naval Officer Adm. Michael Gilday during a Pentagon briefing.\n\n'",['Michael Gilday'],Pentagon Force Protection Agency
0,81,2298.0,"'In an open letter sent to the head of NHSX and to Health Secretary Matt Hancock, a group of\xa0“responsible technologists” decried the project, writing that\xa0“location and contact tracking technology could be used as a means of social control”.'",['Matt Hancock'],Agency for Healthcare Research and Quality (AHRQ)
0,85,2353.0,'President Donald Trump’s presence during his regular White House coronavirus press briefings and is begging the commander in chief to “move out of the way.',['Donald Trump'],White House
0,88,2355.0,"'These videos came out at the time when coronavirus was spreading in China and around the world, when most Chinese companies were shutting down and no-one was working,” Alim Seytoff, a journalist with RFA, told Bitter Winter.'","['Bitter Winter', '” Alim Seytoff']",Radio Free Asia (RFA)
0,118,3293.0,"'In,” host Chris Hayes stated that it’s “crazy” to him that media outlets are still taking the White House’s coronavirus briefings live, “when you’ve got the MyPillow guy getting up there talking about reading the Bible.', 'I don’t make the call if we take him or not, but it seems crazy to me that everyone’s still taking them when you’ve got the MyPillow guy getting up there talking about reading the Bible.'",['Chris Hayes'],White House
