,0,1,2,3,4
0,75,"'Sunday on NBC’s “Meet the Press,”\xa0Gov. Jay Inslee (D-WA) claimed President Donald Trump was saying the coronavirus “was a hoax” while “we were acting to save the lives of our citizens.'","['Jay Inslee', 'Donald Trump']","['NBC', 'D-WA']",Breitbart
0,86,"'All of us should stop broadcasting it, honestly,” MSNBC host Rachel Maddow said last month.'",['Rachel Maddow'],['MSNBC'],Breitbart
0,96,"'According to Victor Manuel Presichi Amador, the president of the National Association of Tracking and Monitoring Companies (ANERPV), criminal organizations could be responsible for up to a 50 percent increase in the theft of food, medicine, and essential items to supply the growing demand in the black market.'",['Victor Manuel Presichi Amador'],"['ANERPV', 'the National Association of Tracking and Monitoring Companies']",Breitbart
0,100,"'Now, three months into the crisis, that stockpile is nearly drained just as the numbers of patients needing critical care is surging,” AP stated, and received comment from former Obama Health and Human Services Secretary Kathleen Sebelius, who told the wire service, “'",['Kathleen Sebelius'],"['AP', 'Obama Health and Human Services']",Breitbart
0,107,"'and they can’t wash their hands,” she added, while calling for the “French state to intervene”\n\nIn response to the crossings, the Home Office said that Home Secretary Priti Patel and the French Minister of the Interior Christophe Castaner have “reaffirmed their commitment to tackling this issue since the outbreak of coronavirus.'",['Priti Patel'],"['Home', 'the Home Office']",Breitbart
0,131,'The Chicago Tribune reports\xa022-year-old\xa0Darnell J. McGee died after three attackers “jumped out of a silver Audi and opened fire” just after 7 p.m.\n\nMcGee was shot several times and “pronounced dead at the scene.',['J. McGee'],['Audi'],Breitbart
0,276,"'Soon, we will no longer be able to help our most fragile citizens,” said\xa0Valeria Mancinelli, the mayor of Ancona, a city located in Italy’s Marche region, closer to Rome.\n\n'",['Rome.\\n\\n'],['Mancinelli'],Breitbart
0,276,"'I didn’t know that there were 100,000 Chinese living in northern Italy, and that many of them come from Wuhan, and that there was a flight between Milan and Wuhan,” said Newt Gingrich, who is in Italy with his wife, Callista, the current U.S. ambassador to the Holy See.\n\n'","['Newt Gingrich', 'Callista']","[""the Holy See.\\n\\n'""]",Breitbart
0,276,"'If you share a house, it’s very likely that other people will get it,” said University of Bonn professor Christian Bayer, who co-authored a new research paper on coronavirus transmission.\n\n'",['Christian Bayer'],['University of Bonn'],Breitbart
0,276,"'The coronavirus opens a disturbing scenario,” said Andrea Delmastro Delle Vedove, an Italian politician\xa0from the national-conservative Fratelli d’Italia party.'",['Andrea Delmastro Delle Vedove'],['Fratelli'],Breitbart
0,296,"'My preference is let’s get to work and go play,” Swinney told ESPN.'",['Swinney'],['ESPN'],Breitbart
0,307,"'On Friday’s “PBS NewsHour,”\xa0New York Times\xa0columnist David Brooks sharply criticized the coronavirus relief bill as “one of the worst economic packages, maybe in American history, certainly in a time of crisis.', 'I would say that, when we look at the bill that was passed by Congress a couple of weeks ago, the stimulus bill, we’ll regard it as one of the worst economic packages, maybe in American history, certainly in a time of crisis.'",['David Brooks'],['PBS'],Breitbart
0,380,"'The outbreak of coronavirus around the world has brought attention to the need for border security to prevent the spread of infectious diseases, according to former acting U.S. Immigration and Customs Enforcement (ICE) director Tom Homan.\n\n'",['Tom Homan.\\n\\n'],"['U.S. Immigration and Customs Enforcement', 'ICE']",Breitbart
0,392,"'We have come across a few cases where people have lost their visa status and are advising them to apply for a B-1/B2 tourist visa which gets them six more months in the country legally,” Matthew Maiona, an immigration attorney at Boston-based Maiona Ward,\xa0told the Times of India.\n\n'",['Matthew Maiona'],"[""the Times of India.\\n\\n'"", 'Maiona Ward,\\xa0told']",Breitbart
0,447,"'Singer-songwriter and actress Sara Bareilles told fans on Friday that she had the coronavirus but has since “fully recovered.”\n\nThe Waitress star and Grammy-winner told fans in a video posted to Instagram that she is “grateful for every easy breath” after beating the dreaded virus.\n\n', 'And I am just thinking about all the people who are walking through this really tricky time and sending a lot of love and just being really grateful for every easy breath and every day that I get to be walking around.'","['Sara Bareilles', 'Waitress']",['Grammy'],Breitbart
0,501,"'During an interview broadcast on Friday’s “PBS NewsHour,” Coronavirus Task Force member Dr. Anthony Fauci stated that without China’s “delay in transparency” on the coronavirus, “other countries would have maybe been more quick on the trigger to try and inhibit travel from China to their country.', 'is that, if we had known that this was highly transmissible early on, when it was just in China, I think other countries would have maybe been more quick on the trigger to try and inhibit travel from China to their country.'",['Anthony Fauci'],['Coronavirus Task Force'],Breitbart
0,507,"'Sen. Elizabeth Warren (D-MA) is demanding the racial data of those contracting the novel coronavirus, contending that it is “critical to ensuring an equitable and just response to this crisis across the board.'",['Elizabeth Warren'],['D-MA'],Breitbart
0,509,"'The most important thing farm employers should do now is devise safety plans and procedures and procure additional safety and sanitation equipment,” EPI researchers Daniel Costa and Philip Martin write.'","['Philip Martin', 'Daniel Costa']",['EPI'],Breitbart
0,509,"'We’re really concerned, especially given that a lot of them live in bunker-style housing,” a spokesperson with the left-wing\xa0Central Coast Alliance United for a Sustainable Economy group told the Santa Maria Sun.\n\n'","[""Maria Sun.\\n\\n'""]","['Coast Alliance United', 'Sustainable Economy']",Breitbart
0,583,"'Grupo Modelo announces that this Sunday it will complete the process of suspending its production and marketing operations for beer,” wrote Grupo Modelo, per a translation of a\xa0press release\xa0reported by Fox News.\n\n'",['Grupo Modelo'],"[""Fox News.\\n\\n'""]",Breitbart
0,593,"'Georgia-Pacific, which sells to both retail and commercial, told Medium “its commercial products also use more recycled fiber, while the retail sheets for its consumer brands Angel Soft and Quilted Northern are typically 100 percent virgin fiber.”\n\n'",['Medium'],['Georgia-Pacific'],Breitbart
0,593,"'Not only is it not the same product, but it often doesn’t come from the same mills,” Jim Luke, a professor of economics at Lansing Community College, who once was head of planning for a wholesale paper distributor, said in the Medium report.'",['Jim Luke'],['Lansing Community College'],Breitbart
0,595,"'U.S. House Speaker Nancy Pelosi said Friday that vote-by-mail is an “essential” part of protecting America’s democracy and claimed there is “no legitimate argument against enacting it.', 'There is no legitimate argument against enacting it.'",['Nancy Pelosi'],['House'],Breitbart
0,651,"'Right now, burglaries have spiked 20 percent,” Chief Acevedo told Breitbart Texas in a phone interview.'",['Acevedo'],['Breitbart Texas'],Breitbart
0,656,"'Earlier this week, Jane Fonda promoted the virtual protest via TikTok, posting a faux exercise video in which she encouraged people to “work out with me for the planet.”\n\n '",['Jane Fonda'],['TikTok'],Breitbart
0,693,"'I am so proud to have been chosen to announce MAC Cosmetics efforts, because MAC Viva Glam has a special place in my heart,” said Cyrus, adding that “100 percent of the proceeds” of VIVA GLAM lipsticks will go toward these local organizations.\n\n'",['Cyrus'],['VIVA GLAM'],Breitbart
0,693,"'I am so proud to have been chosen to announce MAC Cosmetics efforts, because MAC Viva Glam has a special place in my heart,” said Cyrus, adding that “100 percent of the proceeds” of VIVA GLAM lipsticks will go toward these local organizations.\n\n'",['Cyrus'],"['MAC Viva Glam', 'MAC Cosmetics']",Breitbart
0,693,"'From the bottom of our hearts, THANK YOU [Kylie Jenner].”\n\nSinger Ciara and her husband NFL quarterback Russell Wilson have also announced that they are donating 1 million meals to the Seattle food bank Food Lifeline — through the organization Feeding America.\n\n'","['Russell Wilson', 'Ciara']",['NFL'],Breitbart
0,729,"'I will get pain in my face now, headaches, profuse sweating,” Cuomo told CNN host Anderson Cooper Thursday.'","['Anderson Cooper', 'Cuomo']",['CNN'],Breitbart
0,763,"'Gallera added that the numbers in Lombardy are “comforting,” and that “growth has stopped, and we are in a stabilization phase that tends to decrease.'",['Gallera'],['Lombardy'],Breitbart
0,840,"'TMZ reports\xa0that Amazon CEO and richest man in the world Jeff Bezos has donated $100 million to the non-profit group Feeding America in order to help replenish the stores of food banks and pantries across America with the goal of\xa0“getting food to those countless families who need it.', 'Feeding America will quickly distribute the funds to their national network of food banks and food pantries, getting food to those countless families who need it.\u2063\n\n \u2063\n\n Feeding America is the largest non-profit focused on food security.'",['Jeff Bezos'],"['Amazon', 'TMZ']",Breitbart
0,854,"'We’re bringing them on as fast as we can bring them on,” Navy spokeswoman Elizabeth Baker said.\n\n'",['Elizabeth Baker'],['Navy'],Breitbart
0,858,"'The American people want to know where this virus came from and who is responsible for it, but our laws shield the Chinese Communist Party from legal action,” Gooden told Breitbart News in an exclusive comment.\n\n'",['Gooden'],['Breitbart News'],Breitbart
0,867,"'A lot of people are suffering,” Kudlow told Fox News.'",['Kudlow'],['Fox News'],Breitbart
0,996,"'He also accused them of having “little concern for law, integrity, the Constitution and America.”\n\nFollowing a series of bomb threats against Barack Obama and other high-profile Democratic politicians, the 60-year-old also described Trump as a “disgraceful sub-human”\xa0whose supporters have “something fundamentally wrong with them.'",['Barack Obama'],['Trump'],Breitbart
0,996,"'He also accused them of having “little concern for law, integrity, the Constitution and America.”\n\nFollowing a series of bomb threats against Barack Obama and other high-profile Democratic politicians, the 60-year-old also described Trump as a “disgraceful sub-human”\xa0whose supporters have “something fundamentally wrong with them.'",['Barack Obama'],['Trump'],Breitbart
0,1016,"'Chris Fleming, spokesman for Accountable for Equality, stated that this behavior is “despicable and flat out blasphemous.'",['Chris Fleming'],['Accountable for Equality'],Breitbart
0,1096,"'On Thursday’s broadcast of CBS’ “Late Show,” House Speaker Nancy Pelosi (D-CA) stated that Democrats hope to get more funding for voting by mail into the coronavirus funding bill, and that Democrats want at least $2 billion “to protect the integrity of our election-critical infrastructure as well as to promote voting by mail.', 'We need at least five times that much in order to really meet the needs, to protect the integrity of our election-critical infrastructure as well as to promote voting by mail.'",['Nancy Pelosi'],"['CBS', 'D-CA', 'House']",Breitbart
0,1234,"'The president authorized Secretary of Homeland Security Chad Wolf for FEMA “to acquire, from any appropriate subsidiary or affiliate of 3M Company, the number of N-95 respirators that the Administrator determines to be appropriate.'",['Chad Wolf'],"['FEMA', 'Homeland Security']",Breitbart
0,1237,"'Thursday on MSNBC, Sen. Kirsten Gillibrand (D-NY) said President Donald Trump had put America “behind by months in preparation” on the coronavirus pandemic\xa0because of his unwillingness to act and lead.\n\n', 'He’s put us behind by months in preparation because of his unwillingness to act and lead.'","['Kirsten Gillibrand', 'Donald Trump']","['MSNBC', 'D-NY']",Breitbart
0,1239,"'Dayle Steinberg, chair of Planned Parenthood Pennsylvania Advocates and President and CEO of Planned Parenthood of Southeastern Pennsylvania, said in a statement that the state health department “confirmed that abortion care is essential, and must remain so during this public health crisis.'",['Dayle Steinberg'],"['Planned Parenthood Pennsylvania Advocates', 'Planned Parenthood of Southeastern Pennsylvania']",Breitbart
0,1239,"'Planned Parenthood Keystone has also been seeking protective medical equipment such as “hand sanitizer, home-sewn masks, shoe covers, and surgical hats” to perform its elective abortions:\n\nSusan B. Anthony List President Marjorie Dannenfelser said in a statement sent to Breitbart News that Wolf’s decision to allow elective abortions is “unconscionable” at a time “when all resources are needed for essential medical procedures.'","['B. Anthony List', 'Wolf', 'Marjorie Dannenfelser']",['Breitbart News'],Breitbart
0,1239,"'Planned Parenthood Keystone has also been seeking protective medical equipment such as “hand sanitizer, home-sewn masks, shoe covers, and surgical hats” to perform its elective abortions:\n\nSusan B. Anthony List President Marjorie Dannenfelser said in a statement sent to Breitbart News that Wolf’s decision to allow elective abortions is “unconscionable” at a time “when all resources are needed for essential medical procedures.'","['B. Anthony List', 'Wolf', 'Marjorie Dannenfelser']",['Breitbart News'],Breitbart
0,1242,"'We don’t want people to get an artificial sense of protection because they’re behind a mask,” Birx said during the White House press briefing on Thursday.\n\n'",['Birx'],['White House'],Breitbart
0,1245,"'There are 60 million people in Hubei [the province where Wuhan is located], and they have all just been left to live or die without any help,” Zhang Ruyi, a Wuhan resident, told Radio Free Asia.'",['” Zhang Ruyi'],['Radio Free Asia'],Breitbart
0,1295,'Hong Kong Journalists Association chairman Chris Yeung said the official reprimand of RTHK would “cast a long shadow on journalists for them to think twice when they ask similar questions next time because that could cross what officials deem as a political red line.',['Chris Yeung'],['Hong Kong Journalists Association'],Breitbart
0,1295,"'RTHK itself on Thursday rejected the Commerce and Economic Development Bureau statement as an assault on its editorial freedom, saying Tong’s interview with Aylward “did not violate the ‘One Country, Two Systems’ principle, nor did it violate the Radio Television Hong Kong Charter.”\n\n“'",['Tong'],['the Commerce and Economic Development Bureau'],Breitbart
0,1312,"'These numbers underscore the risks that the men and women at DHS are taking every day to protect public safety,” John Sandweg, former acting director of the Immigration and Customs Enforcement (ICE) agency in the Obama administration, said in the Times report.'","['Obama', 'John Sandweg']","['the Immigration and Customs Enforcement (ICE', 'Times']",Breitbart
0,1321,"'“Ben is a gift that was given to us that we were happy and privileged to have had for 30 years,” his father, Bill, told WABC TV.\n\n'",['Bill'],['WABC'],Breitbart
0,1321,"'It’s a shocking loss,” the legendary team’s head coach, Greg Butler, told the NJ.com.'",['Greg Butler'],['’s'],Breitbart
0,1403,"'We are experiencing\xa0an unprecedented historical demand on the system.”\n\nMooradian, meanwhile, was more direct, demanding Whitmer “fix the damn 800-number,” a play on the governor’s promise as a candidate to “fix the damn roads.”\n\n'",['Whitmer'],['’s'],Breitbart
0,1405,"'While the current [coronavirus] specific research is limited, the results of available studies are consistent with aerosolization of virus from normal breathing,” Dr. Fineberg wrote in the letter to the White House.\n\n'",['Fineberg'],"[""the White House.\\n\\n'""]",Breitbart
0,1483,"'She needs to stand down on the notion that we’re going to go along with taking advantage of the crisis to do things that are unrelated to the crisis,” McConnell said during an interview with the Washington Post this week.\n\n'",['McConnell'],['the Washington Post'],Breitbart
0,1483,"'Senate Majority Leader Mitch McConnell (R-KY) told House Speaker Nancy Pelosi (D-CA) to “stand down” as she prepares to position Democrats to use the next economic relief bill to pursue progressive agenda items, also warning Republicans that she is “looking for a way to jam us.”\n\n“', 'While McConnell remains open to bipartisan discussions and solutions, he reemphasized that Pelosi’s first proposal remains a nonstarter moving forward and effectively warned the GOP that Pelosi is “looking for a way to jam us.”\n\n', 'What’s really happening here is, she’s looking for a way to jam us.”\n\nPelosi has publicly admitted\xa0she is looking to pack the next phase of relief with agenda items that have little to do with the crisis at hand, including changes to the way the U.S. conducts elections — a longterm goal Democrats have continued to slowly chip away at over the years.\n\n'","['Mitch McConnell', 'Nancy Pelosi']","['House', 'D-CA', 'Senate']",Breitbart
0,1483,"'Senate Majority Leader Mitch McConnell (R-KY) told House Speaker Nancy Pelosi (D-CA) to “stand down” as she prepares to position Democrats to use the next economic relief bill to pursue progressive agenda items, also warning Republicans that she is “looking for a way to jam us.”\n\n“', 'While McConnell remains open to bipartisan discussions and solutions, he reemphasized that Pelosi’s first proposal remains a nonstarter moving forward and effectively warned the GOP that Pelosi is “looking for a way to jam us.”\n\n', 'What’s really happening here is, she’s looking for a way to jam us.”\n\nPelosi has publicly admitted\xa0she is looking to pack the next phase of relief with agenda items that have little to do with the crisis at hand, including changes to the way the U.S. conducts elections — a longterm goal Democrats have continued to slowly chip away at over the years.\n\n'","['Mitch McConnell', 'Nancy Pelosi']","['House', 'D-CA', 'Senate']",Breitbart
0,1489,"'Joe Solmonese, the convention’s chief executive, told the New York Times that continuing the event on this postponed date “is the best-case scenario in terms having the convention that we had originally envisioned and also keeping it anchored in the state of Wisconsin.”\n\n'",['Joe Solmonese'],['the New York Times'],Breitbart
0,1494,"'Rep. Alexandria Ocasio-Cortez (D-NY) said during a live Q&A on Wednesday that President Trump is displaying an “epic level of negligence and incompetence that is costing human lives” during the coronavirus pandemic and suggested that people are dying because the president ignored scientists.\n\n', '’s tone of his voice instead of what he’s actually saying” and declared that Trump is “conveying an epic level of negligence and incompetence that is costing human lives”:\n\n'","['Alexandria Ocasio-Cortez', 'Trump']",['Q&A'],Breitbart
0,1495,"'Right now, burglaries have spiked 20 percent,” Chief Acevedo told Breitbart Texas in a phone interview.'",['Acevedo'],['Breitbart Texas'],Breitbart
