,0,1,2,3,4
0,27,693.0,"'From the bottom of our hearts, THANK YOU [Kylie Jenner].”\n\nSinger Ciara and her husband NFL quarterback Russell Wilson have also announced that they are donating 1 million meals to the Seattle food bank Food Lifeline — through the organization Feeding America.\n\n'","['Russell Wilson', 'Ciara']",Dragonfly
0,30,840.0,"'TMZ reports\xa0that Amazon CEO and richest man in the world Jeff Bezos has donated $100 million to the non-profit group Feeding America in order to help replenish the stores of food banks and pantries across America with the goal of\xa0“getting food to those countless families who need it.', 'Feeding America will quickly distribute the funds to their national network of food banks and food pantries, getting food to those countless families who need it.\u2063\n\n \u2063\n\n Feeding America is the largest non-profit focused on food security.'",['Jeff Bezos'],Amazon Environmental Research Institute
0,64,1654.0,"'Now, the ground floor of the prison is in the hands of the brigands so we cannot break into that floor,” Rubar Hassan told Rudaw, referring to ISIS militants.'","['Rubar Hassan', 'Rudaw']",International Crisis Group
0,66,1770.0,"'The letters were sent out in recognition that as people are working or self-isolating at home, there is more pressure on domestic supplies, with weekday usage akin to levels seen on the weekend, according to University of Strathclyde professor and co-director of the UK Energy Research Centre, Keith Bell.\n\n'","[""Keith Bell.\\n\\n'""]",Energy Research Centre
0,86,2354.0,"'The coronavirus pandemic and shocks in global energy markets have impacted all manufacturing sector,”\xa0said ISM’s Tim Fiore.\n\n'","[""Tim Fiore.\\n\\n'""]",Liberal Criticism
0,89,2355.0,"'Taiwan’s\xa0Institute for National Defense and Security Research (INDSR) recently published comments by a national military official, chief of\xa0Division of Non-traditional Security and Military Missions Tsun-yen Wang, concluding that “Xinjiang Uyghurs, who are strictly controlled and are not able to resist, have become the easiest to secure for labour use to support China’s precarious economic security.”\n\n'",['Missions Tsun-yen Wang'],Institute for National Defense and Security Research
0,102,2924.0,"'While this is, as DOH spokeswoman Amy Reynolds said, “a little bit of good news,” the Seattle Times notes that the survey data does not necessarily provide a full picture, as it does not include reporting from “16% of [the] state’s hospital emergency rooms.”\n\n“'",['Amy Reynolds'],Brookings Doha Center
0,103,2924.0,"'While this is, as DOH spokeswoman Amy Reynolds said, “a little bit of good news,” the Seattle Times notes that the survey data does not necessarily provide a full picture, as it does not include reporting from “16% of [the] state’s hospital emergency rooms.”\n\n“'",['Amy Reynolds'],Brookings Doha Center
0,109,3027.0,"'“Consumer confidence declined sharply in March due to a deterioration in the short-term outlook,” said Lynn Franco, Senior Director of Economic Indicators at The Conference Board.'",['Lynn Franco'],The Conference Board
0,131,3663.0,"'I am edified by the reaction of so many people — doctors, nurses, nurses, volunteers, religious, priests — who risk their lives to care for and defend healthy people from contagion,” the pope said in a handwritten letter sent Saturday to Buenos Aires judge Roberto Andrés Gallardo and made public in part by the state-run Télam news agency.\n\n'",['Roberto Andrés Gallardo'],Whitlam Institute
0,144,4007.0,"'A hate crime is when someone commits a crime against you because of your disability, gender, identity, race, or sexual orientation, religion, or any other actual or perceived difference,” intoned an officer identified as “Constable Paul” in the video message\xa0the Met shared to social media.\n\n'",['Constable Paul”'],ECONOMETRICA`
0,154,4127.0,"'”\n\nDesmond Lachman, an analyst at the American Enterprise Institute, has also stated that the ECB would have very few options other than to help Italy, saying: “After all, being a founding member of the euro and the third member of the eurozone, the euro could not survive without Italy.'",['Lachman'],American Enterprise Institute 
0,166,4324.0,"'This could be the first major global crisis in decades without meaningful U.S. leadership and with significant Chinese leadership,” noted Rush Doshi, director of the China Strategy Initiative at the Brookings Institution in Washington.\n\n'",['Rush Doshi'],Brookings Institution
0,167,4324.0,"'I think this also shows what climate change could look like in the future,” Maçães added, “less an opportunity for global cooperation and more the background for geopolitical competition, with every major actor trying to do better than its rivals.”\n\nPeter Rough, former research director for President George W. Bush and a fellow at the Hudson Institute, questioned China’s motives in selectively providing aid to certain countries.\n\n'","['Maçães', 'George W. Bush']",Hudson Institute
0,168,4324.0,"'The coronavirus pandemic has become a battleground,” said Bruno Maçães, a former secretary of state for European Affairs in Portugal.'",['Bruno Maçães'],Institute of International and European Affairs
0,180,4484.0,"'If the H-1B program is just for filling jobs that Americans cannot fill amid for labor shortages, then this would not be happening,” said John Miano, a lawyer with the Immigration Law Reform Institute.'",['John Miano'],Reform
0,254,6727.0,"'Rep. Steve Scalise (R-LA), in a Tuesday appearance on Breitbart News Daily, said Democrats are “taking a wrecking ball to Main Street America” by pushing Speaker Nancy Pelosi’s (D-CA) relief package filled with “liberal wish list” items unrelated to the crisis at hand and demanded Democrats to throw her bill in the trash and provide relief to Americans “today.', 'With every day that Nancy Pelosi and her allies play this dangerous game of chicken with our economy, Alex, they are taking a wrecking ball to Main Street America,” he said.'",['Steve Scalise'],Centre for Land Warfare Studies 
0,270,7072.0,"'“Congress seems hell-bent on replacing Americans with foreigners,” said Mark Krikorian, the director of the Center for Immigration Studies.'",['Mark Krikorian'],Center for Immigration Studies
0,279,7210.0,"'Both sides have since reached an impasse as Pelosi and Schumer are, demonstratively, heeding the advice of\xa0Majority Whip James Clyburn (D-SC), who urged caucus members to view the aid package as a “tremendous opportunity to restructure things to fit our vision” during a conference call last week.\n\n'","['James Clyburn', 'Schumer']",Union of Concerned Scientists
0,298,7404.0,"'Majority Whip James Clyburn (D-SC) demonstrated the mentality of his caucus last week, reportedly pitching\xa0the response package as a “tremendous opportunity to restructure things to fit our vision.'",['James Clyburn'],Union of Concerned Scientists
0,299,7404.0,"'So when the original package — which was agreed upon — was brought up just to allow 30 more hours to debate, Democrats voted against,” Sen. Bill Cassidy (R-LA) said during an interview on SiriusXM’s Breitbart News Sunday.\n\n'",['Bill Cassidy'],Centre for Land Warfare Studies 
0,324,8028.0,"'The trend of doctors emigrating to other countries is at an all-time high,” Chike Nwangwu, head of NOIPolls, told Al Jazeera in Abuja.'",['Nwangwu'],Al Jazeera Centre for Studies
0,409,9968.0,"'We walked two hours and were met by a cop and a translator saying that they just closed the borders,” Jenna Saulo, 26, who lives in Florida said in a phone call from Lima, the Hill reported.\n\n'",['Jenna Saulo'],The Beacon Hill Institute
0,413,10161.0,"'Dr Frantzman warned that Turkey’s “denial of health care” to migrants — an accusation he sources to Human Rights Watch — had taken on “added dimensions amid the coronavirus pandemic”, particularly given a previous admission by Turkish officials that preventing the virus’s spread through migrant encampments was “Mission: Impossible”.\n\n'",['Frantzman'],Human Rights Watch
