,0,1,2,3,4
0,0,2,"'Earlier on Sunday, Surgeon General Jerome Adams predicted that this week would be the ""hardest and the saddest"" for ""most Americans\' lives,"" describing the upcoming period of the coronavirus pandemic in the United States as ""our Pearl Harbor moment.'",['Jerome Adams'],Royal College of Surgeons in Ireland
0,23,269,"'There are reports coming through of people stockpiling their favorite drug or their drug of choice, and of course, that just creates a shortage, which has inevitably led to price increases,"" Ian Hamilton, senior lecturer in addiction and mental health at the University of York, told CNN.'",['Ian Hamilton'],University of York
0,29,394,"'A country that the White House has called a ""strategic competitor""; a country engaged in active influence operations against us; a country the State Department describes as an authoritarian state that engages in gross human rights abuses; a country that the White House said has ""consistently taken advantage of the US economy""; a country whose leadership Secretary of State Mike Pompeo described as a ""substantial threat to our health and way of life""; a country Trump administration officials are blaming for covering up the truth about the coronavirus outbreak.\n\n'",['Mike Pompeo'],Pennsylvania State University
0,42,616,"'""The Department of State\'s Coronavirus Global Response Coordination Unit (CGRCU) maintains an interagency tracker of requests for assistance from foreign governments and authorities and international organizations and is closely coordinating with interagency counterparts on these requests,"" Secretary of State Mike Pompeo wrote in the cable.'",['Mike Pompeo'],Pennsylvania State University
0,43,622,"'""The Department of State\'s Coronavirus Global Response Coordination Unit (CGRCU) maintains an interagency tracker of requests for assistance from foreign governments and authorities and international organizations and is closely coordinating with interagency counterparts on these requests,"" Secretary of State Mike Pompeo wrote in the cable.'",['Mike Pompeo'],Pennsylvania State University
0,45,686,"'We could see it from our windows,"" said Dr. Robert Wachter, professor and chair of the Department of Medicine at University of California, San Francisco.'",['Robert Wachter'],"University of California, Berkeley"
0,66,1055,"'""Vote-by-mail is much more resilient in times of crisis,"" said former Colorado Secretary of State Wayne Williams, a Republican who oversaw several statewide elections with near-universal postal voting.'",['Wayne Williams'],Pennsylvania State University
0,72,1158,"'""You take a jellybean in one hand, and with the other hand you hold your nose tightly so you\'re not getting any air flow,"" said Steven Munger, director of the Center for Smell and Taste at the University of Florida.\n\n'",['Steven Munger'],University of Florida
0,99,1604,"'""Prepare to disembark"" was the long-awaited, reassuring message delivered to passengers by the captain of the Rotterdam, the Zaandam\'s sister ship, on Thursday morning, according to passenger Laura Gabaroni.\n\n'","[""Laura Gabaroni.\\n\\n'""]",Erasmus University Rotterdam
0,100,1629,"'""Prepare to disembark"" was the long-awaited, reassuring message delivered to passengers by the captain of the Rotterdam, the Zaandam\'s sister ship, on Thursday morning, according to passenger Laura Gabaroni.\n\n'","[""Laura Gabaroni.\\n\\n'""]",Erasmus University Rotterdam
0,118,1955,"'In early February -- it seems like a long time ago -- in early February, we transported nearly 18 tons of medical supplies provided by Samaritan\'s Purse, the Church of Jesus Christ of Latter-day Saints and others to Wuhan,"" Secretary of State Mike Pompeo said Tuesday, an apparent response to criticism of that shipment of aid.'",['Mike Pompeo'],Pennsylvania State University
0,130,2094,"'""People understand what a war means, what the consequences of a war mean in terms of pain and loss and death,"" said Dr. Leana Wen, a visiting professor of health policy and management at the George Washington University Milken School of Public Health.'",['Leana Wen'],George Washington University
0,134,2126,"'My longtime friend Dr. Naji Abumrad, who\'s been involved in research at Vanderbilt for many years, informed me that they were making some exciting advancements towards research of the coronavirus for a cure,"" she wrote in a statement posted to Instagram.\n\n'",['Naji Abumrad'],Vanderbilt University
0,152,2622,"'""Democratic leaders have to avoid any statement criticizing the actions of other leaders that might downplay the significance of the pandemic,"" says Nic Cheeseman, professor of democracy at the University of Birmingham.'",['Nic Cheeseman'],University of Birmingham
0,176,3175,"'We\'re emphasizing fever plus a notable lower respiratory tract symptom -- cough or trouble breathing,"" said infectious disease expert Dr. William Schaffner, a professor of preventative medicine and infectious disease at Vanderbilt University School of Medicine in Nashville.\n\n'","['Nashville.\\n\\n', 'William Schaffner']",Vanderbilt University
0,179,3188,"'We\'re emphasizing fever plus a notable lower respiratory tract symptom -- cough or trouble breathing,"" said infectious disease expert Dr. William Schaffner, a professor of preventative medicine and infectious disease at Vanderbilt University School of Medicine in Nashville.\n\n'","['Nashville.\\n\\n', 'William Schaffner']",Vanderbilt University
