,0,1,2,3,4
0,2,49.0,"'Dr. Joneigh Khaldun, the chief deputy director for Health for the Michigan Department of Health and Human Services, said the state is ""a few weeks out from the apex"" of coronavirus cases.'",['Joneigh Khaldun'],Department of Health and Human Services (HHS)
0,6,117.0,"'Defense Secretary Mark Esper on Sunday defended Crozier\'s removal , telling CNN\'s Jake Tapper the move is an example of how ""we hold leaders accountable for their actions.""', ""It's just another example (of) how we hold leaders accountable for their actions.""","['Mark Esper', 'Jake Tapper']",Defense Acquisition University
0,8,167.0,"'""We now think it\'s probably around the 9th of April before we exceed our ventilator capacity based on the current number on hand, and ... we\'re a couple of days behind that on ICU bed capacity being exceeded,"" he told CNN\'s Jake Tapper on ""State of the Union.""\n\nNew Jersey had its second day in a row of more than 4,000 positive cases reported.'",['Jake Tapper'],Agriculture Library
0,9,167.0,"'""We now think it\'s probably around the 9th of April before we exceed our ventilator capacity based on the current number on hand, and ... we\'re a couple of days behind that on ICU bed capacity being exceeded,"" he told CNN\'s Jake Tapper on ""State of the Union.""\n\nNew Jersey had its second day in a row of more than 4,000 positive cases reported.'",['Jake Tapper'],Agriculture Library
0,11,174.0,"'Defense Secretary Mark Esper on Sunday defended the recent removal of the commander of the USS Theodore Roosevelt, who warned that action was needed to save the lives of his crew from an outbreak of coronavirus, saying the move is an example of how ""we hold leaders accountable for their actions.', 'It\'s just another example (of) how we hold leaders accountable for their actions.""\n\n'",['Mark Esper'],Defense Acquisition University
0,14,180.0,"'We now think it\'s probably around the 9th of April before we exceed our ventilator capacity based on the current number on hand and that we\'re a couple of days behind that on ICU bed capacity being exceeded,"" he told CNN\'s Jake Tapper on ""State of the Union.'",['Jake Tapper'],Agriculture Library
0,15,211.0,"'Defense Secretary Mark Esper on Sunday defended the recent removal of the commander of the USS Theodore Roosevelt, who warned that action was needed to save the lives of his crew from an outbreak of coronavirus, saying the move is an example of how ""we hold leaders accountable for their actions.', ""It's just another example (of) how we hold leaders accountable for their actions.""",['Mark Esper'],Defense Acquisition University
0,26,332.0,"'President Donald Trump on Saturday defended his firing of Michael Atkinson , the intelligence community inspector general who told Congress about the whistleblower complaint that led to his eventual impeachment, charging that Atkinson ""did a terrible job, absolutely terrible.'","['Atkinson', 'Michael Atkinson', 'Donald Trump']",Congress—U.S. House of Representatives
0,38,604.0,"'""Today at my direction the commanding officer of the USS Theodore Roosevelt, Captain Brett Crozier, was relieved of command by carrier strike group commander Rear Admiral Stewart Baker,"" acting Secretary of the Navy Thomas Modly announced on Thursday,\n\nThe decision came days after Crozier wrote a memo warning Navy leadership that decisive action was needed to save the lives of the ship\'s crew.'","['Thursday,\\n\\nThe', 'Crozier', 'Thomas Modly']",Navy
0,40,604.0,"'""Given the concerns for the health and safety of the sailors on the USS Theodore Roosevelt, in addition to the potential for future COVID-19 outbreaks on other ships and submarines, we urge you to investigate the Navy\'s response to this outbreak to evaluate whether the Navy is implementing all appropriate precautionary measures and best-practices to protect the safety of our fleet,"" it adds.\n\n'",['Navy\\'],Navy
0,44,667.0,"'At Friday\'s news briefing, Azar defended the administration\'s preparedness efforts, saying, ""We\'ve all been very focused on pandemic preparedness.""'",['Azar'],Administration for Children and Families (ACF)
0,49,702.0,"'""People will initially be asked to wear fabric nonmedical face masks while in the community to reduce their risk of asymptomatic spread,"" stated the paper, which was co-authored by Dr. Scott Gottlieb, Trump\'s former Food and Drug Administration commissioner who has continued to informally advise the White House during the coronavirus outbreak.\n\n'",['Scott Gottlieb'],White House
0,50,705.0,"'""People will initially be asked to wear fabric nonmedical face masks while in the community to reduce their risk of asymptomatic spread,"" stated the paper, which was co-authored by Dr. Scott Gottlieb, Trump\'s former Food and Drug Administration commissioner who has continued to informally advise the White House during the coronavirus outbreak.\n\n'",['Scott Gottlieb'],White House
0,52,737.0,"'""People will initially be asked to wear fabric nonmedical face masks while in the community to reduce their risk of asymptomatic spread,"" stated the paper, which was co-authored by Dr. Scott Gottlieb, Trump\'s former Food and Drug Administration commissioner who has continued to informally advise the White House during the coronavirus outbreak.\n\n'",['Scott Gottlieb'],White House
0,54,800.0,"'""Today at my direction the commanding officer of the USS Theodore Roosevelt, Captain Brett Crozier, was relieved of command by carrier strike group commander Rear Admiral Stewart Baker,"" acting Secretary of the Navy Thomas Modly announced on Thursday,\n\nThe decision came days after Crozier wrote a memo warning Navy leadership that decisive action was needed to save the lives of the ship\'s crew.'","['Thursday,\\n\\nThe', 'Crozier', 'Thomas Modly']",Navy
0,55,817.0,"'""As the physician to the President and White House Operations continue to protect the health and safety of the President and vice president, starting today anyone who is expected to be in close proximity to either of them will be administered a Covid-19 test to evaluate for pre-symptomatic or asymptomatic carriers status to limit inadvertent transmission,"" said deputy White House press secretary Judd Deere in a statement.\n\n'",['Judd Deere'],White House
0,56,872.0,"'The story was not endorsed by, approved by, or even known about by any of the Sapulpa School\'s Administration when it went live on Wednesday morning, but SPS are the ones now having to deal with frantic parents and angry teachers,"" Micah Choquette, the owner and editor of the Sapulpa Times, said in the letter.\n\n'",['Micah Choquette'],Postal Service (USPS)
0,58,895.0,"'Later, when CNN White House Correspondent Jeremy Diamond noted that Trump had said he wanted governors to be ""appreciative"" of him, and that ""if they don\'t treat you right, I don\'t call,"" Trump said, ""But I didn\'t say that"" — even though he said precisely that at the Friday briefing.\n\n'",['Jeremy Diamond'],White House
