,0,1,2,3,4
0,2,"'Earlier on Sunday, Surgeon General Jerome Adams predicted that this week would be the ""hardest and the saddest"" for ""most Americans\' lives,"" describing the upcoming period of the coronavirus pandemic in the United States as ""our Pearl Harbor moment.'",['Jerome Adams'],['Surgeon'],CNN
0,16,"'Our pastor at Amplified Church, like many other pastors are trying to do their best to keep the people connected and safe; still abiding by the social distancing regulations,"" a church spokesperson told CNN via Facebook.'",['Facebook'],['CNN'],CNN
0,49,"'Dr. Joneigh Khaldun, the chief deputy director for Health for the Michigan Department of Health and Human Services, said the state is ""a few weeks out from the apex"" of coronavirus cases.'",['Joneigh Khaldun'],['Health for the Michigan Department of Health and Human Services'],CNN
0,58,"'One of the deputies has since recovered and is scheduled to return back to work Monday, April 6, while the others are still self-quarantining at home,” said RCSO Public Information Officer Lee Thomas.'",['Lee Thomas'],['RCSO Public Information'],CNN
0,59,"""The creation of the ACH Heroes fund is in response to inquiries about how businesses and residents can help the hospital's medical professionals, according to Matthew Chadderdon, vice president of marketing and public affairs at Auburn Community Hospital.\n\n""",['Matthew Chadderdon'],['Auburn Community Hospital.\\n\\n'],CNN
0,94,"'We have to get creative in ways to continue to give families insight on our daily activities,"" Wendy Moore, regional director of marketing for the facility, told CNN.'",['Wendy Moore'],['CNN'],CNN
0,117,"'Defense Secretary Mark Esper on Sunday defended Crozier\'s removal , telling CNN\'s Jake Tapper the move is an example of how ""we hold leaders accountable for their actions.""', ""It's just another example (of) how we hold leaders accountable for their actions.""","['Mark Esper', 'Jake Tapper']",['Defense'],CNN
0,145,"'Dr. Anthony Fauci warned Americans in an interview on CBS that ""it is going to be a bad week"" ahead as there is an escalation in cases, but that ""within a week"" or so the number of cases should start to flatten out.\n\n'",['Anthony Fauci'],['CBS'],CNN
0,167,"'""We now think it\'s probably around the 9th of April before we exceed our ventilator capacity based on the current number on hand, and ... we\'re a couple of days behind that on ICU bed capacity being exceeded,"" he told CNN\'s Jake Tapper on ""State of the Union.""\n\nNew Jersey had its second day in a row of more than 4,000 positive cases reported.'",['Jake Tapper'],['ICU'],CNN
0,167,"'""We now think it\'s probably around the 9th of April before we exceed our ventilator capacity based on the current number on hand, and ... we\'re a couple of days behind that on ICU bed capacity being exceeded,"" he told CNN\'s Jake Tapper on ""State of the Union.""\n\nNew Jersey had its second day in a row of more than 4,000 positive cases reported.'",['Jake Tapper'],['ICU'],CNN
0,174,"'Asked Sunday by Tapper if he also thought Crozier\'s actions were ""terrible,"" Esper said he couldn\'t get into the facts of the matter because the ongoing investigation could eventually ""come to my desk,"" adding that Modly ""laid out the reasons why"" he relieved the commander and that ""when all those facts come to bear, we\'ll have a chance to understand why.'","['Tapper', 'Modly']",['Esper'],CNN
0,174,"'Defense Secretary Mark Esper on Sunday defended the recent removal of the commander of the USS Theodore Roosevelt, who warned that action was needed to save the lives of his crew from an outbreak of coronavirus, saying the move is an example of how ""we hold leaders accountable for their actions.', 'It\'s just another example (of) how we hold leaders accountable for their actions.""\n\n'",['Mark Esper'],['Defense'],CNN
0,174,"'Asked Sunday by Tapper if he also thought Crozier\'s actions were ""terrible,"" Esper said he couldn\'t get into the facts of the matter because the ongoing investigation could eventually ""come to my desk,"" adding that Modly ""laid out the reasons why"" he relieved the commander and that ""when all those facts come to bear, we\'ll have a chance to understand why.'",['Tapper'],['Esper'],CNN
0,174,"'Asked Sunday by Tapper if he also thought Crozier\'s actions were ""terrible,"" Esper said he couldn\'t get into the facts of the matter because the ongoing investigation could eventually ""come to my desk,"" adding that Modly ""laid out the reasons why"" he relieved the commander and that ""when all those facts come to bear, we\'ll have a chance to understand why.'","['Tapper', 'Modly']",['Esper'],CNN
0,180,"'We now think it\'s probably around the 9th of April before we exceed our ventilator capacity based on the current number on hand and that we\'re a couple of days behind that on ICU bed capacity being exceeded,"" he told CNN\'s Jake Tapper on ""State of the Union.'",['Jake Tapper'],['ICU'],CNN
0,211,"'Defense Secretary Mark Esper on Sunday defended the recent removal of the commander of the USS Theodore Roosevelt, who warned that action was needed to save the lives of his crew from an outbreak of coronavirus, saying the move is an example of how ""we hold leaders accountable for their actions.', ""It's just another example (of) how we hold leaders accountable for their actions.""",['Mark Esper'],['Defense'],CNN
0,216,"'Debbie Berkowitz, a senior official for OSHA under President Obama and now a worker safety expert with the National Employment Law Project, said the agency was ""leaving it up to employers"" to decide on their own policies, jeopardizing both worker and public safety.'","['Obama', 'Debbie Berkowitz']","['OSHA', 'the National Employment Law Project']",CNN
0,222,"'""Had governors had this kind of moment six months before the primary started, would voters generally be looking for people with expertise and a body of evidence and executive office experience,"" David Turner, a top operative at the Democratic Governors Association told CNN.'",['David Turner'],"['the Democratic Governors Association', 'CNN']",CNN
0,225,"'""Given that the oil market is now expecting a large reduction in output, anything less could send prices into freefall,"" Caroline Bain, chief commodities economist at Capital Economics.\n\n'",['Caroline Bain'],"[""Capital Economics.\\n\\n'""]",CNN
0,226,"'""I don\'t foresee a baby boom in nine months,"" Dr. Renee Wellenstein, an OB/GYN and functional medicine specialist in upstate New York, told CNN.\n\n'",['Renee Wellenstein'],['OB/GYN'],CNN
0,257,"'""Future generations will look back on this as the long Lent of 2020, a time when disease and death suddenly darkened the whole earth,"" said Archbishop José H. Gomez of Los Angeles, president of the US Conference of Catholic Bishops in a statement this week.\n\n'",['Archbishop José H. Gomez'],['the US Conference of Catholic Bishops'],CNN
0,262,"'In that moment, despite all the uncertainty and fear about Covid-19 and the world, I smiled as the best moments of my childhood with my grandfather and memories of wonderful times with my son flowed back to me,"" Ginsberg told CNN in an email.'",['Ginsberg'],['CNN'],CNN
0,262,"'""Definitely an overabundance of free time on my hands which has led me to revisit some old hobbies,"" Dieterle told CNN.'",['Dieterle'],['CNN'],CNN
0,269,"'There are reports coming through of people stockpiling their favorite drug or their drug of choice, and of course, that just creates a shortage, which has inevitably led to price increases,"" Ian Hamilton, senior lecturer in addiction and mental health at the University of York, told CNN.'",['Ian Hamilton'],"['the University of York', 'CNN']",CNN
0,269,"'""People who have an active disorder, addiction disorder, they\'re going to look for ways to get a drug,"" Cynthia Moreno Tuohy, executive director at NAADAC in the US'",['Cynthia Moreno Tuohy'],['NAADAC'],CNN
0,291,"'However, there is no ""definitive information to be able to make any comment,"" said Dr. Anthony Fauci, director of the National Institute of Allergy and Infectious Diseases, at the briefing.'",['Anthony Fauci'],['the National Institute of Allergy and Infectious Diseases'],CNN
0,332,"'President Donald Trump on Saturday defended his firing of Michael Atkinson , the intelligence community inspector general who told Congress about the whistleblower complaint that led to his eventual impeachment, charging that Atkinson ""did a terrible job, absolutely terrible.'","['Atkinson', 'Michael Atkinson', 'Donald Trump']",['Congress'],CNN
0,354,"'The department does not have a central contract with Zoom, Filson said, and students and staff will be transitioning to Microsoft Teams, which has ""the same capabilities with appropriate security measures in place.""\n\n'",['Filson'],"['Zoom', 'Microsoft Teams']",CNN
0,370,"'The official Saudi Press Agency on Saturday said Saudi Energy Minister Prince Abdulaziz bin Salman Al Saud ""is still welcoming to anyone who wants to find solutions to the challenges of the oil market.'",['Prince Abdulaziz bin Salman Al Saud'],"['Saudi Energy', 'Saudi Press Agency']",CNN
0,394,"'A country that the White House has called a ""strategic competitor""; a country engaged in active influence operations against us; a country the State Department describes as an authoritarian state that engages in gross human rights abuses; a country that the White House said has ""consistently taken advantage of the US economy""; a country whose leadership Secretary of State Mike Pompeo described as a ""substantial threat to our health and way of life""; a country Trump administration officials are blaming for covering up the truth about the coronavirus outbreak.\n\n'",['Mike Pompeo'],"['State', 'the White House', 'the State Department']",CNN
0,433,"'It\'s been challenging, probably the most challenging in the history of our corporation,"" said Dwayne Watterman, the facility director for Hudson County at the New Jersey Reentry Corporation, a nonprofit that helps inmates find housing, employment and health care.\n\n'",['Dwayne Watterman'],['It\\'],CNN
0,473,"'but say Wednesday that ""we didn\'t know that until the last 24 hours,"" Cody Hall, a spokesman, said Kemp ""was referring to the updated CDC guidelines and Dr. Redfield\'s statements about the rate of transmission and prevalence of asymptomatic transmission -- not the existence of asymptomatic transmission.'","['Redfield\\', 'Kemp']","['CDC', 'Cody Hall']",CNN
0,473,"'But we didn\'t know that until the last 24 hours,"" Kemp said.\n\n', 'but say Wednesday that ""we didn\'t know that until the last 24 hours,"" Cody Hall, a spokesman, said Kemp ""was referring to the updated CDC guidelines and Dr. Redfield\'s statements about the rate of transmission and prevalence of asymptomatic transmission -- not the existence of asymptomatic transmission.'","['Redfield\\', 'Kemp']","['CDC', 'Cody Hall']",CNN
0,518,"'While the unemployment rate increased to 4.4% from 3.5% in the official report, the last two weeks of unemployment benefit filings suggest that the true rate is probably about 18.3% for adults, according to William Rodgers, chief economist at the Heldrich Center for Workforce Development at Rutgers University.\n\n'",['William Rodgers'],"[""the Heldrich Center for Workforce Development at Rutgers University.\\n\\n'""]",CNN
0,533,"'It\'s been challenging, probably the most challenging in the history of our corporation,"" said Dwayne Watterman, the facility director for Hudson County at the New Jersey Reentry Corporation, a nonprofit that helps inmates find housing, employment and health care.\n\n'",['Dwayne Watterman'],['It\\'],CNN
0,545,"'In a video posted to his Twitter account, Starmer said he would work with the Conservative government led by Prime Minister Boris Johnson to tackle the coronavirus crisis, while also pointing out ""mistakes or faltering government.'","['Boris Johnson', 'Starmer']",['Conservative'],CNN
0,556,"'She is thinking about filing for unemployment, or seeing if she can get a day job, like the one she once held at Dick\'s Sporting Goods, to help stem the financial tide left behind by the coronavirus\n\n""When people think of Olympians, they think of people who have a lot of money, like professional basketball players, or professional baseball players, and it\'s definitely not the case,"" Berry told CNN Sport\n\n'","['Sporting Goods', 'Berry']","['CNN', 'Dick\\']",CNN
0,600,"'""The [$2 trillion US] stimulus package is likely the bare minimum needed to offset the current drag from the outbreak,"" Bank of America economist Joseph Song told clients Thursday.'",['Joseph Song'],['Bank of America'],CNN
0,604,"'""Today at my direction the commanding officer of the USS Theodore Roosevelt, Captain Brett Crozier, was relieved of command by carrier strike group commander Rear Admiral Stewart Baker,"" acting Secretary of the Navy Thomas Modly announced on Thursday,\n\nThe decision came days after Crozier wrote a memo warning Navy leadership that decisive action was needed to save the lives of the ship\'s crew.'","['Thursday,\\n\\nThe', 'Crozier', 'Thomas Modly']",['Navy'],CNN
0,604,"'Meanwhile, a group of Democratic senators wrote to acting Inspector General for the Department of Defense Glenn Fine on Friday requesting he ""conduct a formal investigation into the Navy\'s response to reports of the outbreak of COVID-19 aboard the USS Theodore Roosevelt and the decision to relieve CAPT Brett Crozier of his command.'",['Brett Crozier'],['the Department of Defense Glenn Fine'],CNN
0,604,"'""Given the concerns for the health and safety of the sailors on the USS Theodore Roosevelt, in addition to the potential for future COVID-19 outbreaks on other ships and submarines, we urge you to investigate the Navy\'s response to this outbreak to evaluate whether the Navy is implementing all appropriate precautionary measures and best-practices to protect the safety of our fleet,"" it adds.\n\n'",['Navy\\'],['Navy'],CNN
0,609,"'In the days before Joe\'s death, Lewinger told CNN the two ""pretty much spent 24/7 on FaceTime, trying to mediate and calm him, trying not to let him feel alone.""'",['Lewinger'],"['Joe\\', 'CNN']",CNN
