,0,1,2,3,4
0,16,216.0,"'Debbie Berkowitz, a senior official for OSHA under President Obama and now a worker safety expert with the National Employment Law Project, said the agency was ""leaving it up to employers"" to decide on their own policies, jeopardizing both worker and public safety.'","['Obama', 'Debbie Berkowitz']",National Employment Law Project
0,35,545.0,"'In a video posted to his Twitter account, Starmer said he would work with the Conservative government led by Prime Minister Boris Johnson to tackle the coronavirus crisis, while also pointing out ""mistakes or faltering government.'","['Boris Johnson', 'Starmer']",Conservative Institute of M. R. Stefanik
0,70,1084.0,"'The day after the party, my mother got really sick,"" said Stockton-Rossini, a reporter for 710 WOR.'",['Stockton-Rossini'],Ecological workshop
0,71,1117.0,"'The day after the party, my mother got really sick,"" said Stockton-Rossini, a reporter for 710 WOR.'",['Stockton-Rossini'],Ecological workshop
0,90,1441.0,"'When white America catches a cold, black America catches pneumonia,"" Steven Brown, a research associate at the Urban Institute domestic policy research organization, told CNN Business.\n\n'",['Steven Brown'],Urban Institute
0,107,1814.0,"'""At Grand Canyon National Park, where almost all basic services in the park are closed, hundreds of visitors congregate at popular view-points every day,"" wrote Phil Francis, the coalition\'s chair in a March 31 letter to Bernhardt.'",['Phil Francis'],Nanjing Think-tank Coalition
0,136,2191.0,"'""Easter is one of our highest selling volumes times of the year,"" Jo Ann Herold, the company\'s chief marketing officer, told CNN Business in an email.'",['Jo Ann Herold'],Tomorrow's Company
0,147,2387.0,"'""Harry Potter and the Philosopher\'s Stone"" has been added to Audible\'s library of free books as part of its partnership with the platform, making it immediately available in several different languages for free, and without requiring a subscription to the Amazon-owned audiobook service.\n\n'",['Harry Potter'],Amazon Environmental Research Institute
0,173,3022.0,"'Mr. Smalls was found to have had close contact with a diagnosed associate with a confirmed case of COVID-19 and was asked to remain home with pay for 14 days, which is a measure we\'re taking at sites around the world,"" said Amazon spokesperson Kristen Kish.'","['Kristen Kish', 'Smalls']",Amazon Environmental Research Institute
0,175,3095.0,"'Atul Goyal, of Jefferies, said last week that the market clearly doesn\'t think the Vision Fund has added any value to SoftBank, and if Son ""remains committed to raise funds for Vision Fund, the value destruction risk [to SoftBank] remains.'","['Atul Goyal', 'Jefferies']",Vision
0,181,3192.0,"'Atul Goyal, of Jefferies, said last week that the market clearly doesn\'t think the Vision Fund has added any value to SoftBank, and if Son ""remains committed to raise funds for Vision Fund, the value destruction risk [to SoftBank] remains.'","['Atul Goyal', 'Jefferies']",Vision
0,201,3327.0,"'Mr. Smalls was found to have had close contact with a diagnosed associate with a confirmed case of COVID-19 and was asked to remain home with pay for 14 days, which is a measure we\'re taking at sites around the world,"" said Amazon spokesperson Kristen Kish.'","['Kristen Kish', 'Smalls']",Amazon Environmental Research Institute
0,240,4219.0,"'During a ceremony to see off the Naval hospital ship USNS Comfort from Norfolk, Virginia, President Donald Trump reiterated he will make a decision “very quickly, very shortly” on whether to place a quarantine on parts of New York, New Jersey and Connecticut to help battle coronavirus.\n\n'",['Donald Trump'],Center for Naval Analysis
0,308,5932.0,"'The idea that we now all of a sudden have a lens into how celebrities live, how they decorate, the kind of money that they spend, whether or not they live in a big house or a modest house... is interior design porn,"" Lori Levine, founder of Flying Television, a global PR and marketing firm, told CNN.\n\n'",['Lori Levine'],Vision
0,320,6245.0,"'""Certainly from what we\'ve seen in the past, it\'s taken a pretty significant amount of time to get checks out after a policy is put in place,"" said Erica York, an economist at the Tax Foundation.\n\n'",['Erica York'],Tax Foundation
0,333,6464.0,"'I think we\'re far away from (the end of social distancing), quite frankly,"" said Dr. Celine Gounder, a CNN medical analyst and infectious disease specialist at New York\'s Bellevue Hospital Center.\n\n'",['Celine Gounder'],"Public Policy Institute of New York State, Inc."
0,347,6756.0,"'I think we\'re far away from that, quite frankly,"" said Dr. Celine Gounder, a CNN medical analyst and infectious disease specialist at New York\'s Bellevue Hospital Center, on Tuesday morning.\n\n'",['Celine Gounder'],"Public Policy Institute of New York State, Inc."
0,349,6785.0,"'I think we\'re far away from that, quite frankly,"" said Dr. Celine Gounder, a CNN medical analyst and infectious disease specialist at New York\'s Bellevue Hospital Center, on Tuesday morning.\n\n'",['Celine Gounder'],"Public Policy Institute of New York State, Inc."
0,350,6808.0,"'Gov. Andrew Cuomo said New York\'s greatest critical need is ventilators to treat ""people who will have acute needs"" and those ""under respiratory distress"" from coronavirus.\n\n'",['Andrew Cuomo'],"Public Policy Institute of New York State, Inc."
0,355,6835.0,"'Gov. Andrew Cuomo said New York\'s greatest critical need is ventilators to treat ""people who will have acute needs"" and those ""under respiratory distress"" from coronavirus.\n\n'",['Andrew Cuomo'],"Public Policy Institute of New York State, Inc."
0,380,7081.0,"'Other major sports events have been rescheduled \'We\'re at a loss,\' say athletes left in limbo as pressure mounts on Olympic organizers On March 17, Japan\'s Olympic minister, Seiko Hashimoto, said the country was planning for a ""complete"" hosting of the Games, which she went on to explain meant an Olympics which ""started on time and with spectators in attendance.'","['Games', 'Seiko Hashimoto']",Australia-Japan Research Center
0,384,7190.0,"'This will provide job opportunities and ensure 7‑Eleven stores remain clean and in-stock with the goods our customers need during this critical time,"" the company\'s president and CEO Joe DePinto said in a statement.'",['Joe DePinto'],Tomorrow's Company
0,385,7234.0,"'Other major sports events have been rescheduled \'We\'re at a loss,\' say athletes left in limbo as pressure mounts on Olympic organizers On March 17, Japan\'s Olympic minister Seiko Hashimoto said the country was planning for a ""complete"" hosting of the Games, which she went on to explain meant an Olympics which ""started on time and with spectators in attendance.'","['Games', 'Seiko Hashimoto']",Australia-Japan Research Center
0,412,7692.0,"'Our number one priority is the health and safety of our customers and associates,"" said Mark Tritton, the company\'s president and CEO.'",['Mark Tritton'],Tomorrow's Company
0,467,8703.0,"'""States should not provide numeric values to the public,"" Gay Gilbert, the administrator of the department\'s Office of Employment Insurance, wrote in the email, the Times reported.\n\n'",['Gay Gilbert'],The Times Think Tank
0,523,9916.0,"'Here\'s a sample of what Warren is calling a ""progressive litmus test for bailouts to large corporations""\n\nWarren\'s demands should probably be read more as a wish list.'",['Warren'],Biosphere Foundation
0,541,10340.0,"'Republican Sen. Mitt Romney of Utah unveiled a $1,000 payment proposal on Monday, while Michael Strain, director of economic policy studies at the right-leaning American Enterprise Institute tweeted that the administration is ""absolutely right to get people cash --- and to get it to them in the next week, if possible.'","['Mitt Romney', 'Michael Strain']",American Enterprise Institute 
0,591,11355.0,"'This decision reflects our foremost priority -- the health and safety of all fans and citizens,"" said NFL Commissioner Roger Goodell in a statement.'",['Roger Goodell'],Dragonfly
0,644,12480.0,"'Obviously, given the many programming needs across News and Sports, there are some employees"" who simply cannot work remotely, WarnerMedia News and Sports chairman Jeff Zucker said in a memo.'",['Jeff Zucker'],Sports Think Tank
0,647,12564.0,"'We think that our colleges will do the right thing here and accommodate their students appropriately,"" said Dan Madzelan, associate vice president for government relations at the American Council on Education.\n\n'",['Dan Madzelan'],The American Council for Capital Formation
0,649,12622.0,"'If the message was clearer, we probably would\'ve left them on their Sunday flights to come back,"" Doug Taus told CNN at New York\'s John F. Kennedy Airport on Thursday night.'","['Doug Taus', 'John F. Kennedy']","Public Policy Institute of New York State, Inc."
