,0,1,2,3,4
0,22,209,"'What we\'ve done so far is very sensible, but I would have liked to see a development over a longer period before I dared to say that the curve is broken,"" said Hans Jorn Kolmos, a professor in clinical microbiology at the University of Southern Denmark.\n'",['Hans Jorn Kolmos'],University of Southern Denmark
0,51,539,"'We want to move to a situation where at least by the end of May that we’re able to substitute some less intensive measures, more based on technology and testing, for the complete lockdown we have now,” Imperial College London epidemiologist Neil Ferguson told the BBC.\n'",['Neil Ferguson'],Imperial College London
0,69,748,"'The situation\xa0calls for “a better national policy of widespread testing, to isolate cases,” said Ali S. Khan, the dean of the College of Public Health at the University of Nebraska Medical Center.\n'",['Ali S. Khan'],University of Nebraska Medical Center
0,104,1023,"""In an interview with Forbes, Purdue University professor of mechanical engineering Qingyan said there is a “very easy way to help prevent the spread of coronavirus: 'Close the lid and then flush.'”\nCLICK HERE FOR COMPLETE\xa0 CORONAVIRUS COVERAGE\n""",['Qingyan'],Purdue University
0,117,1088,"""In an interview with Forbes, Purdue University professor of mechanical engineering Qingyan said there is a “very easy way to help prevent the spread of coronavirus: 'Close the lid and then flush.'”\nCLICK HERE FOR COMPLETE\xa0 CORONAVIRUS COVERAGE\n""",['Qingyan'],Purdue University
0,123,1163,"'This is a very important contribution to understanding both the natural history of COVID-19 clinical disease as well as the public health implications of viral shedding,"" Michael Osterholm, director of the University of Minnesota\'s Center for Infectious Disease Research and Policy,\xa0told Stat News.\n'",['Michael Osterholm'],University of Minnesota
0,136,1266,"'He was recorded as saying that appointing then-Secretary of State Jesse White would ""cover you on the African-American thing"" and that he was the ""least offensive"" candidate.'",['Jesse White'],Pennsylvania State University
0,147,1329,"'The United States and Mexico have agreed to restrict nonessential travel across our shared border,” Secretary of State Mike Pompeo said during a White House press briefing with other top officials. \n'",['Mike Pompeo'],Pennsylvania State University
0,200,1842,"'There’s no ventilator for the brain,” Dr. Sherry H-Y. Chou, a neurologist at the University of Pittsburgh School of Medicine, told The Times.'",['Sherry H-Y. Chou'],University of Pittsburgh
0,214,1957,"'""Harvard has been looking at the symptoms we see from COVID-19, and they\'ve discovered something we\'ve been talking about recently, which is the [loss of] sense of smell called Anosmia,"" Siegel said.\xa0'",['Siegel'],Harvard University
0,246,2124,"'The number of confirmed cases in China by day 50 (February 19) of the epidemic, was around 30,000,"" said Christopher Dye, visiting professor of zoology and visiting fellow at the Oxford Martin School, University of Oxford, in a statement.'",['Christopher Dye'],University of Oxford
0,278,2400,"'It\'s impossible for North Korea not to have a single case of coronavirus,"" Jung H. Pak, a former CIA analyst on North Korea,\xa0previously told Fox News.\n'",['Jung H. Pak'],University of Valencia
0,330,2767,"'I think we’ll get our results soon because the enrollment pace is very quick,” said principal investigator Dr. Babafemi Taiwo, chief of infectious diseases at Northwestern University Feinberg School of Medicine and Northwestern Medicine.'",['Babafemi Taiwo'],Northwestern University
0,344,2903,"'""Other things to consider is the environment, where one lives certainly plays a role,"" said Dr. Attila Hertelendy, a professor in emergency and disaster management at Georgetown University.'",['Attila Hertelendy'],Georgetown University
0,372,3149,"'The sheriff, joined by State Attorney Andrew Warren and Bishop Thomas Scott,\xa0made it clear: ""We\'re hoping that this serves as a deterrent.'","['Andrew Warren', 'Bishop Thomas Scott,\\xa0made']",Pennsylvania State University
0,381,3191,"'UAW president Rory Gamble applauded Ford’s decision, saying it is the right one “for our members, their families and our nation.'",['Rory Gamble'],University of Oxford
0,382,3194,"'UAW president Rory Gamble applauded Ford’s decision, saying it is the right one “for our members, their families and our nation.'",['Rory Gamble'],University of Oxford
0,393,3324,"'If you\'ve heard the stories of what the State Department\'s done to get people out of places like Bhutan, an impossible place to get to,"" Pompeo added.\xa0'",['Pompeo'],Pennsylvania State University
0,394,3342,"'We treasure the support we receive from our music industry colleagues and all of Nashville’s outstanding artists,"" Jeff Balser, MD, PhD, president and CEO of VUMC and dean of the Vanderbilt University School of Medicine, told Billboard in a statement.'",['Jeff Balser'],Vanderbilt University
0,400,3355,"'Fox News medical contributor\xa0Dr. Marty Makary,\xa0professor of public health at Johns Hopkins University, joined\xa0""Special Report with Bret Baier"" to answer more viewer questions regarding the continuing coronavirus outbreak.\n'","['Marty Makary,\\xa0professor']",Johns Hopkins University
0,404,3388,"'Don\'t worry though, there will be an album this year, I promise!""\nJON BON JOVI DISCUSSES PRINCE HARRY COLLABORATION'",['DISCUSSES PRINCE'],University of Bonn
0,409,3433,"'A lot of people have been trying to figure out Mars\' water history,"" University of Arizona planetary scientist Jessica Barnes said in a statement.'",['Jessica Barnes'],University of Arizona
0,422,3627,"'There are a TON of take aways from #TigerKing, but the one that will really stick for me: \'Hey all you cool cats and kittens,\'"" wrote Colin Hanks.\n'","[""Colin Hanks.\\n'""]",Princeton University
0,472,3980,"'The air is definitely much healthier,” said Professor James Lee at York University and the NCAS, who analyzed the data.'",['James Lee'],York University
0,493,4163,"'He’s making himself irrelevant,” Saikat Chakrabarti, a former chief of staff to Queens Rep. Alexandria Ocasio-Cortez, told The Post, saying the virtual broadcasts were not helping.'",['Alexandria Ocasio-Cortez'],The University of Queensland
0,508,4414,"'In another high-profile moment, Lowery drew a standing ovation at the 2006 funeral of King’s widow, Coretta Scott King, when he criticized the war in Iraq, saying, ""For war, billions more, but no more for the poor.'","['Coretta Scott King', 'Lowery']",King’s College London
0,509,4421,"'The witnesses and medical workers believed he was purposely disregarding space and safety concerns involving the coronavirus pandemic,” University of Connecticut spokeswoman Stephanie Reitz told the paper.\n'",['Stephanie Reitz'],University of Connecticut
0,543,4733,"'""The initial data from Wuhan, China, indicated that the majority of people who were hospitalized and/or required ICU admission, sometimes then later resulting in fatalities due to coronavirus, were those who are older – over the age of 65, especially over 85,"" said Dr. Roger McIntyre, president, and CEO of CRTCE, professor of psychiatry and pharmacology at the University of Toronto and head of the Mood Disorders Psychopharmacology Unit at the University Health Network.'",['Roger McIntyre'],University of Toronto
0,553,4788,"'President Trump tweeted on Friday that discussions to purchase ventilators from GM was not working out and urged GM and Ford to ""START MAKING VENTILATORS, NOW!!!!!!'",['Trump'],University of Oxford
0,557,4869,"'Former Secretary of State John Kerry blasted GOP Rep.\xa0Thomas Massie on Friday in colorful terms over his possible bid to delay a vote on the coronavirus\xa0stimulus package, saying he has “tested positive for being an a--hole.', 'Breaking news: Congressman Massie has tested positive for being an a--hole.'",['John Kerry'],Pennsylvania State University
0,600,5171,"'Only Iran knows for certain what happened to Bob since his abduction more than 13 years ago,""\xa0Secretary of State Mike Pompeo said in a statement on Thursday.'",['Mike Pompeo'],Pennsylvania State University
0,617,5316,"""The Pennsylvania Supreme Court had narrowly dismissed Prince's suit, which challenged Wolf’s authority to shutter businesses deemed “non-life-sustaining,” but in a dissenting statement joined by two other justices, Justice David Wecht said Wolf’s order amounts to “an absolute and indefinite prohibition upon the acquisition of firearms by the citizens of this commonwealth — a result in clear tension with the Second Amendment” and the state constitution.\n""","['Wolf', 'David Wecht']",Princeton University
0,621,5333,"'We\'ve gone back and gotten samples from patients who had SARS in 2003 and 2004, and as of this year, we can detect antibodies,"" Stanley Perlman, a professor of microbiology and immunology at the University of Iowa, also told NPR.'",['Stanley Perlman'],University of Iowa
0,636,5466,"'""GM and Ford understand that buyers want more SUVs and trucks, but they\'re also trying to play to Wall Street, which thinks the future is all about electric vehicles,"" Sam Fiorani, vice president, global vehicle forecasting at AutoForecast, which provided some of the data, told Reuters.\n'",['Sam Fiorani'],University of Oxford
0,644,5538,"'There is too much mathematical modeling going on,” Siegel told “Fox  Friends.”\nSiegel said that projections from Johns Hopkins University and other institutions are based on “numbers they don’t really know.”\n“'",['Siegel'],Johns Hopkins University
0,645,5538,"'There is too much mathematical modeling going on,” Siegel told “Fox  Friends.”\nSiegel said that projections from Johns Hopkins University and other institutions are based on “numbers they don’t really know.”\n“'",['Siegel'],Johns Hopkins University
0,651,5568,"'Later, President Trump suggested reopening parts of the U.S. economy by Easter, which falls on April 12 this year, and argued he doesn’t want “to turn the country off” and see a continued economic downfall from the pandemic.\n'",['Trump'],Northeastern University
0,664,5629,"'On Tuesday, UAW president Rory Gamble told UAW members that the union and Ford “will be collaborating to find ways to help improve and protect lives across the country during this crisis.'",['Rory Gamble'],University of Oxford
0,711,5986,"'What we are seeing is a lot of panic buying,” said Morris Cohen, a panasonic professor of manufacturing and logistics at the Wharton School of the University of Pennsylvania. \n'",['Morris Cohen'],University of Pennsylvania
0,739,6228,"'It\'s impossible for North Korea not to have a single case of coronavirus,"" Jung H. Pak, a former CIA analyst on North Korea,\xa0previously told Fox News.\n\n      '","['Jung H. Pak', 'Fox News.\\n\\n']",University of Valencia
0,742,6236,"'Appearing on ""Fox  Friends"" with host Steve Doocy, Cotton said that while he would love to see America back up and running by Easter –\xa0as President Trump suggested Tuesday –\xa0the one thing that can\'t happen is a ""relaxing of some of the restrictions on public activities and then a resurgence of the pandemic.'","['Steve Doocy', 'Trump']",Northeastern University
0,754,6413,"'Certain types of drugs are still on the move,” Anna Sergi, a criminologist at Britain’s University of Essex, told the Organized Crime and Corruption Reporting Project (OCCRP).'",['Anna Sergi'],University of Essex
0,755,6413,"'The problem is who is going to pick them up?”\nOther crime experts, like Oxford University Professor Federico Varese, have forecasted that organized crime will continue to suffer as Italy’s economy contracts. \n'",['Federico Varese'],University of Oxford
0,756,6414,"'If the data supports it, I\'m for it,"" Graham\xa0said of the Easter date, urging Trump to follow the advice of task force Drs.'",['Drs'],Northeastern University
0,763,6477,"'Saying the county was nearing the\xa0""the end of our historic battle"" with ""the invisible enemy"" of coronavirus, President Trump began Tuesday\'s White House coronavirus task force briefing by emphasizing\xa0his hope that the country will largely reopen for business by Easter -- as his top economic advisor suggested Congress may soon pass an unprecedented fiscal stimulus package.\n'",['Trump'],Northeastern University
0,764,6487,"'Saying the county was nearing the\xa0""the end of our historic battle"" with coronavirus, President Trump began Tuesday\'s White House coronavirus task force briefing by emphasizing\xa0his hope that the country will largely reopen for business by Easter -- as his top economic advisor suggested Congress may soon pass an unprecedented fiscal stimulus package.\n'",['Trump'],Northeastern University
0,769,6559,"'Andrew D. Hamilton, president of New York University, told the crowd that day that McNally put a “unique stamp on American drama by probing the urgent need for connection that resonates at the core of human experience.'","['Andrew D. Hamilton', 'McNally']",New York University
0,770,6563,"'""More people at home means more people online – with big bandwidth appetites,"" Paul Raschky, an economist at Monash University in Melbourne and co-founder of KASPR Datahaus, told The Daily Mail.\n'",['Paul Raschky'],Monash University
0,810,6897,"'Dr. Jen Caudle, a family physician and associate professor at Rowan University in New Jersey, told the AP that “depending on how hot the blow dryer gets, I would be concerned with some adverse effects.'",['Jen Caudle'],Brown University
0,824,7076,"""According to the University of Queensland's Jonathan Aitchison, the finding revises the long-held understanding of the location of one of biology and geography's most significant barriers -- known as the Wallace line.\n""","['Wallace', 'Jonathan Aitchison']",The University of Queensland
0,826,7101,"'""The handling of these situations vary, but ultimately we can say our system has been ill-equipped to deal with something of this magnitude and the prison system can no longer be society\'s afterthought,"" said Michael Mendoza, National Director of #cut50, a campaign to reduce crime and incarceration levels in all states.'",['Michael Mendoza'],National University of Singapore
0,831,7159,"'It’s going to make them feel differently about their mortality, possibly, what the world offers, what security looks like,” said Cathy Cohen, a political science professor at the University of Chicago, who regularly tracks the views of young people.\n'",['Cathy Cohen'],University of Chicago
0,852,7430,"'Then we proceed from there to an ante room right in front of the Oval Office to talk about what are going to be the messages,” Dr. Fauci told Science.'",['Fauci'],London School of Economics and Political Science
0,853,7430,"'Dr. Fauci, the National Institutes of Health infectious diseases expert, told Science magazine on Sunday before heading to the White House that the typical routine is for the task force to “sit down for an hour and a half, go over all the issues on the agenda” before providing an update to the president.\n'",['Fauci'],London School of Economics and Political Science
0,878,7594,"'In a statement, Duke coach Mike Krzyzewski called Jones “the heart and soul of our program” over his two seasons and “such a pleasure to coach.”\n'",['Mike Krzyzewski'],Duke University
