,0,1,2,3,4
0,2,23.0,"'""Effective immediately, to the extent practical, all individuals on DoD property, installations, and facilities will wear cloth face coverings when they cannot maintain six feet of social distance in public areas or work centers,"" Defense Secretary Mark Esper said in a memo to Pentagon officials.\n'",['Mark Esper'],Pentagon Force Protection Agency
0,6,71.0,"'THEODORE ROOSEVELT TEST POSITIVE FOR CORONAVIRUS, 42 PERCENT OF ALL NAVY INFECTIONS\nDefense Secretary Mark Esper told CNN on Sunday that Crozier\'s removal was warranted, saying, ""we hold leaders accountable for their actions.'",['Mark Esper'],Navy
0,7,80.0,"'Two days earlier, Trump said he had instructed Vice President Mike Pence, the leader of the White House pandemic response, not to call “the woman in Michigan.'",['Mike Pence'],White House
0,11,113.0,"'The panel, which was formed by House Speaker Nancy Pelosi and tasked with monitoring the distribution of funds from the massive $2.2 trillion coronavirus relief package\xa0as well as keeping an eye out for price gouging, will be “forward looking,” Clyburn said Sunday on CNN’s “State of the Union.'","['Nancy Pelosi', 'Clyburn']",Congress—U.S. House of Representatives
0,15,151.0,"'The country was expecting answers from the prime minister on the issues of shortage of personal protection equipment and on helping the poor and migrant laborers who were without food and money,"" said Pawan Khera, a spokesman for\xa0the opposition Congress party.\n'",['Pawan Khera'],Congress—U.S. House of Representatives
0,25,261.0,"'""EPA is committed to protecting human health and the environment, but recognizes challenges resulting from efforts to protect workers and the public from COVID-19 may directly impact the ability of regulated facilities to meet all federal regulatory requirements,""\xa0said EPA Administrator Andrew Wheeler.'",['Andrew Wheeler'],Commerce Department (DOC)
0,27,261.0,"""Giles said she couldn't remember a time in the EPA’s half-century history where it “relinquished its fundamental authority.""",['Giles'],Commerce Department (DOC)
0,31,329.0,"'Biden tweeted Saturday just before Trump\'s White House coronavirus briefing began that Trump wasn\'t responsible for COVID-19, ""but he is responsible for failing to prepare our nation to respond to it.'",['Biden'],White House
0,50,529.0,"""According to NYPD Police Commissioner Dermot F. Shea's daily report on April 3, 6,695 uniformed members of the NYPD were on sick report, accounting for 18.5 percent of the Department's uniformed workforce.\n""","[""Dermot F. Shea's""]",Agriculture Department (USDA)
0,72,782.0,"'Last week, a resolution introduced in the House and Senate called on WHO Director Dr. Tedros Adhanom Ghebreyesus to retract what they called “highly misleading statements of support for the response of the Government of the People’s Republic of China.'",['Tedros Adhanom Ghebreyesus'],Senate
0,99,974.0,"'This isn’t about oversight, it sounds like pure politics,” House Minority Leader Kevin McCarthy said on “'",['Kevin McCarthy'],Congress—U.S. House of Representatives
0,122,1157.0,"'""Today, like then, we bring a message to all New Yorkers -- now your Navy has\xa0returned\xa0and we are with you, committed in this fight,"" Mustin said, adding that ""words are incapable of expressing the depth of my gratitude for those on this mission and for the families they leave behind.""\n'",['Mustin'],Navy
0,128,1191.0,"'This week, John Nevin, the\xa0Michigan Supreme Court\xa0Communications Director told the Detroit Free Press, “I can’t say on the record what’s been done with him.”\nCLICK HERE FOR MORE CORONAVIRUS COVERAGE\n'",['John Nevin'],Supreme Court of the United States
0,132,1216.0,"'The deans of 15 New York law schools wrote to Chief Judge Janet DiFiore of the\xa0state\'s Court of Appeals Wednesday urging them to consider ""provisional, temporary authorization for 2020 graduates,"" allowing them to work under a licensed attorney until they can take either the February or July bar exam in 2021.\n'",['Janet DiFiore'],Court of Appeals for the Armed Forces
