,0,1,2,3,4
0,40,414.0,'SEIU spokesman Steve Trossman told the Times the union “was trying to save the lives of healthcare workers and patients” and that union officials “were proud of having made that attempt.',['Steve Trossman'],The Times Think Tank
0,41,414.0,'SEIU spokesman Steve Trossman told the Times the union “was trying to save the lives of healthcare workers and patients” and that union officials “were proud of having made that attempt.',['Steve Trossman'],The Times Think Tank
0,191,1750.0,"'The Department of Licensing and Regulatory Affairs has received multiple allegations of Michigan physicians inappropriately prescribing hydroxychloroquine or chloroquine to themselves, family, friends, and/or coworkers without a legitimate medical purpose,” Deb Gagliardi, the director of the Bureau of Professional Licensing, and Forrest Pasanski, the director of the Enforcement Division, wrote in a letter to “licensed prescribers and dispensers.'","['Deb Gagliardi', 'Forrest Pasanski']",Vision
0,192,1750.0,"'The Department of Licensing and Regulatory Affairs has received multiple allegations of Michigan physicians inappropriately prescribing hydroxychloroquine or chloroquine to themselves, family, friends, and/or coworkers without a legitimate medical purpose,” Deb Gagliardi, the director of the Bureau of Professional Licensing, and Forrest Pasanski, the director of the Enforcement Division, wrote in a letter to “licensed prescribers and dispensers.'","['Deb Gagliardi', 'Forrest Pasanski']",Vision
0,199,1842.0,"'The pattern of involvement, and the way that it rapidly progressed over days, is consistent with viral inflammation of the brain,” Dr. Elissa Fory, a neurologist with Henry Ford Health System, told The Times.'",['Elissa Fory'],The Times Think Tank
0,202,1847.0,"'Pelosi told “State of the Union” host Jake Tapper that “as the president fiddles, people are dying.”'","['Jake Tapper', 'Pelosi']",The Union of Albanian Roma 
0,216,1975.0,"'Hudson Institute senior fellow Dr. Michael Pillsbury joined ""The Story with Martha MacCallum"" Wednesday to discuss a possible Chinese disinformation campaign surrounding the coronavirus and the country\'s treatment of doctors\xa0who have tried to speak out.\n'",['Michael Pillsbury'],Hudson Institute
0,234,2051.0,"'""Neera Tanden, president of the liberal think tank Center for American Progress and a longtime Hillary Clinton aide, called Ocasio-Cortez\'s shift \'a sign of leadership,\'"" the article read.'","[""Ocasio-Cortez\\'s"", 'Hillary Clinton']",Center for American Progress
0,271,2337.0,"'Most of Zoom’s engineering team is based in China,” Jacob Helberg, an adjunct fellow at the Center for Strategic and International Studies, tweeted on Monday.'",['Jacob Helberg'],Center for Strategic and International Studies
0,272,2343.0,"'All of us are going to be stretched in ways we haven’t been stretched before,” Clay said at the COVID-19 Church Online Summit in a panel discussion hosted by Walter Kim, president of the National Association of Evangelicals.\n'",['Walter Kim'],CLAYUCA Corporation
0,306,2558.0,"'I think increasing evidence suggests the virus is spread not just through droplets but through aerosols,” Dr. Gerardo Chowell, an epidemiologist at Georgia State University, told the Times.'",['Gerardo Chowell'],The Times Think Tank
0,325,2731.0,"'""February and March is when we should have been testing everybody,” said Janine Ramsey, an infectious disease expert who works for Mexico\'s National Public Health Institute.\n'",['Janine Ramsey'],National Institute of Public Health
0,348,2914.0,"'The ethics rules explicitly prohibit Members from using House floor photographs for campaign purposes and soliciting campaign contributions tied to votes,” FACT Executive Director Kendra Arnold said in a press release.\xa0'",['Kendra Arnold'],The City Factory
0,388,3237.0,"'In cafes across the country, the Tropical Smoothie Cafe family is working tirelessly to support our local communities, which are currently facing unprecedented hardship,"" said Charles Watson, CEO of Tropical Smoothie Cafe, LLC.'","['Tropical Smoothie Cafe', 'Charles Watson']",RInsights LLC
0,428,3644.0,"'We definitely saw the problem,” Dr. Thomas R. Frieden, CDC director from 2009 to 2017, told the Times.'",['Thomas R. Frieden'],The Times Think Tank
0,507,4389.0,"'Restricting the eating of wildlife while promoting medicines containing wildlife parts exemplifies the mixed messages being sent by the Chinese authorities on wildlife trade,” White said in a statement via the EIA website.\n'",['White'],Semeia Institute
0,513,4450.0,"'Brett Schaefer, a Senior Research Fellow in International Regulatory Affairs, the Heritage Foundation, said China has ""a well-established record of suppressing information that it considers harmful,"" a notion not new to the WHO.\n'",['Brett Schaefer'],Heritage Foundation
0,534,4669.0,"'Brad Dacus, founder of the conservative legal group Pacific Justice Institute says, “this is a new ballgame.'",['Brad Dacus'],Pacific Institute
