,0,1,2,3,4
0,4,12,"'Even prior to COVID-19, the majority of low-income people were already experiencing toxic stress and the impossible choice between basic necessities and paying their rent,” said Emily Benfer, a law professor and director of the Health Justice Advocacy Clinic at Columbia University.'","['Emily Benfer', 'Advocacy Clinic']",Columbia University
0,16,39,"'Only last week, the publication scorned the president’s stated hope to ease social distancing measures by Easter (against the advice of public health officials) in a bid to boost the economy, with this cover:\n\n\nVice President Mike Pence later appeared to walk back Trump’s Easter wish, calling it “really an aspirational goal.'",['Mike Pence'],Northeastern University
0,22,46,"'Whether it’s a matter of national security, economic prosperity or public health, President Trump has consistently placed his own personal interests ahead of the national interest,” said Ned Price, a former CIA analyst and a National Security Council spokesman under Obama.\n\n\n'",['Ned Price'],University of Valencia
0,38,90,"'Right off the bat, it’s important to know that indoor air quality is not necessarily better than outdoor,” said Jane Clougherty, an associate professor in the department of environmental and occupational health at Drexel University’s Dornsife School of Public Health.'",['Jane Clougherty'],Drexel University
0,68,135,"'“in which every eligible voter is able to participate,” according to Ned Foley, director of the election law program at Ohio State University’s Moritz College of Law.\n\n\n'",['Ned Foley'],Ohio State University
0,69,146,"'If and when the governor extends the state of emergency,” said Georgia Secretary of State Brad Raffensperger, “'",['Brad Raffensperger'],Pennsylvania State University
0,79,164,"'If people wait till things start to hurt, already they’ve waited a little bit too long,” said Alan Hedge, director of the human factors and ergonomics research group at Cornell University. \n\n'",['Alan Hedge'],Cornell University
0,91,199,"'State Sen. Bruce Thompson (R–White), who said he was discharged from a hospital north of Atlanta on March 21 after nearly dying of respiratory failure, said in a statement last week that he planned to “remain at home in self-quarantine” after testing positive for the virus.\n\n\n'",['Bruce Thompson'],Pennsylvania State University
0,125,282,"'This is journalistic malpractice,” tweeted Gregg Gonsalves,\xa0assistant professor of epidemiology at Yale and co-director of the school’s Global Health Justice Partnership.\n\n\n\n\n\n\n\n\n'","['Gregg Gonsalves,\\xa0assistant']",Yale University
0,129,289,"'Talk to your friends and family who are not practicing social distancing and help them see why it is important to follow stay-at-home orders to slow the transmission of the disease,” said Alison Holman, associate professor of nursing at the University of California, Irvine.'",['Alison Holman'],"University of California, Irvine"
0,131,289,"'When we lose control over any significant aspect of our lives, as is happening right now, it is natural to want to find opportunities to exert control over something else,” Utpal Dholakia, professor of marketing at Rice University’s Jones Graduate School of Business, told HuffPost.'",['Utpal Dholakia'],Rice University
0,139,309,"'We all do better when we are connected with others,” said Robin Gurwitch, a Duke University psychiatry professor specializing in family and child mental health.'",['Robin Gurwitch'],Duke University
0,163,353,"'Unfortunately, the combination of fear, confusion and the lack of factual information in some countries serve as fertile ground for cyberattacks,” said Salvatore Stolfo, a Columbia University professor and researcher and the chief technology officer of Allure Security. \n\n'",['Salvatore Stolfo'],Columbia University
0,171,361,"'In my view, they are all at risk from the shock because small businesses are really facing an extinction-level event,” said Adam Hersh, an economist at the Political Economy Research Institute at the University of Massachusetts Amherst.\n\n\n'",['Adam Hersh'],University of Massachusetts
