,0,1,2,3,4
0,1,8.0,"'I thought it was terrible what he did, to write a letter,” President Donald Trump said Saturday at a White House briefing when asked about Crozier’s firing.'",['Donald Trump'],White House
0,7,15.0,"'As Dr. Anthony Fauci,\xa0director of the National Institute of Allergy and Infectious Diseases, and Health and Human Services Secretary Alex Azar worked to head off the surging cases of the new coronavirus, Trump tended to turn for advice to others with “no credentials, experience or discernible insight in navigating a pandemic,” the Post noted.'","['Anthony Fauci,\\xa0director', 'Alex Azar']","Civil Rights, Department of Health and Human Services Office for"
0,19,44.0,"'Before Kushner declared that the federal stockpile was only meant for the federal government, the official website for the Department of Health and Human Services said it was designed to support “state, local, tribal and territorial responders.'",['Kushner'],"Civil Rights, Department of Health and Human Services Office for"
0,21,45.0,"'For PPP: Treasury Secretary Steven Mnuchin promised that borrowers can “apply for a loan, and be approved on the same day.'",['Steven Mnuchin'],Department of the Treasury
0,27,59.0,"'I’ve been social distancing,” Baldwin added in reference to recommendations by the Centers for Disease Control and Prevention.'",['Baldwin'],Centers for Disease Control and Prevention (CDC)
0,40,95.0,"'You’re not qualified to do anything,” Meyers said of Donald Trump’s son-in-law and White House adviser, who appeared at the president’s daily briefing on the crisis for the first time earlier in the day.\n\n\n'",['Donald Trump’s'],White House
0,45,107.0,"'As long as you hire the people back, the loan is forgiven,” Treasury Secretary Steven Mnuchin said during a CNBC appearance on Wednesday to promote the program.'",['Steven Mnuchin'],Department of the Treasury
0,61,126.0,"'As long as you hire the people back, the loan is forgiven,” Treasury Secretary Steven Mnuchin said during a CNBC appearance on Wednesday to promote the program.'",['Steven Mnuchin'],Department of the Treasury
0,63,129.0,"'The government has in normal times a lot of things to protect it, including lengthy contracts and oversight,” said Justin Oberman, a former Transportation Security Administration official who now consults with businesses trying to navigate the federal procurement process.'",['Justin Oberman'],Transportation Security Administration (TSA)
0,70,146.0,"'David Ralston, the state House speaker, has deep concerns about this system, in part because the “possibilities of fraud are incredibly prevalent in this kind of voting,” as he said in an interview with the Georgia news site FetchYourNews.'",['David Ralston'],Congress—U.S. House of Representatives
0,89,191.0,"'“Social Security recipients who are not typically required to file a tax return need to take no action, and will receive their payment directly to their bank account,” Treasury Secretary Steven Mnuchin said in a news release.\xa0\n\n\n'",['Steven Mnuchin'],Department of the Treasury
