,0,1,2,3,4
0,18,43.0,"'Paying hospitals for providing COVID-19 treatment for people who are uninsured will alleviate a financial burden on the institutions and give patients peace of mind, but it’s not the same as providing comprehensive health insurance,” Larry Levitt, executive vice president at the Henry J. Kaiser Family Foundation, told HuffPost. \n\n\n'",['Larry Levitt'],Kaiser Family Foundation
0,46,107.0,"'Michael Strain, director of economic policy studies at the conservative American Enterprise Institute, wrote in an issue brief that the program “may prove to be the most important part of the government’s economic-policy response to the coronavirus.'",['Michael Strain'],American Enterprise Institute 
0,49,112.0,"'We know these occupations are essential, and we know that means that [health care workers] may have to keep working,” said Vasu Reddy, a senior policy analyst at the National Partnership for Women and Families.'",['Vasu Reddy'],National Partnership for Women and Families
0,62,126.0,"'Michael Strain, director of economic policy studies at the conservative American Enterprise Institute, wrote in an issue brief that the program “may prove to be the most important part of the government’s economic-policy response to the coronavirus.'",['Michael Strain'],American Enterprise Institute 
0,71,147.0,"'It’s a scary, scary time,” said Michelle Evermore, a senior researcher and policy analyst and the National Employment Law Project.\xa0\n\n\n'",['Michelle Evermore'],National Employment Law Project
0,208,418.0,"'I think exactly when it will be relates to the question you asked me,” Fauci told “State of the Union” host Jake Tapper.'",['Jake Tapper'],The Union of Albanian Roma 
0,217,440.0,"'I used to watch Deion Sanders play for the Redskins and the Ravens,” Broxton said, adding that he always asked his mom if he was named after the NFL great.'",['Broxton'],Dragonfly
0,242,493.0,"'It is code for doing less,” said John Holahan, a health policy researcher and fellow at the Urban Institute.'",['John Holahan'],Urban Institute
0,246,502.0,"'When you have a treatment that works against zero other treatment available, it is this treatment that should become the benchmark,” said Didier Raoult, an infectious diseases specialist in Marseille who led the French study that Trump cited and has become a leading proponent of using chloroquine and hydroxychloroquine to treat patients with the coronavirus.\n\n\n'",['Didier Raoult'],Marseille Center for Mediterranean Integration
0,252,513.0,"'There’s dozens of places we’re watching,” Dr. Anne Schuchat, the CDC’s principal deputy director, told the Hill in an article Thursday.'",['Anne Schuchat'],The Beacon Hill Institute
0,294,589.0,"'After they told us, the building was just running as it has been,” said Terrell Worm, an Amazon worker in Staten Island and member of Make the Road New York, an activist group.'",['Terrell Worm'],Amazon Environmental Research Institute
0,307,611.0,"'Due to these extraordinary events, I am asking for your patience and, frankly, your help,” Overton wrote, adding that he hoped to begin making rent payments “as soon as reasonably possible.”\xa0\n\n\nCFO Matthew Clark told People magazine that the company hopes to lean on its “strong, longstanding relationships” with landlords.\xa0\n\n\n'","['Matthew Clark', 'Overton']",Amazon Institute of People and the Enviroment
0,337,664.0,"'We are seeing a significant increase in demand, which means our labor needs are unprecedented for this time of year,” Dave Clark, Amazon’s senior vice president of operations, said in a recent memo, The Wall Street Journal reported.\n\n\n'",['Dave Clark'],Amazon Environmental Research Institute
0,374,760.0,"'We talk about saving in a 401(k) as a method of dollar cost averaging,” said Kyle Hill, a certified financial planner and founder of Hill-Top Financial Planning, LLC.'",['Kyle Hill'],RInsights LLC
