,0,1,2,3,4
0,36,579,"'I am optimistic about this combination, but a well-designed clinical study is urgently needed to identify the appropriate patient population, optimize dosing regimen and assess the side effect profile of this combination therapy,” added Dr. Ryan Saadi, a Yale-trained infectious disease epidemiologist who is currently developing a ventilator technology at Quantaira Health.\n\n'","['Ryan Saadi', ""Quantaira Health.\\n\\n'""]",Yale University
0,37,624,"'The ability to carry out a prophylaxis trial will tell us whether plasma is effective in protecting our health care workers and first responders from COVID-19,” said Arturo Casadevall, a Johns Hopkins infectious disease expert, in a statement.\n\n'",['Arturo Casadevall'],Johns Hopkins University
0,46,649,"'We have very justifiable concerns right now about the mental health of this population,” Yulia Chentsova Dutton, a cultural psychology professor at Georgetown University, told The Washington Times.\n\n'",['Chentsova Dutton'],Georgetown University
0,58,826,"'Meanwhile, plasma infusion can be “a stopgap measure that we can put into place quickly,” said Washington University’s Dr. Jeffrey Henderson, who is working with a team of researchers to study the treatment.\n\n'",['Jeffrey Henderson'],University of Washington
0,79,1189,"'“Close the lid and then flush,” a mechanical engineering professor from Purdue University, Dr. Qingyan Chen, told Forbes.'","['Forbes', 'Qingyan Chen']",Purdue University
0,100,1354,"'There’s no ventilator for the brain,” Dr. Sherry H-Y. Chou, a neurologist at the University of Pittsburgh School of Medicine, told The Times.'",['Sherry H-Y. Chou'],University of Pittsburgh
0,102,1355,"'The sticking point was helmets,” said State Sen. Jessica Ramos (D-Queens), who sponsored last year’s bill.'",['Jessica Ramos'],Pennsylvania State University
0,137,1818,"'It’s going to send a ripple of excitement out through the treating community,” Dr. William Schaffner, an infectious disease expert at Vanderbilt University, told The Times.\n\n'",['William Schaffner'],Vanderbilt University
0,171,2338,"'I think there were municipalities and localities that didn’t want to fully admit the extent of the crisis,” professor Nicholas Thomas, an expert in infectious diseases and governance at the City University of Hong Kong, told Fortune.\n\n'",['Nicholas Thomas'],University of Hong Kong
0,178,2398,"'The Ford and GE Healthcare teams, working creatively and tirelessly, have found a way to produce this vitally needed ventilator quickly and in meaningful numbers,” Ford president and CEO Jim Hackett said in a Monday statement.\n\n'",['Jim Hackett'],University of Oxford
0,216,2847,"'There might be outlying cases that get a lot of media attention, but our analysis very clearly shows that at aged 50 and over, hospitalization is much more likely than in those under 50, and a greater proportion of cases are likely to be fatal,” said Azra Ghani, a professor at Imperial College London and an author of the study, in a statement.\n\n'",['Azra Ghani'],Imperial College London
0,223,2991,"'The more people who vote early or vote by mail means fewer people standing in line on election day,” California Secretary of State Alex Padilla told Axios.\n\n'",['Alex Padilla'],Pennsylvania State University
0,225,3008,"'“Studies like these are needed to understand proper precautions for health care workers, first responders and others who care for the ill and are needed to combat this pandemic,” said co-author Joshua Santarpia, who is an associate professor of pathology and microbiology at the University of Nebraska Medical Center.\n\n'",['Joshua Santarpia'],University of Nebraska Medical Center
0,229,3080,"'Jonathan Sarna, professor of American Jewish History at Brandeis University in Waltham, Mass., told the Times Helmreich “was in the wrong profession for the coronavirus.'","['Times Helmreich', 'Jonathan Sarna']",Brandeis University
0,231,3080,"'He believed that everybody had a story worth telling,” added Jeffrey, an assistant professor of philosophy and law at the University of California at Irvine.'",['Jeffrey'],"University of California, Irvine"
0,246,3273,"'The council’s decision gives individual schools the flexibility to make decisions at a campus level,” council chair M. Grace Calhoun, the athletic director at Penn, said in a statement released by the NCAA.'",['M. Grace Calhoun'],University of Pennsylvania
0,258,3453,"'Our review of the lists provided to date has led us to consent to the release of many hundreds of individuals due to their age and/or health condition; the nature of their charged crime; or the length of their remaining sentence,” reads the letter to Hizzoner and DOC Commissioner Cynthia Brann.\n\n'","[""Cynthia Brann.\\n\\n'""]",Murdoch University
0,312,4270,"'He’s making himself irrelevant,” Saikat Chakrabarti, a former chief of staff to Queens Rep. Alexandria Ocasio-Cortez, told The Post, saying the virtual broadcasts were not helping.'",['Alexandria Ocasio-Cortez'],The University of Queensland
0,329,4471,"'”\n\nSteven Merahn, a doctor who works with Sahgal, said that despite the attention Manhattan and Queens have received as hospitals are flooded with coronavirus patients, The Bronx is “the true ground zero for what’s going to happen.”\n\n“'","['Merahn', 'Sahgal']",The University of Queensland
0,344,4647,"'The company “may have to take tougher actions” if the coronavirus pandemic affects the world economy longer or more severely than anticipated, Ford president and CEO Jim Hackett told employees in a letter.\n\n'",['Jim Hackett'],University of Oxford
0,387,5153,"'We are now facing some difficult choices in how we apply medical resources — including staff,” Lewis Kaplan, president of the Society of Critical Care Medicine and a University of Pennsylvania surgeon, told the newspaper.\n\n'",['Lewis Kaplan'],University of Pennsylvania
0,403,5363,"'“Quarantine of individuals who have contact with a case or are coming from a high-risk area is definitely a key strategy; especially since people infected seem to be infectious at the very start of symptoms,” added Pollack, who works with a Harvard initiative in Hanoi, Health Advancement in Vietnam (HAIVN).\n\n'",['Pollack'],Harvard University
0,407,5391,"'During Mardi Gras, people were not thinking about social distancing or hand-washing,” Dr. Richard Oberhelman, chairman of the Department of Global Community Health and Behavioral Sciences at Tulane University’s School of Public Health and Tropical Medicine, told NBC.\n\n'",['Richard Oberhelman'],Tulane University
0,415,5458,"'These guys are on the frontline, making the biggest impact,” said Steve Joordens, a psychology professor at the University of Toronto.'",['Steve Joordens'],University of Toronto
0,459,6038,"'If the data supports it, I’m for it,” Graham said of the Easter date, April 12.\n\n'",['Graham'],Northeastern University
0,490,6529,"'The support has been beyond incredible,” wrote Anthea Allen, the senior nurse at St George’s who made the original appeal, in an email thanking the community.\n\n'",['Anthea Allen'],"St George’s, University of London"
0,491,6529,"'Critical NHS, the volunteer group, was set up on Thursday by husband and wife Niall Barrett and Janneke Diemel, who were responding to an appeal from a senior nurse at St George’s to “drop off a box of biscuits or something the staff can snack on.”\n\n'","['Niall Barrett', 'Janneke Diemel']","St George’s, University of London"
0,492,6530,"'Kelly Brogan (who has an MD from Cornell University and a master’s from MIT, according to her website) said in a video posted on Facebook last week that there is “potentially no such thing as the coronavirus” and that the reported deaths from the virus are “likely being accelerated by fear itself.'","['Kelly Brogan', 'Facebook']",Cornell University
0,493,6530,"'Kelly Brogan (who has an MD from Cornell University and a master’s from MIT, according to her website) said in a video posted on Facebook last week that there is “potentially no such thing as the coronavirus” and that the reported deaths from the virus are “likely being accelerated by fear itself.'","['Kelly Brogan', 'Facebook']",Cornell University
0,499,6720,"'The risk of contracting coronavirus through food has been, and is, extremely small,” Martin Wiedmann, a professor of food safety in Cornell University’s food science department, tells The Post.\n\n'",['Martin Wiedmann'],Cornell University
0,519,7262,"'We could not meet the demand,” said Samuel Matunog, president of the industry group, ICT Davao.'",['Samuel Matunog'],University of Victoria
0,564,8034,"'The chancellor was not properly following state policy,” said Aaron Carroll, a health sciences researcher and pediatrician at Indiana University School of Medicine.\n\n'",['Aaron Carroll'],Indiana University
0,580,8226,"'We do have a big problem in what the exit strategy is and how we get out of this,” said epidemiologist Mark Woolhouse of the University of Edinburgh.'",['Mark Woolhouse'],University of Edinburgh
0,617,8738,"'On Thursday, Mexican Foreign Relations Secretary Marcelo Ebrard he proposed measures to Secretary of State Mike Pompeo that “won’t paralyze economic activity and keep the border open to commerce and work.'","['Mike Pompeo', 'Marcelo Ebrard']",Pennsylvania State University
0,622,8895,"'The patient works at the Elizabeth Detention Center and was already under self-quarantine when they tested positive, according to ICE spokesman Emilio Dabul.\n\n'",['Emilio Dabul.\\n\\n'],Rice University
0,626,8962,"'Yesterday I was complaining to my friend that I was bored with my hair, and I kept seeing tutorials on TikTok about how to get natural, nice-looking bangs,” Christine Thomas, a senior at Purdue University who’s staying with her parents in Noblesville, IN, to ride out the pandemic, tells The Post.\n\n'",['Christine Thomas'],Purdue University
0,630,8996,'Sen. Bob Menendez (D-N.J.) penned a letter with eight colleagues to Secretary of State Mike Pompeo Wednesday asking him to quell “confusion among many Americans overseas” who are failing to get “basic information” from US embassies during the global crisis.\n\n',"['Mike Pompeo', 'Bob Menendez']",Pennsylvania State University
0,638,9163,"'It is very likely that the two positive cases [in Hong Kong] are examples of human-to-dog transmission,” Professor Malik Peiris, a public health virologist at the University of Hong Kong told the outlet.\n\n'",['Malik Peiris'],University of Hong Kong
0,655,9458,"'Some set of people is still going about their daily lives, and that needs to change pretty rapidly,” said Caroline Pearson, a senior vice president at NORC at the University of Chicago and a health policy expert.'",['Caroline Pearson'],University of Chicago
0,680,9707,"'It is one of the products where the risks heavily outweigh the benefits,” Jason Chan, an assistant professor in science education at the Hong Kong University of Science and Technology, told Quartz.\n\n'","['Quartz.\\n\\n', 'Jason Chan']",Hong Kong University of Science and Technology
0,714,10111,"'David Perez, 56, the civilian employee, died at a city hospital, said DOC Commissioner Cynthia Brann, who added that the Perez had only “limited contact with people in custody.'","['Cynthia Brann', 'Perez', 'David Perez']",Murdoch University
0,719,10259,"'Florida is like an uber-Italy,” Andrew Noymer, a demographer at the University of California, Irvine, who wasn’t involved in this research, tells Wired.'",['Andrew Noymer'],"University of California, Irvine"
0,723,10260,"'The risk of contracting coronavirus through food has been, and is, extremely small,” Martin Wiedmann, a professor of food safety in the Department of Food Science at Cornell University, told The Post.\n\n'","['Post.\\n\\n', 'Martin Wiedmann']",Cornell University
0,763,11019,"'Joel Wiesenthal, 49, of Forest Hills, Queens, said it felt “suspiciously like a way for the city to raise some revenue,”\n\n“'",['Joel Wiesenthal'],The University of Queensland
0,773,11134,"'At a time when health authorities are urging social distancing, app companies should not be packing five strangers in a van,” said Uber and Lyft driver and IDG organizer Tina Raveneau.'","['Tina Raveneau', 'Uber', 'Lyft']",University of Cambridge
0,789,11351,"'Now that we have isolated the SARS-CoV-2 virus [the agent responsible for COVID-19], we can share this with other researchers and continue this teamwork,” Dr. Arinjay Banerjee of McMaster University said in a statement.\n\n'",['Arinjay Banerjee'],McMaster University
0,792,11395,"'I think it will be around forever, but become less severe over time, as immunity builds up,” added Hunter, a professor of medicine at the University of East Anglia.'",['Hunter'],University of East Anglia
0,810,11722,"'We don’t make money,” said Queens cabbie Jones Donkoi while trying to land fares on the Upper West Side.'",['Jones Donkoi'],The University of Queensland
0,824,11920,"'Events are moving rapidly and my highest priority is protecting the health of our poll workers, and the community at large,” Georgia Secretary of State Brad Raffensperger said in a statement announcing the delay.\n\n'",['Brad Raffensperger'],Pennsylvania State University
0,841,12146,"'One of the researchers, Charles Gerba of the University of Arizona, said that the findings “suggest a serious threat to public health,” particularly from fecal coliform bacteria, which was found in half the bags.'",['Charles Gerba'],University of Arizona
0,849,12310,"'Now that we have isolated the SARS-CoV-2 virus [the agent responsible for COVID-19], we can share this with other researchers and continue this teamwork,” Dr. Arinjay Banerjee, NSERC post-doctoral fellow at McMaster University, said.\n\n'",['Arinjay Banerjee'],McMaster University
0,914,13414,"'It’s a solid piece of work that answers questions people have been asking,” and shows the value and importance of the hygiene advice that public health officials have been stressing, said Julie Fischer, a microbiology professor at Georgetown University.\n\n'",['Julie Fischer'],Georgetown University
0,926,13581,"'Jonathan Ball, a professor of molecular virology at the University of Nottingham who wasn’t involved in the research, said the study could indicate that the “bulk of people transmitting the disease” are mild cases.\n\n'",['Jonathan Ball'],University of Nottingham
0,948,13850,"'All face-to-face instruction is suspended,” said Rutgers President Robert Barchi in an announcement.\n\n'",['Robert Barchi'],"Rutgers, the State University of New Jersey"
0,979,14358,"'There is too great a risk, at this time, to the public health of the Riverside County area in holding a large gathering of this size,” Dr. David Agus, professor of medicine and biomedical engineering at the University of Southern California, said Sunday.'",['David Agus'],University of Southern California
0,1073,15653,"'It’s been terrible for business,” said Thomas Ho, a co-owner of Spy C Cuisine of Forest Hills, Queens, which opened in 2018 and garnered a coveted spot in this year’s Michelin Guide.'",['Thomas Ho'],The University of Queensland
0,1074,15653,'All you have to do is walk around to notice it.”\n\nCouncilmember Peter Koo of Queens has called on Mayor de Blasio to offer a helping hand in light of Hizzoner’s recent vow to “provide small businesses the support they need to survive.”\n\n',"['de Blasio', 'Peter Koo']",The University of Queensland
0,1078,15725,"'Our condolences are with his family and unfortunately he’s the first death we’ve had from coronavirus in Australia,” Andrew Robertson, the chief health officer of Western Australia state, told reporters.\n\n'",['Andrew Robertson'],University of Western Australia
0,1087,15934,"'The findings suggest real therapeutic potential for cannabinoids as antibiotics,” Eric Brown, professor of biochemistry at McMaster, said in a press release.'",['Eric Brown'],McMaster University
0,1094,16184,"'The bigger issue is that DoorDash and the other food delivery services have been struggling to make money,” said Jay Ritter, an IPO expert and professor at the University of Florida.\n\n'",['Jay Ritter'],University of Florida
0,1095,16220,"'Once you have the infection, it could remain dormant and with minimal symptoms, and then you can get an exacerbation if it finds its way into the lungs,” Professor Philip Tierno of the New York University School of Medicine told Reuters.\n\n'","['Reuters.\\n\\n', 'Philip Tierno']",New York University
0,1127,16792,"'Dr. Hitoshi Oshitani, a professor of Virology at Tohoku University Graduate School of Medicine in Sendai, said that “we need to find the best way to have a safe Olympics.'","['Hitoshi Oshitani', 'Virology']",Tohoku University
0,1133,16853,"'Given how the virus has continued to spread, we have to presume everyone leaving the ship is potentially infected, and therefore they have to go through another two-week quarantine period,” said Dr. Paul Hunter, a professor of medicine at the University of East Anglia in England.\n\n'",['Paul Hunter'],University of East Anglia
0,1134,16853,"'Dr. Nathalie MacDermott, an outbreak expert at King’s College London, criticized officials’ implementation of the quarantine, saying “there’s no reason this should not have worked it if had been done properly.'",['Nathalie MacDermott'],King’s College London
0,1158,17230,"'Professor Gabriel Leung, the chair of public health medicine at Hong Kong University, told The Guardian he was examining the implications of the World Health Organization’s Monday warning that cases of coronavirus spreading outside of China are the “tip of the iceberg.”\n\nMost experts believe that each person infected can go on to transmit coronavirus to about 2.5 other people — creating an “attack rate” of 60 to 80 percent, Leung told the paper.\n\n'",['Gabriel Leung'],University of Hong Kong
0,1159,17243,"'“Patient confidentiality is important but we may now be at the point where the public’s need to know more information is greater,” said Professor Paul Hunter, of the University of East Anglia.'",['Paul Hunter'],University of East Anglia
0,1160,17243,"'Dr. Andrew Freedman, an expert in infectious diseases at Cardiff University, added that it appears Walsh “has passed on the infection to an unusually large number of contacts.'","['Walsh', 'Andrew Freedman']",Cardiff University
0,1162,17297,"'It seems to be largely to do with the way an infection proceeds in a specific individual, which means some people simply excrete more virus than others,” Mark Woolhouse, professor of infectious disease epidemiology at the University of Edinburgh, told The Telegraph.'",['Mark Woolhouse'],University of Edinburgh
0,1168,17401,"'Secretary of State Mike Pompeo on Friday said the White House “has coordinated with US organizations to transport more humanitarian relief to people in Wuhan,” the coronavirus-ravaged Chinese city at the epicenter of the deadly outbreak.\n\n'",['Mike Pompeo'],Pennsylvania State University
0,1182,17734,"'In essence, it’s a version of SARS that spreads more easily but causes less damage,” said Ian Jones, a professor at University of Reading who was not connected to the two studies.\n\n'",['Ian Jones'],University of Reading
