,0,1,2,3,4
0,5,62.0,"'President Trump said he was meeting with the White House coronavirus task force Sunday and warned Americans that “a rough two weeks are coming up!”\n\n', 'Talks  meetings today are proving promising, but a rough two weeks are coming up!” the president wrote on Twitter.\n\n'",['Trump'],White House
0,7,84.0,"'I think Acting [Navy] Secretary [Thomas] Modly made a very tough decision, a decision that I support,” Esper said Sunday on CNN’s “State of the Union,”\xa0referring to Modly’s removal of Capt.'",['Thomas] Modly'],Navy
0,11,219.0,"'The next two weeks are extraordinarily important,” White House coronavirus response coordinator Deborah Birx warned at a press conference late Saturday.\n\n'",['Deborah Birx'],White House
0,17,335.0,"'In these scary times,” Hayward told the Post, “we are prepared.”'",['Hayward'],Military Postal Service Agency
0,18,339.0,"'We are determining how best to collect this information in one place,” said DOE spokeswoman Miranda Barbot.\n\n'",['Miranda Barbot.\\n\\n'],Energy Department (DOE)
0,30,521.0,"'This is an ever-changing situation and we intend to honor our contracts and continue to support the bus workforce while exploring ways to utilize these vehicles to serve the city during a crisis,” DOE spokeswoman Danielle Filson said in an email.\n\n'",['Danielle Filson'],Energy Department (DOE)
0,41,644.0,"'It wasn’t “a normal budget,” complained Senate Majority Leader Andrea Stewart-Cousins, “not even the budget we envisioned a month ago.'",['Andrea Stewart-Cousins'],Senate
0,47,650.0,"'I’m definitely going to rethink how I handle knives in the future, and maybe not make knife art at all,” Erichsen said in a message to The Post after his spiky slip-up.\n\n'",['Erichsen'],Military Postal Service Agency
0,49,672.0,"'There’s no time to waste,” former Brooklyn Councilman David Greenfield, who is CEO of the Met Council, told The Post on Friday.\n\n'","['Brooklyn Councilman', 'David Greenfield']",Military Postal Service Agency
0,55,738.0,"'Most of us are surprised to see how drastic the drop is this early,” Glassdoor senior economist Daniel Zhao told The Post.'",['Daniel Zhao'],Military Postal Service Agency
0,59,836.0,"'Here we are, locked in, for who knows how long,” Pinzler, a 45-year-old theater professor, tells The Post.'",['Pinzler'],Military Postal Service Agency
0,63,880.0,"'Marco Conner, staff attorney for Transportation Alternatives and Families for Safe Streets, told The Post the policy would be “unacceptable under normal circumstances.'",['Marco Conner'],Military Postal Service Agency
0,64,901.0,"'Birx said Tuesday that the White House modeling was “based on using very much what’s happened in Italy” and is informed by “five or six international and domestic modelers from Harvard, from Columbia, from Northeastern, from Imperial who helped us tremendously.'",['Birx'],White House
0,65,901.0,"'Birx said Tuesday that the White House modeling was “based on using very much what’s happened in Italy” and is informed by “five or six international and domestic modelers from Harvard, from Columbia, from Northeastern, from Imperial who helped us tremendously.'","['’s', 'Birx']",White House
0,76,1115.0,'White House trade adviser Peter Navarro said\xa0 that the feds have had issues making sure the company’s products made around the world are “coming back here to the right places.',['Peter Navarro'],White House
0,91,1306.0,"'I’ve known you for many years, but I never knew how bad a Senator you are for the state of New York, until I became President.”\n\nTrump was impeached last year and a Senate trial lasted until Feb. 5, when Trump was acquitted of abusing his power by pushing Ukraine to investigate Joe Biden and then obstructing Congress.'",['Joe Biden'],Senate
0,92,1306.0,"'Trump told reporters in February that he believed Rep. Alexandria Ocasio-Cortez would challenge Schumer, the Senate minority leader, in 2022 and that “she will kick his ass.”\n\nAs of Thursday, more than 235,000 US residents have been diagnosed with the coronavirus, of whom more than 5,600 have died.'","['Alexandria Ocasio-Cortez', 'Schumer']",Senate
0,96,1350.0,"'I sat down in a chair and cried for like 20 minutes,” bride Monica Mott tells the Post.'",['Monica Mott'],Military Postal Service Agency
0,97,1352.0,"'As soon as we received the letter from the Health and Human Services Director and Chief Health Officer for Coconino County recommending the closure of Grand Canyon National Park, we closed the park,” Interior Secretary David Bernhardt said in a statement.\n\n', 'As soon as we received the letter from the Health and Human Services Director and Chief Health Officer for Coconino County recommending the closure of Grand Canyon National Park, we closed the park,” Interior Secretary David Bernhardt said in a statement.\n\n'",['David Bernhardt'],Department of the Interior (DOI)
0,98,1352.0,"'As soon as we received the letter from the Health and Human Services Director and Chief Health Officer for Coconino County recommending the closure of Grand Canyon National Park, we closed the park,” Interior Secretary David Bernhardt said in a statement.\n\n', 'As soon as we received the letter from the Health and Human Services Director and Chief Health Officer for Coconino County recommending the closure of Grand Canyon National Park, we closed the park,” Interior Secretary David Bernhardt said in a statement.\n\n'",['David Bernhardt'],Department of the Interior (DOI)
0,106,1440.0,"'President Trump’s re-election campaign told Senate Republican candidate Jeff Sessions on Thursday to stop calling himself a Trump ally, saying “nothing could be further from the truth.'","['Trump’s', 'Jeff Sessions']",Senate
0,118,1631.0,"'In a statement to The Post this week, FEMA spokesman Daniel Llargues said, “FEMA is aware of many states’ planning efforts to account for mortuary contingencies and has increased its posture to support these requests once received from the states.”\n\n'",['Daniel Llargues'],Military Postal Service Agency
0,119,1631.0,"'The military’s Defense Logistics Agency “is currently responding to FEMA’s prudent planning efforts for 100,000 pouches to address mortuary contingencies on behalf of state health agencies,” Pentagon spokesman Lt. Col. Mike Andrews said in a statement to Bloomberg News.\n\n'","[""Bloomberg News.\\n\\n'"", 'Mike Andrews']",Pentagon Force Protection Agency
0,138,1860.0,"'You never know what’s going to catch people’s attention,” Pitts told The Post over the phone Wednesday.'",['Pitts'],Military Postal Service Agency
0,141,1991.0,"'In an email to Reeves, Lt. Gov. Delbert Hosemann and House Speaker Philip Gunn early Wednesday, Woodward said that without such an order, “our health system will be overwhelmed.'","['Delbert Hosemann', 'Philip Gunn', 'Woodward']",Congress—U.S. House of Representatives
0,144,2052.0,"'It’s not a drop in the bucket to me,” Feuerstein, 73, an Eltingville resident and former Rudin Management executive told the Post Wednesday.\n\n'",['Feuerstein'],Military Postal Service Agency
0,147,2071.0,"'“I’ve had some friends tell me they think it’s weird or depressing to go to the cemetery right now,” Cusick tells The Post, adding that she visits Green-Wood often because of its close proximity to her Windsor Terrace apartment.'",['Cusick'],Military Postal Service Agency
0,162,2233.0,"'We have a conceptual agreement with the leaders on the budget,” Cuomo told reporters at the state Capitol on Wednesday, but declined to elaborate further. \n\n'",['Cuomo'],Architect of the Capitol
0,165,2266.0,"'This filing requirement would place a significant burden on retired seniors and individuals who experience disabilities, especially given the current unavailability of tax filing assistance from Volunteer Income Tax Assistance and Tax Counseling for the Elderly programs during the COVID-19 crisis,” the senators wrote in a letter to Treasury Secretary Steven Mnuchin and Social Security Commissioner Andrew Saul, obtained by NBC News.\n\n'","['Steven Mnuchin', 'Andrew Saul']",Social Security Administration (SSA)
0,169,2292.0,"'The letter sent to our employees yesterday speaks for itself,” CraftWorks chief experience officer Josh Kern told The Post in an email.'",['Josh Kern'],Military Postal Service Agency
0,174,2381.0,"'Brett Crozier sent a memo to the Navy on Monday asking for help in responding to an outbreak among the crew of the USS Theodore Roosevelt, urging “decisive action is required now” to comply with guidelines released by the Centers for Disease Control and Prevention to “prevent tragic outcomes.'",['Brett Crozier'],Navy
0,184,2478.0,"'At a time when Americans face a profound public health and national security threat posed by the COVID-19 pandemic, it is imperative that the men and women of law enforcement have the support they need to prevent public health threats from entering the country through our borders,” a Homeland Security official told Fox News.\n\n'","[""Fox News.\\n\\n'""]",Department of Homeland Security (DHS)
