,0,1,2,3,4
0,24,435.0,"'My CEO is desperate to offer a helping hand with our equipped medical facilities and physicians, [nurse practitioners] and [physician assistants],” a Katsnelson employee wrote in a March 19 email to city Health Department Assistant Commissioner Jennifer Rakeman, state Bureau of Communicable Disease Control director Daniel Kuhles, state Division of Epidemiology director Debra Blog, and others.\n\n'","['Debra Blog', 'Katsnelson', 'Daniel Kuhles', 'Jennifer Rakeman']",Vision
0,29,500.0,"'While many of our customers have been following the advice of the medical community regarding social distancing and safety, we have been concerned to still see some behaviors in our stores that put undue risk on our people,” Dacona Smith, Walmart’s executive vice president and COO, said in a statement Friday.\n\n'",['Dacona Smith'],Women's Coordinator
0,45,649.0,"'We are definitely worried,” Dr. Hans Kluge, the agency’s regional director for Europe, said on the Times’ daily podcast.'",['Hans Kluge'],The Times Think Tank
0,84,1228.0,"'He’s not smart, or articulate,” Amazon general counsel David Zapolsky said of Kelly in notes from an internal meeting of Amazon leadership obtained by the outlet.\n\n\n'",['David Zapolsky'],Amazon Environmental Research Institute
0,88,1290.0,"'He’s not smart, or articulate,” Amazon general counsel David Zapolsky said in notes from an internal meeting of Amazon leadership obtained by the outlet.\n\n'",['David Zapolsky'],Amazon Environmental Research Institute
0,99,1354.0,"'The pattern of involvement and the way that it rapidly progressed over days, is consistent with viral inflammation of the brain,” Dr. Elissa Fory, a neurologist with Henry Ford Health System, told The Times.'",['Elissa Fory'],The Times Think Tank
0,135,1781.0,"'We anticipate the largest one-month spike in the unemployment rate in history, which underscores the critical importance of extending support to working families and those who have recently lost their jobs,” Rodgers and Andrew Stettner wrote in their report for the Century Foundation, a progressive think tank.\n\n'","['Andrew Stettner', 'Rodgers']",Century Foundation
0,149,2093.0,"'I can hardly bear it,” 710 WOR’s Alice Stockton-Rossini told The Philadelphia Inquirer.'",['Alice Stockton-Rossini'],Adelphi
0,170,2338.0,"'From April 1, we will publish reports, outcomes and management of asymptomatic people in daily epidemic notifications, and respond to social concerns in a timely manner,” Jile said at a news conference in Wuhan, the website reported, citing state-run China Central Television.\n\n'",['Jile'],Vision
0,175,2382.0,"'”\n\nWall Street is waiting to see how long the virus will keep swaths of the US shut down as investors await corporate earnings reports that will show how hard companies have been hit, according to Lamar Villere, portfolio manager of the Villere Balanced Fund.\n\n'",['Lamar Villere'],Balance
0,205,2760.0,"'Another open letter, signed by Bernie Sanders and 15 other congresspeople, asked Bezos to explain just how he was protecting his Amazon warehouse workers, who “continue to raise concerns that their employer is not doing enough to protect them from exposure to COVID-19” even as “Amazon’s US sales have spiked” due to national self-quarantine.\n\n'",['Bezos'],Amazon Environmental Research Institute
0,206,2760.0,"'Another open letter, signed by Bernie Sanders and 15 other congresspeople, asked Bezos to explain just how he was protecting his Amazon warehouse workers, who “continue to raise concerns that their employer is not doing enough to protect them from exposure to COVID-19” even as “Amazon’s US sales have spiked” due to national self-quarantine.\n\n'",['Bezos'],Amazon Environmental Research Institute
0,218,2875.0,"'If you’ve got a ventilator in your office, in your operating room, we need it now,” said de Blasio during a press conference at the USTA Billie Jean King National Tennis Center in Queens, part of which is being converted to a 350-bed field hospital.\n\n'",['de Blasio'],Sustainable Chile
0,221,2968.0,"'In cafes across the country, the Tropical Smoothie Cafe family is working tirelessly to support our local communities, which are currently facing unprecedented hardship,” said Charles Watson, CEO of Tropical Smoothie Cafe, LLC.'","['Tropical Smoothie Cafe', 'Charles Watson']",RInsights LLC
0,338,4595.0,"'Two weeks ago, “it was like escape from New York — people were fleeing the city,” said Matthew Breitenbach, a broker with Compass in the Hamptons on Long Island.'",['Matthew Breitenbach'],Compass
0,456,6027.0,"'Annelies Garcia, commercial director for private jet booking firm PrivateFly, tells the Independent that American educators are even helping Chinese students “looking to group together to arrange a private charter.'",['Annelies Garcia'],Centre for Independent Studies
0,475,6342.0,"'We are supporting the individuals, following guidelines from local officials, and are taking extreme measures to ensure the safety of all the employees at our sites,” Amazon spokeswoman Lisa Levandowski said in an emailed statement.\n\n'",['Lisa Levandowski'],Amazon Environmental Research Institute
0,476,6342.0,"'And while Amazon allows warehouse staff to take time off if they’re concerned, Bezos also expects the company’s warehouses to keep operating, saying in the letter that much of “the essential work we do” requires employees to clock in at the company'",['Bezos'],Amazon Environmental Research Institute
0,498,6719.0,"'Once this whole issue started to explode with regard to the pandemic, we implemented a price decrease to effectively revert back to 2015 pricing across all customers,” said the drug manufacturer’s COO, Ira Baeringer, who later added that they’d implement another 20% decrease.'",['Ira Baeringer'],Women's Coordinator
0,549,7791.0,"'We don’t take this lightly,” Dr. Laura Forese, the hospital system’s executive vice president and COO, said during the briefing.\n\n'",['Laura Forese'],Women's Coordinator
0,571,8122.0,"'“Hospitals in America are all about trying to be profitable, they’re not about being prepared for a disaster,” says Dr. Tim Kruse, who makes house calls in Aspen for his billionaire patients who are fretting about getting a ventilator if they need one.'",['Tim Kruse'],Aspen France Institute
0,588,8322.0,"'It’s the best deal we could get under trying circumstances,” actress Kate Shindle, the president of Actors’ Equity Association, which represents actors and stage managers, told The Times.'",['Kate Shindle'],The Times Think Tank
0,633,9085.0,"'But some lesser-known names might be better bets than companies such as Blue Apron that will only see short-term benefits from the shifts the pandemic has brought on, according to Lamar Villere, portfolio manager of the Villere Balanced Fund.\n\n\n'",['Lamar Villere'],Balance
0,643,9259.0,"'We wanted to notify you directly about this matter in the event that you are contacted by the Department of Justice in connection with its investigation,” Parks said in his e-mail, which was sent to a Reuters editor who is also an Amazon customer.\n\n'",['Parks'],Amazon Environmental Research Institute
0,663,9649.0,"'I had one customer spend $8,000,” said Joe Gurrera, founder of upscale supermarket chain Citarella.'",['Joe Gurrera'],Arel
0,700,9896.0,"'As a nation, this is a time where we must take care of one another including those most vulnerable among us in hospitals,” Red Cross president and chief executive officer Gail McGovern said in the statement.\n\n'",['Gail McGovern'],Red Cross / Red Crescent Climate Centre
