,0,1,2,3,4
0,19,33,"""Paid leave is important,""",['David Michaels'],George Washington University
0,20,33,"""because you need to do everything you can to ensure that potentially sick workers stay home in order not to infect co-workers and others in the public.""",['David Michaels'],George Washington University
0,28,42,"""They are not citizens,""",['Zhengmei Sun' 'Jacquelyn Yang'],New York University
0,50,78,"""We’re going to see a battle between charisma and competence,""",['Tim Bale' 'Bale'],Queen Mary University of London
0,51,78,"""Many of those party members have enjoyed the journey under Corbyn but not the destination, and now want a form of pragmatism,""",['Steven Fielding'],University of Nottingham
0,53,78,"""For the next few years,""",['Bale'],Queen Mary University of London
0,54,78,"""he is arguably going to be playing on home turf rather than on the opposition’s turf.""",['Bale'],Queen Mary University of London
0,70,93,"""People want to talk about this virus as an equal-opportunity pathogen, but it’s really not,""",['Ashwin Vasan'],Columbia University
0,73,97,"""The characteristics align with obsessive compulsive tendencies, which get triggered when people feel threatened,""",['Nick Haslam'],University of Melbourne
0,74,97,"""Psychology in the Bathroom.""",['Nick Haslam'],University of Melbourne
0,77,100,"""a bit like magical thinking.""",['Domenico Accili'],Columbia University
0,111,141,"""Video Captions Benefit Everyone.""",['Morton Ann Gernsbacher'],University of Wisconsin-Madison
0,112,144,"""I think the vast amount of data would suggest that the coronavirus is an airborne infection carried by respiratory droplets, and it also can be passed on by direct contact,""",['Siddhartha Mukherjee'],Columbia University
0,124,163,"""There are not enough supplies for health care workers and essential employees,""",['Jill Carter'],Pennsylvania State University
0,130,168,"""to work your way back here,""",['Mike Pompeo'],Pennsylvania State University
0,148,192,"""When a cop is patrolling, they have to go into homes, they have to go into stores, they experience a whole different world of environments,""",['Timothy Akers'],Oregon State University
0,210,269,"""You want to use carrots instead of sticks,""",['James Colgrove'],Columbia University
0,219,284,"""It’s a combination of sloppy engineering and prioritizing growth,""",['Jonathan Mayer'],Princeton University
0,220,286,"""The mantra is, ‘Keep calm and carry on,’""",['Marguerite Neill'],Brown University
0,243,333,"""There are a surprisingly large number of people who are unbanked in the U.S.,""",['Michael Graetz'],Columbia University
0,269,373,"""Usually, the standard is to intubate and do CPR and do all those things,""",['Angela Mills'],Columbia University
0,279,387,"""Our kids are brilliant emotional detectives of their parents,""",['Abi Gewirtz'],University of Minnesota
0,283,398,"""If you feel you don’t want to venture out because you need to self-quarantine, then I can understand a laundry service,""",['Nellie Brown'],Cornell University
0,285,399,"""this moment holds the potential to resuscitate negative feelings that Americans have about government.""",['Marc Hetherington' 'Hetherington'],Vanderbilt University
0,298,419,"""Aware that the European Union is watching, Orban is likely to tread modestly at first,""",['Mujtaba Rahman'],University of Delaware
0,304,438,"""I think this is a rare situation where we’re going to have to walk into the store and say, Do I need this more than the next person who might be coming down this aisle?""",['Nathan Novemsky'],Yale University
0,306,439,"""It’s still hard to tell what percentage of people are truly asymptomatic because many go on to develop symptoms a few days later,""",['Neil Fishman'],University of Pennsylvania
0,310,446,"""Aware that the European Union is watching, Orban is likely to tread modestly at first,""",['Mujtaba Rahman'],University of Delaware
0,317,453,"""There are people who haven’t even heard Trump that much, while the rest of us have been obsessed,""",['Matt Grossmann'],Michigan State University
0,324,462,"""The weight of the evidence shows additional resources help kids,""",['Greg Duncan'],"University of California, Irvine"
0,332,473,"""Although the first priority should be on definitely trying to control the virus,""",['Karen Eggleston'],Stanford University
0,386,537,"""I’m very impressed by this,""",['William Schaffner'],Vanderbilt University
0,388,544,"""The war just set off inflation at Harvard,""",['Henry Rosovsky'],Harvard University
0,403,570,"""It’s an early picture, before Arles and before Paris, so it is darker and less recognizable as a van Gogh,""",['van Gogh' 'a van Gogh'],Charles Darwin University
0,405,573,"""Diaries and correspondences are a gold standard,""",['Jane Kamensky'],Harvard University
0,407,573,"""People think the internet is going to be permanent, but we’re already starting to lose things that were committed to bits and bytes,""",['Shane Landrum'],Brandeis University
0,408,577,"""We have to have social interventions to incentivize and support isolation, or we are doomed,""",['Arthur Caplan'],New York University
0,418,601,"""is a function of the American system where we get so much variation from employer to employer""",['Alexander Colvin'],Cornell University
0,452,668,"""I don’t think anything like this has happened since then, so 50 years ago, half a century,""",['Danheiser' 'Rick Danheiser'],Massachusetts Institute of Technology
0,453,668,"""It would be amazing if I could just focus on my classes,""",['Polanco'],Dartmouth College
0,456,672,"""I’m days away from my due date, and I’m trying to mentally prepare for both scenarios,""",['Kate Dinota'],The University of Queensland
0,458,678,"""I don’t think anything like this has happened since then, so 50 years ago, half a century,""",['Danheiser' 'Rick Danheiser'],Massachusetts Institute of Technology
0,460,681,"""There seems to be a concerted effort on the part of Trump supporters to spread misinformation about the virus aggressively,""",['Carl Bergstrom'],University of Washington
0,464,683,"""If everyone in the community wears a mask, it could decrease transmission,""",['Neil Fishman'],University of Pennsylvania
0,478,712,"""occurred with prolonged close contact in a room with poor ventilation""",['Benjamin Cowling'],University of Hong Kong
0,489,734,"""It’s still hard to tell what percentage of people are truly asymptomatic because many go on to develop symptoms a few days later,""",['Neil Fishman'],University of Pennsylvania
0,512,796,"""Increased pollution increases susceptibility to infection,""",['Meredith McCormack'],Johns Hopkins University
0,518,810,"A disinfectant on a surface will render it harmless,",['Gary Whittaker'],Cornell University
0,520,813,"""There is no way to monitor the individual patients without some invasive monitoring or additional monitors for each patient,""",['Richard Branson'],University of Cincinnati
0,521,813,"""While this is a technique that potentially could work for maybe a few hours, there are some significant hurdles,""",['MeiLan Han' 'Han'],University of Michigan
0,531,828,"""That is definitely on everyone’s minds,""",['Tarek Ziad'],Yale University
0,544,845,"""You’re cutting into muscle in terms of our program.""",['Michael Drake' 'Drake'],Ohio State University
0,546,857,"""It’s a start, but inadequate to the crisis,""",['Michael Waldman'],New York University
0,548,873,"""There is no way to monitor the individual patients without some invasive monitoring or additional monitors for each patient,""",['Richard Branson'],University of Cincinnati
0,549,873,"""While this is a technique that potentially could work for maybe a few hours, there are some significant hurdles,""",['MeiLan Han' 'Han'],University of Michigan
0,561,892,"""As much as it will pain many of his rivals to admit it, he does appear to be the complete package,""",['Tim Bale'],Queen Mary University of London
0,572,914,"""This would be a very dramatic test for Israeli democracy and the rule of law,""",['Gideon Rahat'],Hebrew University of Jerusalem
0,576,925,"""What we’re seeing is an interesting broadening of what GoFundMe is normally used for,""",['Nora Kenworthy'],University of Washington
0,578,933,"""Supervision is the number one way to prevent accidental injury,""",['Alison Tothy'],University of Chicago
0,582,937,"""Fortunately, there was no evidence of vertical transmission from mother to child,""",['Wei Zhang' 'Zhang'],Northwestern University
0,583,937,"""We do know that we’re going to have lots of pregnant women with coronavirus, just given the number of cases,""",['Denise Jamieson'],Emory University
0,591,944,"""It’s either they did something right,""",['Peter Rabinowitz'],University of Washington
0,599,967,"""A crisis like the coronavirus epidemic highlights the stake that everyone has in the care of the sick,""",['Paul Starr'],Princeton University
0,607,977,"""occurred with prolonged close contact in a room with poor ventilation""",['Benjamin Cowling'],University of Hong Kong
0,610,984,"""The response looks to be proportionate to the extent of the problem,""",['Justin Wolfers'],University of Michigan
0,618,994,"""If this really goes on for months at a time, for 18 months as some people have projected, having health care workers who are immune to the virus will be really, really helpful,""",['Angela Rasmussen'],Columbia University
0,622,997,"""Isolation can increase the desire to stay electronically connected even more,""",['Medalie' 'Lisa Medalie'],University of Chicago
0,631,1003,"""If this really goes on for months at a time, for 18 months as some people have projected, having health care workers who are immune to the virus will be really, really helpful,""",['Angela Rasmussen'],Columbia University
0,637,1016,"""The response looks to be proportionate to the extent of the problem,""",['Justin Wolfers'],University of Michigan
0,645,1026,"""The mantra is, ‘Keep calm and carry on,’""",['Marguerite Neill'],Brown University
0,648,1033,"""Unemployment is more than just a period when you have lower earnings,""",['Katharine Abraham'],"University of Maryland, College Park"
0,671,1076,"""could be a political burden because the government must make additional expenditures for the preparation of the Olympic Games during an economic crisis,""",['Jiro Yamaguchi' 'Games'],Yonsei University
0,679,1084,"""There will be much more robust business continuity and contingency planning in response to pandemics like this,""",['Kristen Jaconi'],University of Southern California
0,683,1091,"""All my Stanford friends and I are self-quarantining in our own rooms away from our families after getting booted off campus,""",['Netta Wang'],Stanford University
0,687,1095,"""We don’t have any data about how long the virus remains infectious on water fountains,""",['Angela Rasmussen'],Columbia University
0,697,1113,"""the virus will surge, many will fall ill and there will be more deaths,""",['William Schaffner'],Vanderbilt University
0,735,1181,"""This does feel like something that’s going to set all of that back a little bit,""",['Sara Jensen Carr'],Northeastern University
0,741,1193,"""Density is really an enemy in a situation like this,""",['Steven Goodman'],Stanford University
0,744,1198,"""Density is really an enemy in a situation like this,""",['Steven Goodman'],Stanford University
0,765,1224,"""One of the things we are trying to figure out is, how accurate is this nasal test going to be?""",['Yvonne Maldonado'],Stanford University
0,769,1227,"""Density is really an enemy in a situation like this,""",['Steven Goodman'],Stanford University
0,783,1238,"""Density is really an enemy in a situation like this,""",['Steven Goodman'],Stanford University
0,787,1239,"""I keep saying, is there any way we can get a virtual news conference,""",['Anthony Fauci'],London School of Economics and Political Science
0,789,1245,"""I keep saying, is there any way we can get a virtual news conference,""",['Anthony Fauci'],London School of Economics and Political Science
0,802,1269,"""may be an example of the kind of thing we call a super-spreading event,""",['William Hanage'],Harvard University
0,815,1292,"""to make sure that if they do come down with the virus, that they’re being cared for, that they’re being hydrated,""",['David Dosa'],Brown University
0,827,1303,"""Everything was set up for a large-scale social survey,""",['Tobias Plieninger'],University of Göttingen
0,828,1304,"""I live from paycheck to paycheck,""",['Sebastian Lassen'],University of Copenhagen
0,852,1352,"""We just got an email, a plain old email that said where we were matching,""",['Alex Kokaly'],University of Michigan
0,862,1370,"""creates risk to people all around the world.""",['Mike Pompeo'],Pennsylvania State University
0,868,1379,"""We just got an email, a plain old email that said where we were matching,""",['Alex Kokaly'],University of Michigan
0,869,1381,"""We just got an email, a plain old email that said where we were matching,""",['Alex Kokaly'],University of Michigan
0,870,1382,"""We just got an email, a plain old email that said where we were matching,""",['Alex Kokaly'],University of Michigan
0,873,1385,"""We just got an email, a plain old email that said where we were matching,""",['Alex Kokaly'],University of Michigan
0,882,1402,"""For me, it was really disheartening to see the embassy, the State Department, wasn’t able to help us,""",['the State Department'],Boston University
0,895,1418,"""She’s held multiple senior roles across the center, and is an excellent choice,""",['Javed Ali'],University of Michigan
0,900,1429,"""Traveling longer distances by car is not advisable right now, unless it is of a more urgent nature,""",['Rachel Patzer'],Emory University
0,902,1430,"""Traveling longer distances by car is not advisable right now, unless it is of a more urgent nature,""",['Rachel Patzer'],Emory University
0,913,1442,"""The fathers in Asia can become lonely and marriages are imperiled, wives face the stresses of managing a household alone, and the children can become spoiled when money and cars are substituted for the lack of parental presence,""",['David Ley'],University of British Columbia
0,917,1448,"""In Australia and New Zealand, the approach has been to treat international students as cash cows, and as a result the shortcomings in their systems are really coming to the surface,""",['Salvatore Babones'],University of Sydney
0,918,1448,"""In quite a short period of time, we have become sort of addicted to one source of income,""",['Brown' 'Kerry Brown'],King’s College London
0,919,1448,"""I think this is going to exacerbate the sense that has been growing for years that the U.K., and to a lesser extent the U.S., are not great destinations for international students, especially Chinese students,""",['Craig Calhoun'],Arizona State University
0,920,1449,"""In Australia and New Zealand, the approach has been to treat international students as cash cows, and as a result the shortcomings in their systems are really coming to the surface,""",['Salvatore Babones'],University of Sydney
0,921,1449,"""In quite a short period of time, we have become sort of addicted to one source of income,""",['Brown' 'Kerry Brown'],King’s College London
0,922,1449,"""I think this is going to exacerbate the sense that has been growing for years that the U.K., and to a lesser extent the U.S., are not great destinations for international students, especially Chinese students,""",['Craig Calhoun'],Arizona State University
0,942,1475,"""I think it’s reasonable to expect that you have to factor Covid into emergency response preparation for this summer,""",['David Lee Thomas'],Johns Hopkins University
0,943,1482,"""People get interested around the time of a SARS epidemic or an H1N1 flu epidemic, and then they forget,""",['Lynne Goldman'],George Washington University
0,945,1484,"""I’m worried because if we get it, everybody is going to get it,""",['Aretha Morgan'],Columbia University
0,959,1497,"""The shale players were already stretched to their limits, and the virus has just broken every thread they were holding on by,""",['Ed Hirs'],University of Houston
0,964,1501,"""We have to work all together, we cannot even afford losing a single minute with political fighting,""",['Antoni Trilla'],University of Barcelona
0,978,1526,"""all my life, really, ever since I was a kid stocking shelves with my dad.""",['George Perez'],The University of Queensland
