idx.1,idx,idx.1,quote,people,educ_inst
33,20,33,"'Paid leave is important,” said Dr. David Michaels, a former head of the Occupational Safety and Health Administration who teaches at George Washington University, “because you need to do everything you can to ensure that potentially sick workers stay home in order not to infect co-workers and others in the public.'",['David Michaels'],George Washington University
33,21,33,"'Paid leave is important,” said Dr. David Michaels, a former head of the Occupational Safety and Health Administration who teaches at George Washington University, “because you need to do everything you can to ensure that potentially sick workers stay home in order not to infect co-workers and others in the public.'",['David Michaels'],George Washington University
42,28,42,"'They are not citizens,” said Zhengmei Sun, whose daughter, Jacquelyn Yang, 19, attends New York University'","['Jacquelyn Yang', 'Zhengmei Sun']",New York University
78,50,78,"'We’re going to see a battle between charisma and competence,” said Tim Bale, a professor of politics at Queen Mary University in London.'",['Tim Bale'],Queen Mary University of London
78,51,78,"'Many of those party members have enjoyed the journey under Corbyn but not the destination, and now want a form of pragmatism,” said Steven Fielding, a professor of political history at Nottingham University.\n'",['Steven Fielding'],University of Nottingham
78,53,78,"'For the next few years,” said Mr. Bale, of Queen Mary University, “he is arguably going to be playing on home turf rather than on the opposition’s turf.'",['Bale'],Queen Mary University of London
78,54,78,"'For the next few years,” said Mr. Bale, of Queen Mary University, “he is arguably going to be playing on home turf rather than on the opposition’s turf.'",['Bale'],Queen Mary University of London
93,68,93,"'People want to talk about this virus as an equal-opportunity pathogen, but it’s really not,” said Dr. Ashwin Vasan, a doctor and public health professor at Columbia University.'",['Ashwin Vasan'],Columbia University
97,73,97,"'The characteristics align with obsessive compulsive tendencies, which get triggered when people feel threatened,” said Nick Haslam, a professor of psychology at the University of Melbourne in Australia and the author of “Psychology in the Bathroom.'",['Nick Haslam'],University of Melbourne
97,74,97,"'The characteristics align with obsessive compulsive tendencies, which get triggered when people feel threatened,” said Nick Haslam, a professor of psychology at the University of Melbourne in Australia and the author of “Psychology in the Bathroom.'",['Nick Haslam'],University of Melbourne
100,77,100,"'Dr. Domenico Accili, an endocrinologist at Columbia University, said he thought efforts to use the vaccine against the coronavirus sound “a bit like magical thinking.'",['Domenico Accili'],Columbia University
141,105,141,"'To the Editor:\nIn 2015, Morton Ann Gernsbacher, a professor at the University of Wisconsin-Madison, published an article in the journal Policy Insights From the Behavioral and Brain Sciences entitled, “Video Captions Benefit Everyone.'",['Morton Ann Gernsbacher'],University of Wisconsin-Madison
144,107,144,"'I think the vast amount of data would suggest that the coronavirus is an airborne infection carried by respiratory droplets, and it also can be passed on by direct contact,” said Dr. Siddhartha Mukherjee, assistant professor of medicine at Columbia University, who recently wrote an article about how the coronavirus behaves inside patients.'",['Siddhartha Mukherjee'],Columbia University
163,118,163,"'There are not enough supplies for health care workers and essential employees,” said State Senator Jill Carter, a Democrat.\n'",['Jill Carter'],Pennsylvania State University
168,124,168,"'At a Tuesday news briefing, Secretary of State Mike Pompeo urged Americans “to work your way back here,” saying he could not guarantee “the U.S. government'",['Mike Pompeo'],Pennsylvania State University
182,131,182,"'The new cases or deaths each day are given as exact numbers and we’re trained to take that at face value,” said Mark N. Lurie, an epidemiologist at Brown University’s School of Public Health.'",['Mark N. Lurie'],Brown University
192,137,192,"'When a cop is patrolling, they have to go into homes, they have to go into stores, they experience a whole different world of environments,” said Timothy Akers, an assistant vice president at Morgan State University in Baltimore who studies the emerging field of epidemiological criminology.\n\n\n'",['Timothy Akers'],Oregon State University
