,0,1,2,3,4
0,3,4.0,"""I’d say there’s always a dance between any governor and sitting administration in knowing that you have to draw between the lines and look for ways of working constructively with that administration regardless of your party,""",['Mark Sanford'],Congress—U.S. House of Representatives
0,16,23.0,"At least 400 from the vessel were expected to be sent to hotels in Guam on Sunday,",['Rhodes' 'Mary Rhodes'],Navy
0,30,42.0,"""I’m not aware that we are tracking Chinese students in the United States who are seeking assistance inasmuch as we are seeking to repatriate U.S. citizens from overseas,""",['Ian Brownlee'],Bureau of Consular Affairs
0,44,71.0,"""don’t have the minutes on their phone, don’t have the data plan,""",['Wagner'],Centers for Medicare and Medicaid Services (CMS)
0,63,88.0,"""As is the case with regard to other positions where I, as president, have the power of appointment, by and with the advice and consent of the Senate, it is vital that I have the fullest confidence in the appointees serving as inspectors general,""",['Trump'],Senate
0,65,91.0,"""a great friend of mine, a supporter and great guy.""",['Trump'],White House
0,78,101.0,"""If we run out of money, we’re going to go back to Congress and get more money for small business,""",['Mnuchin'],Congress—U.S. House of Representatives
0,127,166.0,"""We talked to a number of folks at the White House and Homeland Security,""",['Lawrence Keane'],White House
0,129,167.0,"""That’s obvious to most people, and a C.E.O. will have this defense at his or her disposal,""",['Tony Fratto'],Department of the Treasury
0,136,172.0,"""to gag and vote for it anyway.""",['Mitch McConnell'],Senate
0,152,197.0,"""That’s obvious to most people, and a C.E.O. will have this defense at his or her disposal,""",['Tony Fratto'],Department of the Treasury
0,156,202.0,"""a ‘frat party’ that descended from a U.F.O. and invaded the federal government.""",['Times'],Federal Emergency Management Agency (FEMA)
0,162,209.0,"""baffling in many respects,""",['Carrie Booth Walling'],Advisory Council on Historic Preservation
0,163,210.0,"""overwhelmed his ability to act professionally.""",['Captain Crozier'],Navy
0,164,210.0,"""This is far from the first time in the last several years that Congress is going to have a lot of questions for Navy leadership — on leadership.""",['Joe Courtney' 'John Garamendi' 'Adam Smith' 'Jackie Speier'],Navy
0,171,215.0,"""Mr. Kushner and his team, from the White House Office of American Innovation, have played an integral role by facilitating close coordination between the federal government and the private sector during this critical time,""",['Lizzie Litzow'],White House
0,173,218.0,"""We talked to a number of folks at the White House and Homeland Security,""",['Lawrence Keane'],White House
0,179,220.0,"""and will respond as appropriate.""",['Angela Morabito'],Department of Education (ED)
0,180,228.0,"""If L.C.C. of Kirkland does not correct all deficiencies and return to full compliance by September 16, 2020, then C.M.S. will terminate your facility from participating in the Medicare/Medicaid program,""",['Patrick Thrift'],Centers for Medicare and Medicaid Services (CMS)
0,200,261.0,"""If L.C.C. of Kirkland does not correct all deficiencies and return to full compliance by September 16, 2020, then C.M.S. will terminate your facility from participating in the Medicare/Medicaid program,""",['Patrick Thrift'],Centers for Medicare and Medicaid Services (CMS)
0,206,267.0,"""That was earlier in the pandemic,""",['Cindy Friedman'],Centers for Disease Control and Prevention (CDC)
0,217,282.0,"""That was earlier in the pandemic,""",['Cindy Friedman'],Centers for Disease Control and Prevention (CDC)
0,229,308.0,"""enhanced instability, enhanced unrest and enhanced conflict.""",['the United Nations'],U.S. Mission to the United Nations
0,244,333.0,"""find a solution that will allow vulnerable groups to receive these funds automatically, without needing to file an additional return.""",['Steven Mnuchin' 'Andrew Saul'],Department of the Treasury
0,246,337.0,"""It has been surprising, given that you have so many donors that are writing seven- and eight-figure checks to the Senate leadership funds, that they’re not doing the same for the Trump campaign,""",['Guy Cecil'],Senate
0,296,417.0,"""this is going to be a very painful, very very painful two weeks,""",['Trump'],White House
0,297,417.0,"""start seeing some real light at the end of the tunnel.""",['Trump'],White House
0,339,484.0,"""heard about testing being a problem.""",['Steve Bullock' 'Trump'],Senate
0,354,507.0,"""Our boats are small and wooden, and the Chinese Coast Guard is armed and modern,""",['Wandarman'],Coast Guard
0,368,518.0,"""working under the assumption they will not get much help from the federal government, but that criticizing Trump could jeopardize any help they could receive.""",['Andrew Cuomo'],Military Postal Service Agency
0,369,520.0,"""women rightfully fought for equal treatment for years, and there should not be special rules applied to what constitutes equal treatment.""",['Stephanie Grisham'],White House
0,379,529.0,"""This is our shared patriotic duty,""",['Rose Garden'],White House
