,idx,quote,people,orgs,source,gender
0,4,"'I’d say there’s always a dance between any governor and sitting administration in knowing that you have to draw between the lines and look for ways of working constructively with that administration regardless of your party,” said Mark Sanford, the former South Carolina governor and Republican congressman, who lost his seat in Congress after Mr. Trump endorsed his primary opponent.\n'","['Trump', 'Mark Sanford']",['Congress'],The New York Times,0
1,7,"'You know, it took me some time to get my parents FaceTiming with me in a way that made sense,” said Maurice Mitchell, the national director of Working Families.'",['Maurice Mitchell'],['Working Families'],The New York Times,0
2,7,"'It’s an immediate effect on how we can plan, how we can grow, and even our month-to-month cash flow,” said Amanda Litman, the executive director of Run for Something, one of the many Democratic organizations founded after President Trump’s 2016 victory.'","['Amanda Litman', 'Trump’s']",['Run for Something'],The New York Times,0
3,7,"'The more impersonal the mode, the less effective you’re going to get,” said Alex Morgan, the group’s executive director.'",['Alex Morgan'],['’s'],The New York Times,0
4,11,"'Dr. Trevor Bedford, the Fred Hutchinson Cancer Research Center scientist who raised an early alarm about the coronavirus in the United States, framed our collective efforts to fight this disease as the “Apollo program of our times.'",['Trevor Bedford'],['the Fred Hutchinson Cancer Research Center'],The New York Times,0
5,12,"'You don’t always hear from the biggest exec at the company,” said Ryan Case, the director of “Flipped,” a comedy starring Will Forte and Kaitlin Olson.'","['Ryan Case', 'Kaitlin Olson', 'Will Forte']",['Flipped'],The New York Times,0
6,12,"'This is either going to be a massive home run or a massive swing and miss,” said Michael Goodman, a media analyst at Strategy Analytics.\n'",['Michael Goodman'],"[""Strategy Analytics.\\n'""]",The New York Times,0
7,14,"'I am speaking to you at what I know is an increasingly challenging time,” the queen will say in taped remarks from Windsor Castle, where she has sequestered herself against a virus that has infected at least 40,000 people in Britain, including her eldest son and heir, Prince Charles, and Prime Minister Boris Johnson.\n'","[""Boris Johnson.\\n'"", 'Prince Charles']",['Windsor Castle'],The New York Times,0
8,14,"'Elizabeth, who was known later as the Queen Mother, said after Buckingham Palace was bombed in September 1940 that she could “look the East End in the face,” referring to the working-class neighborhoods of East London.\n'",['Elizabeth'],['the Queen Mother'],The New York Times,0
9,16,"'There’s no playbook for how you cover sports when sports are not being played,” said Randal Archibold, the Sports editor for The Times.\n'",['Randal Archibold'],"['Times.\\n', 'Sports']",The New York Times,0
10,16,"'Stories that “wouldn’t have been newsworthy before suddenly became interesting,” said Mr. Mather, who begins work at 7 each morning on the column, which he writes along with Danielle Allentuck, the Sports desk’s reporting fellow.\n\n\n'","['Mather', 'Danielle Allentuck']",['Sports'],The New York Times,0
11,16,"'I have always seen sports as essential to society and culture; it intersects so much with everything,” Mr. Archibold, the Sports editor, said.'",['Archibold'],['Sports'],The New York Times,0
12,17,"'He was cast as Judas, the play’s traditional villain, which, as the newspaper Süddeutsche Zeitung recently wrote, “some outside observers find very modern, others a little nasty.'",['Judas'],['Süddeutsche Zeitung'],The New York Times,0
13,19,"'This is in the interest of having the most accurate, and most transparent data that we can provide,” said Karen Landers, a district medical officer with the Alabama Department of Public Health.'",['Karen Landers'],['the Alabama Department of Public Health'],The New York Times,0
14,20,"'Doctors Are Writing Their Wills,” by Bari Weiss (Sunday Review, March 29), raises the important point that personal wills are so essential.'",['Bari Weiss'],['Sunday Review'],The New York Times,0
15,20,"'Re “Prostate Surgery, or ‘Active Surveillance’?,” by Jane E. Brody (Personal Health, March 3):\nSome cancers are caught early enough that active surveillance is an appropriate treatment path.'",['Jane E. Brody'],['Personal Health'],The New York Times,0
16,21,"'What the Pandemic Means for Climate Change,” by Meehan Crist (Sunday Review, March 29):\nIn Los Angeles, New York, Manila and Milan, the skies clear as air pollution drops.'",['Meehan Crist'],['Sunday Review'],The New York Times,0
17,23,"'At least 400 from the vessel were expected to be sent to hotels in Guam on Sunday, according to Mary Rhodes, the president of the Guam Hotel and Restaurant Association, who is helping the Navy with the logistics of these transfers.'",['Mary Rhodes'],"['Navy', 'the Guam Hotel and Restaurant Association']",The New York Times,0
18,26,"'There is a specific line in the bill that says that the secretary, meaning me, will determine proper compensation,” Mr. Mnuchin said at a White House briefing last week.'",['Mnuchin'],['White House'],The New York Times,0
19,26,"'The public gets a huge return on investment in this deal,” said Sara Nelson, the president of the Association of Flight Attendants union.'",['Sara Nelson'],['the Association of Flight Attendants'],The New York Times,0
20,33,"'Paid leave is important,” said Dr. David Michaels, a former head of the Occupational Safety and Health Administration who teaches at George Washington University, “because you need to do everything you can to ensure that potentially sick workers stay home in order not to infect co-workers and others in the public.'",['David Michaels'],"['George Washington University', 'the Occupational Safety and Health Administration']",The New York Times,0
21,33,"'Paid leave is important,” said Dr. David Michaels, a former head of the Occupational Safety and Health Administration who teaches at George Washington University, “because you need to do everything you can to ensure that potentially sick workers stay home in order not to infect co-workers and others in the public.'",['David Michaels'],"['George Washington University', 'the Occupational Safety and Health Administration']",The New York Times,0
22,34,"'In this evolving crisis, people want reliable information and steady leadership,” said Lauren Passalacqua, a spokeswoman for the Democratic Senatorial Campaign Committee.'",['Lauren Passalacqua'],['the Democratic Senatorial Campaign Committee'],The New York Times,0
23,34,"'The only guidance we have is be a senator,” said Kevin McLaughlin, executive director of the National Republican Senatorial Committee.'",['Kevin McLaughlin'],['the National Republican Senatorial Committee'],The New York Times,0
24,34,"'We have to deal with this,” Mr. McLaughlin, the head of the Senate Republican campaign group, said of the pandemic.'",['McLaughlin'],['Senate'],The New York Times,0
25,36,"'Our volunteers can tell what’s fake and what’s not in one second,” said Maria Wu, another spokeswoman for the Millburn association.'",['Maria Wu'],['the Millburn association'],The New York Times,0
26,37,"'During a crisis, heroes come to the forefront because many of our basic human needs are threatened, including our need for certainty, meaning and purpose, self-esteem, and sense of belonging with others,” said Elaine Kinsella, a psychology professor at the University of Limerick in Ireland who has researched the role of heroes in society.\n'",['Elaine Kinsella'],['the University of Limerick'],The New York Times,0
27,37,"'In Italy, a nation ravaged by the virus more than any other in the world so far, Dr. Massimo Galli, the director the infectious diseases department at Luigi Sacco University Hospital in Milan, swapped his lab coat for a suit and accepted he “would be overexposed in the media” in order to set things straight, he told one talk show.\n'",['Massimo Galli'],['Luigi Sacco University Hospital'],The New York Times,0
28,42,"'They are not citizens,” said Zhengmei Sun, whose daughter, Jacquelyn Yang, 19, attends New York University'","['Jacquelyn Yang', 'Zhengmei Sun']","[""New York University'""]",The New York Times,0
29,42,"'I’m not aware that we are tracking Chinese students in the United States who are seeking assistance inasmuch as we are seeking to repatriate U.S. citizens from overseas,” said Ian Brownlee, principal deputy assistant secretary in the Bureau of Consular Affairs at the State Department.\n'",['Ian Brownlee'],"['the Bureau of Consular Affairs', ""the State Department.\\n'""]",The New York Times,0
30,42,"'The government “attaches great importance to and cares deeply about Chinese students abroad, and has taken major measures to protect their safety and health,” said Hua Chunying, a spokeswoman for the Chinese Ministry of Foreign Affairs, on March 31.'",['Hua Chunying'],['the Chinese Ministry of Foreign Affairs'],The New York Times,0
31,42,"'International students are generally the group most concerned about the motherland among overseas Chinese,” Gao Cheng, a researcher at the Chinese Academy of Social Sciences, wrote in a social media post.\n\n\n'",['Gao Cheng'],['the Chinese Academy of Social Sciences'],The New York Times,0
32,55,"'Better functioning capital markets and potentially more support in asset prices would be beneficial for them as an organization,” said Devin Ryan, a research analyst at JMP Securities who covers banks and alternative-investment firms.'",['Devin Ryan'],['JMP Securities'],The New York Times,0
33,56,"'In their “Road Map to Reopening,” Scott Gottlieb of the American Enterprise Institute and his co-authors offer several criteria for making the shift out of emergency: A “sustained reduction in cases for at least 14 days,” a hospital system capable of treating coronavirus cases “without resorting to crisis standards of care,” and the capacity to test and monitor every suspected viral case.\n'",['Scott Gottlieb'],['the American Enterprise Institute'],The New York Times,0
34,56,"'In their “Road Map to Reopening,” Scott Gottlieb of the American Enterprise Institute and his co-authors offer several criteria for making the shift out of emergency: A “sustained reduction in cases for at least 14 days,” a hospital system capable of treating coronavirus cases “without resorting to crisis standards of care,” and the capacity to test and monitor every suspected viral case.\n'",['Scott Gottlieb'],['the American Enterprise Institute'],The New York Times,0
35,56,"'In their “Road Map to Reopening,” Scott Gottlieb of the American Enterprise Institute and his co-authors offer several criteria for making the shift out of emergency: A “sustained reduction in cases for at least 14 days,” a hospital system capable of treating coronavirus cases “without resorting to crisis standards of care,” and the capacity to test and monitor every suspected viral case.\n'",['Scott Gottlieb'],['the American Enterprise Institute'],The New York Times,0
36,57,"'There’s this biological fact that still in South Korea, the people who haven’t been infected aren’t immune, and as soon as there’s an end to social distancing they’ll be vulnerable again,” noted Dr. Mark Poznansky of Harvard Medical School.'",['Mark Poznansky'],['Harvard Medical School'],The New York Times,0
37,57,"'But if the South Korean death rate by age is applied to the demography of the United States, the American case fatality rate is about 2 percent, according to Dr. Christopher Murray, the director of the Institute for Health Metrics and Evaluation.\n'",['Christopher Murray'],['the Institute for Health Metrics'],The New York Times,0
38,58,"'This is an unprecedented time, so it’s been a challenge for everyone, including us,” said Kayla Whaling, an Uber spokeswoman.'",['Kayla Whaling'],['Uber'],The New York Times,0
39,62,"'Mr. Biden has said previously that his staff has been in touch with Mr. Sanders’s team, and in an interview with MSNBC’s Brian Williams on Tuesday said that “there ought to be a way we could accommodate his concerns on other matters in terms of everything from people being engaged, to his organization.'","['Sanders', 'Brian Williams', 'Biden']",['MSNBC'],The New York Times,0
41,71,"'It’s heartbreaking for us,” said Desiree Sweeney, the executive director of New Health.'",['Desiree Sweeney'],['New Health'],The New York Times,0
42,71,"'We are expecting there will be more people seeking our services at the same time we’re not able to keep all our staff on hand,” said Chuck Jones, the chief executive at Harbor Health Services, which runs six community health centers from Boston to Cape Cod.\n\n\n'","['Chuck Jones', ""Cape Cod.\\n\\n\\n'""]",['Harbor Health Services'],The New York Times,0
43,71,"'I worry a lot,” he added, “that if community health centers go away, we won’t as a society hear the struggles of these people.”\nCommunity health centers are expecting a boost from the $2 trillion stimulus package recently passed by Congress and signed by President Trump; they will share $1.3 billion.'",['Trump'],['Congress'],The New York Times,0
44,71,"'I worry a lot,” he added, “that if community health centers go away, we won’t as a society hear the struggles of these people.”\nCommunity health centers are expecting a boost from the $2 trillion stimulus package recently passed by Congress and signed by President Trump; they will share $1.3 billion.'",['Trump'],['Congress'],The New York Times,0
45,74,"'Unless there is a national effort to enlist doctors, nurses, hospital workers of all kinds and get them where they are needed most in the country in time,” Mr. de Blasio said on MSNBC Friday morning.'",['de Blasio'],['MSNBC'],The New York Times,0
46,74,"'The secretary of defense is making a risk assessment to determine whether or not we should take on” patients who have tested positive, General Milley told Fox News.'",['Milley'],['Fox News'],The New York Times,0
47,77,"'There is this tipping point at the end of the first week,” said Prof. Hans-Georg Kräusslich, the head of virology at University Hospital in Heidelberg, one of the country’s leading research hospitals.'",['Hans-Georg Kräusslich'],['University Hospital'],The New York Times,0
48,77,"'There has been talk of a German anomaly,” said Hendrik Streeck, director of the Institute of virology at the University Hospital Bonn.'",['Hendrik Streeck'],['the Institute of virology'],The New York Times,0
49,77,"'The reason why we in Germany have so few deaths at the moment compared to the number of infected can be largely explained by the fact that we are doing an extremely large number of lab diagnoses,” said Dr. Christian Drosten, chief virologist at Charité, whose team developed the first test.\n'",['Christian Drosten'],['Charité'],The New York Times,0
50,78,"'We’re going to see a battle between charisma and competence,” said Tim Bale, a professor of politics at Queen Mary University in London.'",['Tim Bale'],['Queen Mary University'],The New York Times,0
51,78,"'Many of those party members have enjoyed the journey under Corbyn but not the destination, and now want a form of pragmatism,” said Steven Fielding, a professor of political history at Nottingham University.\n'",['Steven Fielding'],"[""Nottingham University.\\n'""]",The New York Times,0
52,78,"'If a country wants to keep the death penalty, telling them to abolish it is a difficult thing to do,” said Parvais Jabbar, co-executive director of the Death Penalty Project, who worked with Mr. Starmer on many of those cases.'","['Starmer', 'Parvais Jabbar']",['the Death Penalty Project'],The New York Times,0
53,78,"'For the next few years,” said Mr. Bale, of Queen Mary University, “he is arguably going to be playing on home turf rather than on the opposition’s turf.'",['Bale'],['Queen Mary University'],The New York Times,0
54,78,"'For the next few years,” said Mr. Bale, of Queen Mary University, “he is arguably going to be playing on home turf rather than on the opposition’s turf.'",['Bale'],['Queen Mary University'],The New York Times,0
55,82,"'The coronavirus was happening in China when we started the tour,” said Mr. VanTuyl, whose first stop had been the National Cowboy Poetry Gathering in Elko, Nev., the last week in January.\n\n\n'","['January.\\n\\n\\n', 'VanTuyl']",['the National Cowboy Poetry Gathering'],The New York Times,0
56,82,"'You don’t drive to town to get yourself a coffee,” said Mr. Maley, who lives on the ranch with his wife, Alexa, and sons Oscar and Eli.'","['Eli', 'Oscar', 'Maley']",['Alexa'],The New York Times,0
57,85,"'At the moment, the digital providers are rushing to meet demand,” said Graham Kendall, the director of the Digital Healthcare Council, which represents British telemedicine firms.\n'",['Graham Kendall'],['the Digital Healthcare Council'],The New York Times,0
58,85,"'I think a lot of it will remain this way after this crisis,” said Beccy Baird, a senior fellow at the King’s Fund, a health care research charity.'",['Beccy Baird'],['the King’s Fund'],The New York Times,0
