,0,1,2,3,4
0,12,16.0,"""There’s no playbook for how you cover sports when sports are not being played,""",['Randal Archibold'],Sports Think Tank
0,13,16.0,"""wouldn’t have been newsworthy before suddenly became interesting,""",['Mather' 'Danielle Allentuck'],Sports Think Tank
0,32,42.0,"""International students are generally the group most concerned about the motherland among overseas Chinese,""",['Gao Cheng'],Chinese Academy of Sciences
0,34,56.0,"""Road Map to Reopening,""",['Scott Gottlieb'],American Enterprise Institute 
0,35,56.0,"""sustained reduction in cases for at least 14 days,""",['Scott Gottlieb'],American Enterprise Institute 
0,36,56.0,"""without resorting to crisis standards of care,""",['Scott Gottlieb'],American Enterprise Institute 
0,49,77.0,"""The reason why we in Germany have so few deaths at the moment compared to the number of infected can be largely explained by the fact that we are doing an extremely large number of lab diagnoses,""",['Christian Drosten'],Prisma Charity Association
0,56,82.0,"""You don’t drive to town to get yourself a coffee,""",['Maley'],Alexander Von Humboldt Centre
0,60,85.0,"""I think a lot of it will remain this way after this crisis,""",['Beccy Baird'],The King's Fund
0,69,93.0,"""The thing that struck me is that in every major city, the wealthy got a head start sheltering, in some cities up to a week before,""",['Gabriel Dance' 'Denise Lu'],The Times Think Tank
0,97,113.0,"""total immersion in the subject as well as her artistry.""",['Rosalyn Drexler'],The Times Think Tank
0,120,158.0,"""The speed of the job losses is unlike anything we’ve ever seen,""",['Gabriel Mathy'],"Center of Gender Development and Studies,  American University of Iraq"
0,134,172.0,"""Exempting health care providers and emergency responders threatens our nation’s ability to fight back against the coronavirus and makes us all more vulnerable,""",['Heather Boushey'],Washington Center for Equitable Growth
0,140,181.0,"""It’s the longest running live thing The Times has ever done,""",['Rebecca Blumenstein'],The Times Think Tank
0,150,195.0,"""It’s easy to get your words in""",['Vicki Crosson'],The Times Think Tank
0,151,195.0,"""I’ve been so inspired by my colleagues,""",['Kopit Levien'],The Times Think Tank
0,154,202.0,"""Mr. Kushner’s early involvement with dealing with the virus was in advising the president that the media’s coverage exaggerated the threat,""",['Times'],The Times Think Tank
0,160,208.0,"""there will be lots of blame to go around""",['Lee Drutman'],New America Foundation
0,161,208.0,"""that blame will almost certainly fuel even more partisan politics.""",['Lee Drutman'],New America Foundation
0,167,213.0,"""was immense with the Marseille people whose hearts he had won,""",['Didier Deschamps'],Marseille Center for Mediterranean Integration
0,208,268.0,"""To me it’s very short sighted,""",['Dmitri Trenin'],Carnegie Moscow Center
0,242,333.0,"""The matching part may take longer, and it’s legitimate for them to say that one group will get payments faster and one group will be slower,""",['Sharon Parrott'],Center on Budget and Policy Priorities
0,261,367.0,"""The Trump administration believes that the outbreak has succeeded where sanctions failed to weaken the economy even further,""",['Ali Vaez'],International Crisis Group
0,311,447.0,"""what we do can generate positive ripple effects across the country.""",['Jay Carney'],Amazon Environmental Research Institute
0,356,507.0,"""There is a lack of a single coherent lead agency or a single coherent policy for maritime security,""",['Evan Laksmana'],Center for Strategic and International Studies
0,357,507.0,"""We only have authority over our land,""",['Andes Putra'],Parliamentary Institute of Benin
0,364,513.0,"""No endowed organization that loses its revenue can spend down its endowment without limitation since spending from it today has to be balanced against preserving it to support operations tomorrow,""",['Max Hollein'],ECONOMETRICA`
0,372,524.0,"""the way to get money into the hands of people who don’t benefit from the $1,200 checks because they make too much money,""",['Kyle Pomerleau'],American Enterprise Institute 
0,376,527.0,"""the way to get money into the hands of people who don’t benefit from the $1,200 checks because they make too much money,""",['Kyle Pomerleau'],American Enterprise Institute 
0,382,535.0,"""The math is now clear,""",['Guy Cecil'],Center on Budget and Policy Priorities
0,384,536.0,"""These are cascades that, once they get going, are very hard to stop,""",['Claudia Sahm'],Washington Center for Equitable Growth
0,393,550.0,"""They should know where larger quantities are most needed in your state,""",['Amenta'],Parliamentary Institute of Benin
0,412,588.0,"""They are going to be very badly hurt,""",['Levy' 'Santiago Levy'],Brookings Institution
0,505,761.0,"""It’s like a shadow state,""",['Michael Knights'],Washington Institute for Near East Policy
0,519,811.0,"""People had opinions about this president very early in his administration, and they were strongly held opinions,""",['Alec Tyson'],Pew Research Center
0,523,814.0,"""People had opinions about this president very early in his administration, and they were strongly held opinions,""",['Alec Tyson'],Pew Research Center
0,534,833.0,"""This is an opportunity for us to dissect some of these policies to ensure that they’re right,""",['Danyelle Solomon'],Center for American Progress
0,569,914.0,"""I never believed that the Parliament elections could be beneficial for the Arabs,""",['Yazeed Baloum'],Parliamentary Institute of Benin
0,600,967.0,"""Health care was always going to be a big issue in the general election, and the coronavirus epidemic will put health care even more top of mind for voters,""",['Larry Levitt'],Kaiser Family Foundation
0,608,978.0,"""The bottom has dropped out of the luxury market,""",['Marc Lotenberg'],Tomorrow's Company
0,609,984.0,"""It is incredibly important that policymakers credibly convince business owners that these conditional loans will indeed be forgiven and that firms’ owners will be treated equitably,""",['Stan Veuger'],American Enterprise Institute 
0,613,984.0,"""Much of the small business community is facing an extinction-level event,""",['John Lettieri'],Economic Innovation Group
0,626,999.0,"""This is very clearly a consequence of the hardball game that the Americans are playing right now,""",['Wolfgang Petritsch' 'Petritsch'],European Union Institute of Security Studies
0,636,1016.0,"""It is incredibly important that policymakers credibly convince business owners that these conditional loans will indeed be forgiven and that firms’ owners will be treated equitably,""",['Stan Veuger'],American Enterprise Institute 
0,640,1016.0,"""Much of the small business community is facing an extinction-level event,""",['John Lettieri'],Economic Innovation Group
0,667,1070.0,"""Basically, I’m just waiting to die.""",['Amanda Klonsky'],The Times Think Tank
0,721,1151.0,"""I am deeply concerned that the social, economic and public health consequences of this near total meltdown of normal life — schools and businesses closed, gatherings banned — will be long lasting and calamitous, possibly graver than the direct toll of the virus itself.""",['David Katz' 'Tom Friedman'],The Times Think Tank
0,730,1165.0,"""forward, bright and fresh,""",['Alexa'],Alexander Von Humboldt Centre
0,739,1188.0,"""There have been years now of strong state creativity and that won’t get totally swept away in this crisis,""",['Mark Muro'],Brookings Institution
0,747,1202.0,"""If open enrollment were more broad, and there were fewer barriers, that could make it easier for people to sign up,""",['Cynthia Cox'],Kaiser Family Foundation
0,758,1208.0,"""This shifts the ethical and emotional burden from society or government to the clinician,""",['Christopher McCabe'],Institute of Health
0,760,1210.0,"""There have been years now of strong state creativity and that won’t get totally swept away in this crisis,""",['Mark Muro'],Brookings Institution
0,774,1233.0,"""Health workers are urging efforts to suppress the outbreak and expand medical capacity so that rationing will be unnecessary,""",['Times'],The Times Think Tank
