Person,Gender,Notes,,
"""Trump""","""male""",,,
"""Cuomo""","""male""",,,
"""Biden""","""male""",,,
"""Garcetti""","""male""",,,
"""Sanders""","""male""",,,
"""Evers""","""male""",,,
"""Kushner""","""male""",,,
"""Feinstein""","""female""",,,
"""McConnell""","""male""",,,
"""Pence""","""male""",,,
"""Mnuchin""","""male""",,,
"""Obama""","""male""","Michelle? Fred: Agree that this is too ambiguous, going with Barack",,
"""Fauci""","""male""",,,
"""Pelosi""","""female""",,,.
"""Redfield""","""male""",,,
"""Barr""","""male""",,,
"""Birx""","""female""",,,
"""Steny Hoyer""","""male""",,,
"""Schumer""","""male""",,,
"""de Blasio""","""male""","Typically look at first string before space. Check for ""de""?",,
"""Tedros""","""male""",,,
"""Newsom""","""male""",,,
"""Whitmer""","""female""",,,
"""McEnany","""female""",,,
"""Bolton""","""male""",,,
"""Abbott""","""male""",,,
"""Zuckerberg""","""male""",,,
"""Cotton""","""male""",Tom Cotton,,
"""McCarthy""","""male""",Kevin McCarthy,,
"""Brown""","""unknown""",Sherrod Brown? ,,
"""Hizzoner""","""male""",,,
"""Smith""","""unknown""",Fred: too common,,
"""Cohen""","""unknown""",too common,,
"""Bright""","""male""",,,
"""Williams""","""unknown""",,,
"""Hahn""","""unknown""",,,
"""Linick""","""male""",,,
"""Adams""","""male""",,,
"""Foye""","""unknown""",,,
"""Bloomberg""","""male""",,,
"""Miller""","""unknown""","Fred: probably Stephen Miller, but too common of a name to ride on that assumption",,
"""Musk""","""male""",,,
"""Farage""","""male""",,,
"""Kudlow""","""male""",,,
"""Katz""","""unknown""",,,
"""Amesh Adalja""","""male""",,,
"""DeSantis""","""male""",,,
"""Loeffler""","""female""",,,
