,0,1,2,3,4
0,14,14,"['A general lockdown in Sweden may not possible at all, according to\xa0Titti Mattsson, a professor of public law at Lund University, who said that the current Swedish law does not allow for such restrictions on freedom of movement.']",['Titti Mattsson'],Lund University
0,23,23,"['“If you share a house, it’s very likely that other people will get it,” said University of Bonn professor Christian Bayer, who co-authored a new research paper on coronavirus transmission.']",['Christian Bayer'],University of Bonn
0,56,56,"['The Newsroom with Brooke Baldwin host said she will put her anchor duties on hold until she recovers from the disease that has sicked\xa0258,214 Americans and killed\xa06,605 as of Friday afternoon, according to data tracked by Johns Hopkins University.']",['Brooke Baldwin'],Johns Hopkins University
0,98,98,"['“The Mexican drug cartels work hand-in-hand with corrupt Mexican government officials at high levels, said Terry Cole, a former Special Agent with the DEA.']",['Terry Cole'],Deakin University
0,103,103,"['Yale University’s Frank Snowden, a pandemic historian, has labelled the Wuhan coronavirus a “disease of globalisation” and said the virus threatens “the economic and political sinews of globalisation, and [is] causing them to unravel to a certain degree”.']",['Frank Snowden'],Yale University
0,107,107,"['“My longtime friend Dr. Naji Abumrad, who’s been involved in research at Vanderbilt for many years, informed me that they were making some exciting advancements towards research of the coronavirus for a cure,” the country star said.']",['Naji Abumrad'],Vanderbilt University
0,129,129,"['“ICE must release all detainees now before lives are lost,” Castro said on behalf of the Hispanic Caucus.']",['Castro'],Rice University
0,142,142,"['Early signs indicate that current lockdown measures have resulted in a slowing of new hospital admissions, according to Downing Street briefings, with\xa0Imperial College London’s Neil Ferguson saying last week that the NHS will be “within capacity” to handle the peak of the pandemic projected in the coming weeks.']",['Neil Ferguson'],Imperial College London
0,148,148,"['“We have reached the peak of the infections,” said the head of Italy’s Higher Institute of Health — Istituto Superiore di Sanità (ISS) — Silvio Brusaferro during a press conference on Tuesday.']",['Silvio Brusaferro'],University of Missouri
0,207,207,"['The plant will produce a simplified ventilator design licensed by GE Healthcare from Florida-based Airon Corp.\n\n“The Ford and GE Healthcare teams, working creatively and tirelessly, have found a way to produce this vitally needed ventilator quickly and in meaningful numbers,” said Jim Hackett, Ford’s president and CEO.']",['Jim Hackett'],University of Oxford
