,0,1,2,3,4
0,3,3.0,"['On Wednesday, President Donald Trump said during the White House coronavirus daily briefing that the nation’s Strategic National Stockpile of personal protective equipment (PPE), such as N95 masks, had been nearly depleted when he assumed office.']",['Donald Trump'],White House
0,6,6.0,"['On March 1st when Austria’s\xa0Interior Minister Karl Nehammer confirmed that his country would repel any migrants trying to enter their country, he said that he relied on neighbouring Hungary to stop the flow.']",['Karl Nehammer'],Department of the Interior (DOI)
0,8,8.0,"['Pritzker said, “We now know that intelligence sources and all the best advice that was given was given in January and early February to the president and the White House, and they seem not to have acted at all upon it.']",['Pritzker'],White House
0,19,19.0,"['Serbia’s Defense Minister Aleksandar Vulin has thanked Moscow for sending the aid, saying it shows “that we are not alone, that the Russian Federation and the Russian people will always be with us whenever it is needed.”\n\nThe transport follows last month’s deployment of a similar Russian coronavirus task force to Italy and the delivery of medical supplies to the United States.']",['Aleksandar Vulin'],Defense Acquisition University
0,22,22.0,"['“My wife tried to help the victim but in vain.”\n\nInterior Minister Christophe Castaner, who visited the scene, said two people were killed and five others injured.']",['Christophe Castaner'],Department of the Interior (DOI)
0,29,29.0,['The Indian report did not say if the NASSCOM lobbyists met with Labor Secretary Eugene Scalia.'],['Eugene Scalia'],Bureau of International Labor Affairs
0,31,31.0,"['“When people have nothing left to lose, they will lose it — and they will direct it at the elites.” He continued:\n\nThe NASSCOM business association asked Labor Secretary Scalia to allow their imported H-1B visa workers to work at home during the coronavirus epidemic,\xa0said the Times of India.']",['Scalia'],Bureau of International Labor Affairs
0,40,40.0,"['So I would say we’ve seen a dramatic decrease of regular healthcare needs.”\n\nPetre remarked, “The Comfort ship — the Navy ship that came to New York — they have a 1,000-bed capacity, and they decided to keep that ship just for non-COVID patients to divert patients who are not infected, to keep them separate, and they have only 20 patients because there’s no need.']",['Petre'],Navy
0,42,42.0,"['You would be eligible for a special enrollment period on the healthcare exchanges, and depending on your state, you will be eligible for Medicaid,” Azar said.']",['Azar'],Centers for Medicare and Medicaid Services (CMS)
0,48,48.0,"['Now they expect to have this permission come down from the acting Secretary of the Navy, notice I said ‘acting,’ because there is no Secretary of the Navy because the last Secretary of the Navy resigned when Donald Trump overrode his orders which impacted the good order and discipline of our sailors.']",['Donald Trump'],Navy
0,49,49.0,"['This world is upside-down, and let me tell you, if I have anything to say about it, I think that Brett Crozier is a great candidate for the next Secretary of the Navy.”']",['Brett Crozier'],Navy
0,53,53.0,['The memo urged Navy leaders to get nearly all the Roosevelt’s sailors off the ship amid a coronavirus outbreak and said living conditions on and off the ship were not in compliance with\xa0Centers for Disease Control and Navy guidance for social distancing and quarantining.'],['Roosevelt'],Navy
0,54,54.0,"['He said he did not speak to anyone at the White House before making this decision, but that Defense Secretary Mark Esper supported his decision.']",['Mark Esper'],White House
0,55,55.0,"['“The secretary of the Navy is responsible to the American people for the good order and discipline of the Navy,” Milley said.']",['Milley'],Navy
0,57,57.0,"['“The continued rise in cases combined with our increasing deaths from COVID-19 reflects the seriousness of this situation,” Secretary of Health Dr. Rachel Levine said of the latest figures.']",['Rachel Levine'],Agency for Healthcare Research and Quality (AHRQ)
0,58,58.0,['Cuomo said he would work with American and New York companies to help transition their companies to produce medical protection equipment.'],['Cuomo'],Administration for Native Americans
0,61,61.0,"['“We’re bringing them on as fast as we can bring them on,” Navy spokeswoman Elizabeth Baker said.']",['Elizabeth Baker'],Navy
0,66,66.0,"['“The National Guard are going to be deployed to pick them up across the state, and deploy them to places that we need them,” Cuomo said during a press conference on Friday.']",['Cuomo'],National Guard
0,67,67.0,"['Crozier had cc’ed the memo to more than 20 people, including some outside his chain of command, and transmitted via unsecured and unclassified lines, making it easy to leak, Navy officials said.']",['Crozier'],Navy
0,68,68.0,['The acting Navy Secretary said Crozier also wrote and distributed the memo despite being given a direct line to him if he ever needed it.'],['Crozier'],Navy
0,77,77.0,['Billionaire Mark Cuban also exposed 3M distributors for making as much money as possible with the masks and even spoke to the White House about the “price gouging” he said was taking place.'],['Mark Cuban'],White House
0,79,79.0,"['“We don’t want people to get an artificial sense of protection because they’re behind a mask,” Birx said during the White House press briefing on Thursday.']",['Birx'],White House
0,85,85.0,"['Moreover, Congress and the public at large should also be aware, if only so that they can prioritize measures to protect the workforce.”\n\nBrandon Judd, president of a union of Border Patrol employees, said in a Wednesday interview that the agency needs to do more to protect DHS employees.']",['Brandon Judd'],Congress—U.S. House of Representatives
0,88,88.0,['Treasury Secretary Steven Mnuchin said Thursday he had sped up the timing on individual payments to Americans from three weeks to two weeks.'],['Steven Mnuchin'],Department of the Treasury
0,89,89.0,['Mnuchin said that Americans who had their direct deposit information already in the IRS system would receive their money in a timely fashion.'],['Mnuchin'],Bureau of Indian Affairs
0,90,90.0,"['Mnuchin said that Social Security recipients would get their money as well, even if they had not filed a return.']",['Mnuchin'],Social Security Administration (SSA)
0,91,91.0,['Even Dr. Fauci said that the move was not necessarily a mistake and that the experts the White House needed for the crisis were still in place.'],['Fauci'],White House
0,100,100.0,"['“We have a strong grassroots movement who believe that we have got to stay in in order to continue the fight, to make the world know that we need Medicare for all, that we need to raise the minimum wage to a living wage, that we need paid family and medical leave, one of the crises that we’re dealing with right now, that we must address climate change and education, all the issues that we have been talking about,” he said during a Monday appearance on Late Night with Seth Meyers.']",['Seth Meyers'],Centers for Medicare and Medicaid Services (CMS)
0,104,104.0,"['The District Mayor for Mitte in Berlin, Stephan von Dassel, defended his decision to purposefully catch the COVID-19 virus, saying that it would mean he would be able to continue working, while other politicians in the city would be forced to take sick leave.']",['Stephan von Dassel'],Citizens' Stamp Advisory Committee
0,110,110.0,"['In the same interview, Fauci also said Americans should not fear the White House task force projections estimating that up to 200,000 people could die from the Chinese coronavirus.']",['Fauci'],White House
0,115,115.0,"['Esper said to conduct the operations, the president has directed the deployment of military assets to the U.S. Southern Command (Southcom) area of responsibility.']",['Esper'],U.S. Southern Command
0,117,117.0,['Attorney General Bill Barr said one of the Justice Department’s highest priorities remains to destroy the Mexican cartels.'],['Bill Barr'],Department of Justice (DOJ)
0,130,130.0,"['The Navy is expediting thousands of sailors off the aircraft carrier USS Theodore Roosevelt in Guam, as about 100 test positive for coronavirus, officials said at a briefing Wednesday.']",['Theodore Roosevelt'],Navy
0,131,131.0,"['“We’ll be expediting — people are moving off the ship as we’re briefing right now,” said Chief Naval Officer Adm. Michael Gilday during a Pentagon briefing.']",['Michael Gilday'],Pentagon Force Protection Agency
0,133,133.0,"['Modly said Navy officials are learning as they go, much like the rest of the country and the world.']",['Modly'],Navy
0,138,138.0,['House Speaker Nancy Pelosi (D-CA) said on Wednesday that she hopes that Democrats can get more Democrat provisions in a phase four coronavirus package.'],['Nancy Pelosi'],Congress—U.S. House of Representatives
0,141,141.0,"['“Quit being an ass,” Texas House Speaker Dennis Bonnen (R) said in an interview with KXAN.']",['Dennis Bonnen'],Congress—U.S. House of Representatives
0,143,143.0,"['“China is pretty much what’s on everybody’s mind right now as far as the Marine Corps goes,” LaGrone said.']",['LaGrone'],Marine Corps
0,161,161.0,"['Sen. Tom Cotton (R-AR) skipped several hours of the impeachment trial to talk to members of the administration about coronavirus, a new report says — further proof impeachment distracted most of Congress at a crucial time.']",['Tom Cotton'],Congress—U.S. House of Representatives
0,163,163.0,"['Senate Majority Leader Mitch McConnell — who had to manage the Senate during the impeachment trial — said earlier Tuesday that the “government” had been diverted from coronavirus — which was correct, as far as most of Congress was concerned, though it did not apply to the president, who had been concerned with it throughout.']",['Mitch McConnell'],Senate
0,165,165.0,"['Neville said, “We’re responding to an increase in demand for firearms and ammunition across the country by doing what we can to protect licensed firearm owners and dealers as well as the broader community.”\n\n9News reports that Neville also saw a surge in ammunition purchases “almost doubling as well.” She said, “We need to keep that ammunition … for our police, our security guards, those … who need a gun for their work.”\n\nOn March 29, 2020, ABC.net reported that gun shops in Queensland were already categorized as “non-essential services” and shut down.']",['Neville'],Bonneville Power Administration
0,169,169.0,"['The lawmaker added that they will introduce the\xa0Natural Disaster and Emergency Ballot Act of 2020, which she says will “help election officials meet this pandemic head-on.” “Our legislation will guarantee every voter a secure mail-in paper ballot and help states cover the cost of printing, self-sealing envelopes, ballot tracking and postage,” she explained, calling vote-by mail a “time-tested, reliable way for Americans to exercise their constitutional rights.”\n\nSenate Majority Leader Mitch McConnell (R-KY), however, is not in a rush to begin phase four of the relief package.']",['Mitch McConnell'],Senate
0,175,175.0,"['Interior Minister Soyilu said that the government had evacuated an estimated 5,800 migrants from the border area and transported them to nine different Turkish provinces where they will be held in deportation centres until the outbreak ends.']",['Soyilu'],Department of the Interior (DOI)
0,178,178.0,['Radio Free Asia (RFA) reported on Monday evening that a mysterious post appeared on a social media account belonging to Wuhan whistleblower Dr. Ai Fen within a few hours of the 60 Minutes Australia report that said she had\xa0disappeared.'],['Ai Fen'],Radio Free Asia (RFA)
0,179,179.0,['A clock chime.”\n\nRFA said it has not been able to “verify Ai’s whereabouts independently” or communicate directly with her.'],['Ai'],Radio Free Asia (RFA)
0,186,186.0,['Secretary of Housing and Urban Development (HUD) Ben Carson said Tuesday that the coronavirus pandemic presented a unique opportunity to address homelessness — and that the ideal solution involved tent cities on public land outside.'],['Ben Carson'],Department of Housing and Urban Development (HUD)
0,189,189.0,"['While cabinet members said the request to close down non-essential businesses was an invitation to the private sector, Mexico’s Foreign Secretary Marcelo Ebrard said businesses that don’t comply could face fines or forced closures.']",['Marcelo Ebrard'],Committee on Foreign Investment in the United States
0,194,194.0,"['“There is currently no evidence that COVID-19 is being spread through the mail,” said Flood, citing the Centers for Disease Control and Prevention, World Health Organization and the U.S.']",['Flood'],Centers for Disease Control and Prevention (CDC)
0,198,198.0,"['“Today, like then, we bring a message to all New Yorkers — now your Navy has\xa0returned\xa0and we are with you, committed in this fight,” Mustin said.']",['Mustin'],Navy
0,199,199.0,"['“All the components of the MIT design can be made by [American manufacturers],” Padula said.']",['Padula'],Smithsonian Institution
0,200,200.0,"['“Today is a sad day for the Department of Defense as we have lost our first American service member – active, reserve or Guard – to Coronavirus,” said Defense Secretary Mark Esper.']",['Mark Esper'],Coast Guard
0,217,217.0,"['“Many people may not even know that it’s the U.S. Department of Agriculture who works with our local and state partners to facilitate our school lunch program among all the schools in our country,” Perdue said on Breitbart News Saturday on SiriusXM 125 the Patriot Channel.']",['Perdue'],Department of Agriculture (USDA)
0,233,233.0,"['Somebody is making 12 bucks an hour, now, like the rest of us, faces an unprecedented economic crisis with the 600 bucks on top of their normal, regular unemployment check might be making a few bucks more for four months,” Sanders said on the Senate floor.']",['Sanders'],Senate
0,239,239.0,['Treasury Secretary Stephen Mnuchin said the checks should be sent out to the public within three weeks.'],['Stephen Mnuchin'],Department of the Treasury
0,245,245.0,"['Sunday on NBC’s “Meet the Press,” White House Coronavirus response coordinator Dr. Deborah Birx said,\xa0“No state, no metro area will be spared” from the outbreak.']",['Deborah Birx'],White House
0,247,247.0,"['If you look back, the federal government was saying things were well under control.”\n\nThursday on CNN, New Orleans Mayor LaToya Cantrell said her city was given “no red flag” from Homeland Security, FBI, or the CDC to cancel the Mardi Gras celebrations to help stop the spread of coronavirus.']",['LaToya Cantrell'],Department of Homeland Security (DHS)
0,253,253.0,"['Austria’s Interior Minister Karl Nehammer said this week that “we see a decrease in breaks-ins, burglaries, but at the same time cybercrime is on the rise”.']",['Karl Nehammer'],Department of the Interior (DOI)
0,254,254.0,"['Kinzinger said, “I actually wish the president would call up more of the National Guard.']",['Kinzinger'],National Guard
0,258,258.0,"['As for his state, Zeldin said hospitals are currently working on increasing bed capacity, highlighting the United States Army Corps of Engineers building a temporary hospital, as well as the state receiving thousands of ventilators from FEMA.']",['Zeldin'],Army Corps of Engineers
0,269,269.0,"['Remote areas in the northeastern state of Queensland are being inundated with travellers — mostly retirees — trying to escape the highly infectious disease, Agriculture Minister David Littleproud said.']",['David Littleproud'],Agriculture Department (USDA)
0,273,273.0,"['What’s your reaction to that?”\n\nPelosi said, “Well, of course, it’s not a surprise to anyone, but Congress will exercise its oversight.']",['Pelosi'],Congress—U.S. House of Representatives
0,283,283.0,['Cuomo said he was going to ask the White House to grant the request to build those additional resources.'],['Cuomo'],White House
0,288,288.0,"['“You don’t know what the numbers are in China,” Trump said to reporters during a White House press briefing, and added, “I’m sure you’re not able to tell what China is testing or not testing.']",['Trump'],White House
0,290,290.0,['Trump said during a White House coronavirus press conference on Wednesday that Democrats and the mainstream media want the economy to fail in order to hurt his reelection chances in November.'],['Trump'],White House
0,291,291.0,"['“Everyone is trying to figure out what they can do to get that maniac out of the White House,” Rundgren said.']",['Rundgren'],White House
0,297,297.0,"['Addressing a pending $2 trillion economic stimulus bill pending before Congress, Cuomo said the amount going to New York was a “drop in the bucket” compared to the massive need created by the pandemic.']",['Cuomo'],Congress—U.S. House of Representatives
0,302,302.0,"['This is truly scary, and nobody is taking it seriously.”\n\nKhaldun, the chief medical office for Michigan’s Department of Health and Human Services, said the state is “probably a few weeks out” from hitting a peak in coronavirus cases.']",['Khaldun'],Department of Health and Human Services (HHS)
0,303,303.0,"['House Ways and Means Committee Chairman Kevin Brady (R-TX) said on the floor before the vote:\n\nWe answer with faith in ourselves and our abilities, faith in our free enterprise system, our amazing health care system, and yes, faith that when the chips are down Congress can come together with our President to help hard working families and businesses when they need it most.']",['Kevin Brady'],Congress—U.S. House of Representatives
0,304,304.0,"['But if we keep pulling together, passing this bill without delay, we take another step toward that day when we answer the door and fear is no longer be there.”\n\nHouse Republican Leader Kevin McCarthy (R-CA) said before the vote that the bill represents Congress’ commitment to helping the country combat the pandemic.']",['Kevin McCarthy'],Congress—U.S. House of Representatives
0,318,318.0,['Gilday said the Navy expects more positive tests and that sailors will be brought to U.S.'],['Gilday'],Navy
0,319,319.0,['“We are confident that our aggressive response will keep USS Theodore Roosevelt able to respond to any crisis in the region.”\n\nActing Navy Secretary Thomas Modly said earlier on Thursday that the entire crew will be tested for coronavirus.'],['Thomas Modly'],Navy
0,321,321.0,"['Thursday on CNN, New Orleans Mayor LaToya Cantrell said her city was given “no red flag” from Homeland Security, FBI or the CDC to cancel the Mardi Gras celebrations to help stop the spread of coronavirus.']",['LaToya Cantrell'],Department of Homeland Security (DHS)
0,323,323.0,"['“Let’s not call this a stimulus package,” said Morial of Congress’s approximately $2 trillion emergency relief bill in response to the coronavirus pandemic.']",['Morial'],Congress—U.S. House of Representatives
0,327,327.0,"['A March 24 statement from the Food and Drug Administration said:\n\nThe letter gives doctors and hospitals a safe pass for good faith experimentation with the nation’s limited stock of ventilators, said James Evans, CEO of Automedx, a Texas-based firm that supplies compact and sturdy ventilators to the Pentagon’s combat units.']",['James Evans'],Pentagon Force Protection Agency
0,336,336.0,"['“You don’t know what the numbers are in China,” Trump said to reporters during the White House press briefing on Thursday evening.']",['Trump'],White House
0,337,337.0,"['The bill is expected to pass the U.S. House of Representatives on Friday morning via voice vote, House leaders say, and will make its way to President Trump’s desk, where he is expected to sign it.']",['Trump'],House of Representatives
0,339,339.0,"['“Then I get the Congress to basically revisit this issue and take the solution and spread it around and give people 30 days to implement, and give them money to help implement it, and if they don’t they’re going to lose some of that benefit,” Graham said.']",['Graham'],Congress—U.S. House of Representatives
0,344,344.0,"['“A few minutes ago, the speaker stood at this podium and claimed that House Democrats did what she called a jiu-jitsu to change the bill,” McCarthy said during a press conference on Wednesday.']",['McCarthy'],Congress—U.S. House of Representatives
