,0,1,2,3,4
0,4,4.0,"['“Choosing to begin these new admissions standards this fall is due to the coronavirus canceling the SAT and the ACT this spring,” Tyler said.']",['Tyler'],ArmActive Youth Center
0,16,16.0,"['As\xa0Webb observed of the company, “Cost control is often a euphemism for low wages, ungenerous benefits.”\xa0Moreover, “A 2018 analysis by The Economist found that after Amazon opens a storage depot, local wages for warehouse workers fall by an average of 3%.”\n\nIn its defense, Amazon says that it offers its lowest-paid employees $15 an hour, with an additional $2 an hour as a sort of coronavirus hazard-pay bonus—but only through the end of April.']",['Webb'],Amazon Environmental Research Institute
0,37,37.0,"['“In an effort to support the healthcare professionals who are battling on the frontlines every day, I am donating $500,000 to the Temple University Hospital Emergency Fund in Philadelphia in honor of my mother, Judy Moore, who worked there for 18 years in the Cardiomyopathy and Heart Transplant Center,” Pink said.']",['Judy Moore'],PINK Armenia
0,44,44.0,"['“The Southern Poverty Law Center and Portland-based Innovation Law Lab, among others, sued the Trump administration over what they say is a patchwork of confusing and inconsistent measures that put the public at risk during a\xa0global\xa0pandemic,” said a report by Oregon Public Broadcasting (OPB).']",['Trump'],Southern Poverty Law Center
0,62,62.0,"['“If I’m blunt about it, it’s a joke,” Michael Dowling, the head of New York’s Northwell Health said, according to the Times.']",['Michael Dowling'],The Times Think Tank
0,87,87.0,"['Luis Vizcaino, spokesman for the California Charter Schools Association, said, according to the Times, that the union’s stance was “shameful and offensive”:\n\nIn Pennsylvania, while online charter schools were already delivering instruction to students when the coronavirus outbreak hit, state officials warned the charter schools they should not attempt to recruit new students during the shutdown of the brick-and-mortar schools.']",['Luis Vizcaino'],The Times Think Tank
0,101,101.0,"['On February 7, Chinese state newspaper Global Times published an opinion article in which it cited the Taiwan Affairs Office as saying “the DPP [Democratic Progressive Party] authority that is exploiting the epidemic to seek Taiwan independence is doomed to fail.”\n\nPresident Tsai is a member of the DPP and Taiwan’s unicameral legislature is majority DPP.']",['Tsai'],Progress
0,112,112.0,"['Mazloum Abdi, a commander in the Kurdish-led SDF, said the riots bring new urgency to the SDF’s warnings that it cannot contain huge numbers of ISIS prisoners without outside assistance — ideally including foreign governments repatriating citizens who defected to ISIS, a step few countries have been eager to take.']",['Mazloum Abdi'],International Crisis Group
0,114,114.0,"['“Unfortunately, the Higher Institute of Health said that the first meeting to evaluate this certification has been postponed to next week,” said Fontana.']",['Fontana'],Institute of Health
0,120,120.0,"['Mike Fischer said in comments reported by The Times that other facilities could take on the work, and hopes that if 1,000 labs join his informal network, they could do 800,000 tests a day.']",['Mike Fischer'],The Times Think Tank
0,125,125.0,"['I call on you all to look upon the true colors of the [Chinese] Communist Party, and stand together to bring down this wall,” Zhang said.']",['Zhang'],Party School of the Communist Party of China Inner Mongolia Autonomous Region
0,153,153.0,"['“The coronavirus pandemic and shocks in global energy markets have impacted all manufacturing sector,”\xa0said ISM’s Tim Fiore.']",['Tim Fiore'],Liberal Criticism
0,166,166.0,"['Rutter said in the call that it is “relationships” on the Hill and “savvy” that helped get the $25 million bailout, even as she spent the majority of the time telling staff that non-essential employees would be either furloughed or laid off until at least May 11, the date tentatively set for reopening the center.']",['Rutter'],The Beacon Hill Institute
