,0,1,2,3,4
0,5,9.0,"['Samples from Nadia were taken and tested after several lions and tigers at the zoo showed symptoms of respiratory illness, the USDA said in a release.']",['Nadia'],Agriculture Department (USDA)
0,12,20.0,"['Mnuchin said at a White House coronavirus briefing that payments would go out within two weeks to people whose direct deposit details are on file with the government, echoing comments he made after passage of the $2.2 trillion stimulus bill that payments would not go out until mid-April.']",['Mnuchin'],White House
0,18,34.0,"['Defense Secretary Mark Esper said Sunday that the Pentagon has deployed ""many"" of the 2,000 ventilators it committed to the national coronavirus fight, after apparent confusion last week over where they should be sent.']",['Mark Esper'],Defense Acquisition University
0,28,51.0,"['The Navy has a culture of swiftly and decisively removing captains if they lose confidence in them,"" Esper said.']",['Esper'],Navy
0,39,64.0,"['The big test will come in the next few days, said Dr. Deborah Birx, the White House coronavirus response coordinator.']",['Deborah Birx'],White House
0,56,84.0,"[""About 15 other ill passengers who don't need immediate hospitalization will remain aboard for medical treatment until they are cleared for travel by the US Centers of Disease Control and Prevention, Gimenez said.""]",['Gimenez'],Centers for Disease Control and Prevention (CDC)
0,64,94.0,"[""The ICU has expanded to handle more patients, Bradshaw said, and while health workers still have all the protective equipment they need, they're careful not to exhaust it in case they still have a lot of coronavirus patients three weeks from now.""]",['Bradshaw'],Agriculture Library
0,67,97.0,"['Telehealth helps, but not always\n\nHeal, a telehealth and home health service, has been in business for more than five years, but founder and chief medical officer Renee Dua said the business has seen a 640 percent increase in patients over the past month.']",['Renee Dua'],Defense Health Agency
0,68,98.0,"['""I think we should hear more from the White House about this problem,"" Caplan said.']",['Caplan'],White House
0,72,110.0,"[""The governor's office says Kemp, a Republican, was referring to fresh guidance from the Centers for Disease Control and Prevention, which said earlier this week that exposure risk could happen two days before symptoms begin.""]",['Kemp'],Centers for Disease Control and Prevention (CDC)
0,92,132.0,"['Roy Cooper said Friday the government should ramp up its efforts to push for more personal protective equipment for healthcare workers, saying the state had received some, but not all of the PPE they had asked for.']",['Roy Cooper'],Circuit Courts of Appeal
0,94,134.0,"['WWE has consulted with the Centers for Disease Control and Prevention, local and state officials, as well as its own medical staff to set extra precautions to protect wrestlers and staff, Levesque said.']",['Levesque'],Centers for Disease Control and Prevention (CDC)
0,97,138.0,"['Members of political parties are furious with Rep. Thomas Massie, a Republican from Kentucky, for not being clear about whether he will object to the coronavirus stimulus bill passing on voice vote, with some former top aides also saying the Kentucky Republican is endangering the safety of his colleagues.']",['Thomas Massie'],House of Representatives
0,105,147.0,['Small businesses wondering if help will arrive in time to avert bankruptcy saw hope when Treasury Secretary Steven Mnuchin said on Thursday that emergency loans would be available starting the next day.'],['Steven Mnuchin'],Department of the Treasury
0,106,148.0,"['""I always knew that pandemics are one of the worst things that could happen,"" Trump said at the White House coronavirus task force news briefing.']",['Trump'],White House
0,108,150.0,"['Although oil executives didn\'t ask for ""special treatment,"" Sommers said smaller oil companies should get access to Small Business Administration loans and larger ones should be able to tap programs set up as part of the $2 trillion stimulus package enacted last week.']",['Sommers'],Small Business Administration (SBA)
0,114,156.0,['(CNN) President Donald Trump says the US Centers for Disease Control and Prevention is issuing new recommendations advising Americans to voluntarily wear face coverings to slow the spread of the novel coronavirus.'],['Donald Trump'],Centers for Disease Control and Prevention (CDC)
0,116,158.0,"['""We\'re only as strong as every community, every county, every state, every American following the guidelines to a T,"" Dr. Deborah Birx, the White House coronavirus response coordinator said Thursday.']",['Deborah Birx'],White House
0,127,171.0,"['President Trump announced new guidance from the White House on Friday afternoon, saying the US Centers for Disease Control and Prevention were advising the use of ""non-medical cloth based"" face coverings.']",['Trump'],White House
0,129,178.0,"['Trump said the recommendations, which came after a week of heated deliberations inside the White House, were voluntary and that he would not partake.']",['Trump'],White House
0,133,186.0,"['Later on Friday, Lt. Gen. Todd Semonite, commander of the Army Corps of Engineers, said to date, the Corps has received 750 requests for site assessments across the country to look into possible facilities that could be used in the coronavirus response.']",['Todd Semonite'],Army Corps of Engineers
0,138,191.0,"['The White House could soon announce new recommendations on wearing some sort of masks in public, administration officials said, and President Donald Trump says if people are inclined to cover their mouths and noses with a scarf , they should.']",['Donald Trump'],White House
0,142,196.0,"['""The Court will consider rescheduling some cases from the March and April sessions before the end of the Term, if circumstances permit in light of public health and safety guidance at that time,"" Kathy Arberg, a court spokeswoman, said in a statement.']",['Kathy Arberg'],Administrative Office of the U.S. Courts
0,143,197.0,"['""As the physician to the President and White House Operations continue to protect the health and safety of the President and vice president, starting today anyone who is expected to be in close proximity to either of them will be administered a Covid-19 test to evaluate for pre-symptomatic or asymptomatic carriers status to limit inadvertent transmission,"" said deputy White House press secretary Judd Deere in a statement.']",['Judd Deere'],White House
0,144,198.0,"['""The story was not endorsed by, approved by, or even known about by any of the Sapulpa School\'s Administration when it went live on Wednesday morning, but SPS are the ones now having to deal with frantic parents and angry teachers,"" Micah Choquette, the owner and editor of the Sapulpa Times, said in the letter.']",['Micah Choquette'],Postal Service (USPS)
0,145,199.0,"['Still, there is concern among some skeptics in the White House that these models Birx put so much stock in could be wrong, just as others have been since so much is unknown, the source said.']",['Birx'],White House
0,153,207.0,"[""Kushner's role has drawn eyerolls from some inside the White House who say that he was among those urging the President to downplay the coronavirus threat in February when the markets started tanking.""]",['Kushner'],White House
0,156,210.0,"['""POTUS has been clear that if we need to do more from Phase 3, he won\'t hesitate to ask, and expects Congress to act,"" the official said, adding that the other ideas Pelosi and House Democrats put forward ""aren\'t relevant to the challenges we face right now.""']",['Pelosi'],Congress—U.S. House of Representatives
