,0,1,2,3,4
0,15,28.0,"['""The millions of masks we ordered weeks ago are now arriving, and we\'re distributing them to our teams as quickly as possible,"" Amazon spokesperson Alyssa Bronikowski said in a statement Friday.']",['Alyssa Bronikowski'],Amazon Environmental Research Institute
0,50,78.0,"['Natasha Kassam, an expert on China, Taiwan and diplomacy at Australia\'s Lowy Institute, said that early on in the coronavirus pandemic, a lack of direct and timely channels to the WHO ""resulted in inaccurate reporting of cases in Taiwan,"" with WHO officials apparently relying on Beijing for numbers from the island.']",['Natasha Kassam'],Lowy Institute for International Policy 
0,75,113.0,"['""There\'s no doubt about it, they\'re getting hit worse,"" said Dean Baker, senior economist at the Center for Economic & Policy Research.']",['Dean Baker'],Economic Policy Research Center 
0,95,136.0,"[""Italy has not reached the peak of coronavirus contagion, director of Italy's National Health Institute Silvio Brusaferro said Friday during a press conference.""]",['Silvio Brusaferro'],National Institute of Public Health
0,104,145.0,"['""Coronavirus is very dangerous to old people,"" said Masahiro Kami, executive director of Japan\'s nonprofit Medical Governance Research Institute.']",['Masahiro Kami'],Institute of Medical  Research
0,141,195.0,"['""It leaves less money for other things than an actual coverage expansion,"" said Karyn Schwartz, senior fellow at the Kaiser Family Foundation.']",['Karyn Schwartz'],Kaiser Family Foundation
0,146,200.0,"['""It\'s pretty incredible that both Overwatch League and Call of Duty League will be the only city-based leagues still fortunate enough to operate in this current environment,"" Pete Vlastelica, president and CEO of Activision Blizzard Esports, said in a statement to CNN Business.']",['Pete Vlastelica'],Vision
0,149,203.0,"[""ESL's Levine said that for now, regional events are being held to prevent this issue.""]",['Levine'],Wellesley Institute
0,185,256.0,"['""The day after the party, my mother got really sick,"" said Stockton-Rossini, a reporter for 710 WOR.']",['Stockton-Rossini'],Ecological workshop
0,229,309.0,"[""Andrew Weiss, the Vice President for Studies in the Russia and Eurasia Program at the Carnegie Endowment for International Peace, said the move played into Russia's broader foreign policy goals.""]",['Andrew Weiss'],Carnegie Endowment for International Peace
0,245,335.0,"['Chuck Collins, director of the Institute for Policy Studies\' ""Inequality and the Common Good"" program, says America\'s already enormous racial wealth disparity is likely to grow ""unless we pursue a very different set of interventions and stimulus,"" than those put in place in response to the Great Recession of 2008.']",['Chuck Collins'],Institute for Policy Studies
0,256,348.0,"['At the DTW1 facility in Romulus, Michigan, Amazon issues just three disinfecting wipes per shift -— one at the beginning of each shift and one after each of two breaks, Mario Crippen, an employee at the facility who led one of the strikes this week, said.']",['Mario Crippen'],Amazon Environmental Research Institute
0,257,349.0,"[""Dave Clark, Amazon's senior vice president of worldwide operations, said in Thursday's blog post that the company has made more than 150 changes to its processes to enhance worker safety.""]",['Dave Clark'],Amazon Environmental Research Institute
0,306,403.0,"[""How much you'll receive depends on your recent earnings and state in which you live, said Chad Stone, chief economist at the Center on Budget and Policy Priorities.""]",['Chad Stone'],Center on Budget and Policy Priorities
0,317,414.0,"['""He\'s a super smart, intelligent guy, and obviously he was going through some problems too,"" Kanter says of the NFL quarterback who has not played since kneeling during the national anthem as a form of social protest in 2016.']",['Kanter'],Dragonfly
0,361,484.0,"['Natalia Banulescu-Bogdan, associate director of the Migration Policy Institute\'s international program, described what she said was an ""extraordinary acceleration"" in travel restrictions.']",['Natalia Banulescu-Bogdan'],Migration Policy Institute
0,439,575.0,"[""Behar said that one of the best parts of Forme's design, though, is the scale of the system.""]",['Behar'],Union of Informed Citizens
0,456,595.0,"[""Retailers generally hold between one to three weeks' worth of non-perishable items, such as pasta and rice, in stores and depots, with much lower quantities of fresh produce kept in storage, said Dave Howorth, executive director of Scala, an independent supply chain consultancy to the UK's food and drink sector.""]",['Dave Howorth'],Scalabrini Migration Center
0,465,606.0,"['""If you\'re a low wage worker you could be doing a lot better,"" said Chris O\'Leary, a senior economist at the W. E. Upjohn Institute for Employment Research.']","[""Chris O'Leary""]",W. E. Upjohn Institute for Employment Research
0,466,607.0,"['In instances where an employer has the means to continue paying its idled workers but at a reduced rate -- say, only half of what they normally are paid while working -- the employee still may apply for partial unemployment benefits to cover some of their lost income, said Michele Evermore, a senior policy analyst at the National Employment Law Project.']",['Michele Evermore'],National Employment Law Project
