,0,1,2,3,4
0,24,26,"['""What we\'ve done so far is very sensible, but I would have liked to see a development over a longer period before I dared to say that the curve is broken,"" said Hans Jorn Kolmos, a professor in clinical microbiology at the University of Southern Denmark.']",['Hans Jorn Kolmos'],University of Southern Denmark
0,26,28,"[""CLICK HERE FOR FULL CORONAVIRUS COVERAGE\nOfficers found $1,700 worth of gear and supplies inside Brown's car and home, including gloves, hand sanitizer, surgical scrubs, washcloths, paper towels, masks, bleach cleaner, toilet paper\xa0and an automatic hand sanitizer, Brambila said.""]",['Brambila'],Brown University
0,88,95,"['The situation\xa0calls for “a better national policy of widespread testing, to isolate cases,” said Ali S. Khan, the dean of the College of Public Health at the University of Nebraska Medical Center.']",['Ali S. Khan'],University of Nebraska Medical Center
0,89,96,"['Even fragmentary fossils, like the jaw piece of the new pterosaur, can give us important information about the biodiversity of the past,"" David Martill, from the University of Portsmouth\'s School of the Environment, Geography and Geosciences -- which led the study, said in a statement.']",['David Martill'],University of Portsmouth
0,126,137,"['“We know that people before they have symptoms, can transmit this virus -- just a normal activity so I think it’s smart and it’s good guidance,” the director of Global Health and Emergency Medicine\xa0at New York-Presbyterian Columbia University\xa0Medical Center told “America’s Newsroom.”\nSpencer, the first Ebola patient in New York City and the fourth in the country in 2014,\xa0said that since there are “such high levels of community transmission and prevalence,” the guideline is “smart” because it will slow the spread.']",['Spencer'],Columbia University
0,152,169,"[""In an interview with Forbes, Purdue University professor of mechanical engineering Qingyan said there is a “very easy way to help prevent the spread of coronavirus: 'Close the lid and then flush.""]",['Qingyan'],Purdue University
0,183,204,"['He was recorded as saying that appointing then-Secretary of State Jesse White would ""cover you on the African-American thing"" and that he was the ""least offensive"" candidate.']",['Jesse White'],Pennsylvania State University
0,191,213,"['“The United States and Mexico have agreed to restrict nonessential travel across our shared border,” Secretary of State Mike Pompeo said during a White House press briefing with other top officials.']",['Mike Pompeo'],Pennsylvania State University
0,239,266,"[""“We’re just completely inundated with phone calls from all over the world from India to anywhere you can think of plus the majority of the hospitals in the United States,” Chris Austin told “America’s Newsroom.”\nSCIENTISTS OFFER HOPEFUL NEWS ON COVID-19 VACCINE BASED ON VIRUS' MUTATION RATE\nAustin went on to say, “We could easily get orders for 500-1000 and some individual orders [request 20,000] helmets.”\nAustin explained that the helmet is similar to a “space helmet” that bears the same extension cables that\xa0a typical ventilator mask would have.""]",['Chris Austin'],University of Texas at Austin
0,240,267,"['CLICK HERE FOR FULL CORONAVIRUS MAP\nAustin said that the masks are used in hospitals at the University of Chicago, University of Pennsylvania, a “few"" veterans\' hospitals and\xa0others.']",['MAP Austin'],University of Pennsylvania
0,266,297,['University of Missouri professor Carolyn Orbann said there might be more to the college students’ actions than being purely inconsiderate and explained their actions in the context of cultural behaviors and history.'],['Carolyn Orbann'],University of Missouri
0,308,341,"['Pete Ricketts has said he’s been relying on advice public health experts at the University of Nebraska Medical Center, which has dealt extensively with outbreaks and served as a quarantine space for Ebola patients.']",['Pete Ricketts'],University of Nebraska Medical Center
0,320,353,"['He put on the sweatshirt, blew the whistle and made these guys work,"" said Nick Spitzer, host of public radio’s American Routes and an anthropology professor at Tulane University.']",['Nick Spitzer'],Tulane University
0,326,360,"['""Harvard has been looking at the symptoms we see from COVID-19, and they\'ve discovered something we\'ve been talking about recently, which is the [loss of] sense of smell called Anosmia,"" Siegel said.']",['Siegel'],Harvard University
0,338,372,"['Robinton, who holds a PhD\xa0in molecular biology from Harvard University, said her experience underscored a disturbing reality: young, healthy adults hold no innate immunity to the insidious disease that has now infected over 200,000 people in the U.S., resulting in an estimated 4,476 deaths as of Wednesday.']",['Robinton'],Harvard University
0,346,380,"['""The number of confirmed cases in China by day 50 (February 19) of the epidemic, was around 30,000,"" said Christopher Dye, visiting professor of zoology and visiting fellow at the Oxford Martin School, University of Oxford, in a statement.']",['Christopher Dye'],University of Oxford
0,362,399,"['“Never in the department’s 230-year history have we led a worldwide evacuation of such enormous geographic complexity and such geographic scale,” Secretary of State Mike Pompeo said in a press conference Tuesday.']",['Mike Pompeo'],Pennsylvania State University
0,424,462,"['(AP Photo/Arnulfo Franco)\n      \n\n\n""Due to the outbreak of respiratory illness caused by COVID-19 and its impact on mariners and vessel operations, an increased number of foreign passenger vessels have required medical evacuations of both stable and critically-ill persons, including those with an influenza-like illness (ILI) such as COVID-19,” said E.C.']",['Arnulfo Franco'],University College Cork
0,445,484,"[""Money from Liam's GoFundMe page -- which has raised over £4,630\xa0($5,062) so far -- will help pay for his plot, headstone, and flowers, Laura said.""]",['Laura'],William & Mary
0,477,521,"['“I think we’ll get our results soon because the enrollment pace is very quick,” said principal investigator Dr. Babafemi Taiwo, chief of infectious diseases at Northwestern University Feinberg School of Medicine and Northwestern Medicine.']",['Babafemi Taiwo'],Northwestern University
