,0,1,2,3,4
0,3,3.0,"['PENTAGON TAKES AIM AT CORONAVIRUS WITH 8,000 VENTILATORS\n""Effective immediately, to the extent practical, all individuals on DoD property, installations, and facilities will wear cloth face coverings when they cannot maintain six feet of social distance in public areas or work centers,"" Defense Secretary Mark Esper said in a memo to Pentagon officials.']",['Mark Esper'],Pentagon Force Protection Agency
0,4,4.0,"['""It\'s important to assure pet owners and animal owners that at this time there isn\'t any evidence that they can spread the virus,"" Dr. Jane Rooney, a veterinarian and\xa0USDA official, said.']",['Jane Rooney'],Agriculture Department (USDA)
0,7,7.0,['Navy officials said some 155 sailors on the Theodore Roosevelt have tested positive for COVID-19.'],['Theodore Roosevelt'],Navy
0,29,32.0,"['Giles said she couldn\'t remember a time in the EPA’s half-century history where it “relinquished its fundamental authority.""']",['Giles'],Commerce Department (DOC)
0,31,34.0,"['Crozier may face further disciplinary action, the acting Navy secretary said.']",['Crozier'],Navy
0,41,45.0,"['“Clearly and sadly, the President intends to double down on his signing statement promise to disregard key oversight provisions that hold the Administration accountable to the law,"" Pelosi said.']",['Pelosi'],Administration for Children and Families (ACF)
0,58,63.0,"['Sign up here\nWhile jobless reports have been ""distressing,""\xa0the country should rebound quickly from coronavirus impacts due to a strong\xa0economic foundation,\xa0Labor Secretary Eugene Scalia said Saturday.']",['Eugene Scalia'],Bureau of International Labor Affairs
0,64,69.0,"['The ousted commander of the coronavirus-stricken USS Theodore Roosevelt may face further disciplinary action, the acting Navy secretary said.']",['USS Theodore Roosevelt'],Navy
0,70,76.0,"['Kelly’s office said he was not in Washington for the House vote on the third coronavirus relief package, though he would’ve voted for the stimulus package had he been present.']",['Kelly'],Congress—U.S. House of Representatives
0,73,80.0,"['The Securities and Exchange Commission (SEC) is also said to be involved, and the\xa0FBI has reportedly reached out to Burr for information.']",['Burr'],Securities and Exchange Commission (SEC)
0,77,84.0,"['""We’re not happy with 3M, we’re not happy and the people that dealt with it directly are not at all happy with 3M,”\xa0Trump said during the White House coronavirus task force briefing earlier Friday.']",['Trump'],White House
0,79,86.0,"['The Department of Health and Human Services\' (HHS) testing czar and assistant secretary for health, Adm. Brett Giroir, M.D., appeared on ""The Story with Martha MacCallum"" on Friday to discuss the rapid response COVID-19 test, saying it\'s availability to the country is weeks away.']",['Brett Giroir'],"Civil Rights, Department of Health and Human Services Office for"
0,82,89.0,"['That means that Congress must pass, in the very near future, the boldest piece of legislation ever written in modern history,” Sanders said.']",['Sanders'],Congress—U.S. House of Representatives
0,83,90.0,"['President Trump on Friday announced that the Centers for Disease Control and Prevention (CDC)\xa0is recommending Americans\xa0wear facial coverings made of cloth while out in public to help stop the spread of\xa0coronavirus\xa0-- though the president repeatedly called it ""voluntary"" and said he wouldn\'t do it himself.']",['Trump'],Centers for Disease Control and Prevention (CDC)
0,98,107.0,"['Rep. Alexandria Ocasio-Cortez, D-N.Y., on Friday cited the coronavirus crisis in renewing calls for sweeping political changes, demanding\xa0the Medicare eligibility age be reduced to zero\xa0while also saying that coronavirus relief should be viewed through a “lens of reparations.”\n“COVID deaths are disproportionately spiking in Black + Brown communities.']",['Alexandria Ocasio-Cortez'],Centers for Medicare and Medicaid Services (CMS)
0,100,109.0,"['Even a senior Trump\xa0administration official who spoke with Fox Business earlier this week said the White House was not yet fully focused\xa0on a ""Phase 4"" bill.']",['Trump'],White House
0,107,118.0,"['WHITE HOUSE CORONAVIRUS TASK FORCE TO ANNOUNCE FACE COVERING GUIDANCE\n“If any non-essential businesses continue to operate in violation of the stay at home order, we’re going to act to enforce the safer at home order and ensure their compliance,” Garcetti said, according to CBS Los Angeles.']",['Garcetti'],White House
0,125,136.0,"['While the White House is expected to recommend wearing face masks in public, Dr. Craig Spencer said on Friday that it would be “smart”\xa0because of the widespread asymptomatic transmission of the coronavirus.']",['Craig Spencer'],White House
0,127,138.0,"[""SCIENTISTS OFFER HOPEFUL NEWS ON COVID-19 VACCINE BASED ON VIRUS' MUTATION RATE\nThe White House and the Centers for Disease Control and Prevention (CDC) could encourage Americans to wear masks to help slow the spread of the coronavirus, President Trump said Thursday.""]",['Trump'],White House
0,130,143.0,"[""Republicans are hitting back at what they say is a “partisan” move by House Speaker Nancy Pelosi to form a new House committee on the administration's response to the coronavirus crisis\xa0—\xa0arguing\xa0that there are already numerous additional oversight measures in the $2 trillion stimulus bill passed by Congress\xa0last week.""]",['Nancy Pelosi'],Congress—U.S. House of Representatives
0,131,144.0,"['“This isn’t about oversight, it sounds like pure politics,” House Minority Leader Kevin McCarthy said on “Fox  Friends” Friday.']",['Kevin McCarthy'],Congress—U.S. House of Representatives
0,133,146.0,"['CLICK HERE TO GET THE FOX NEWS APP\xa0\xa0\xa0\n“In these troubled times with this invisible killer stalking the whole world, the fact that in this country we have the NHS is even more valuable\xa0than\xa0before,” said Health Secretary Matt Hancock, who also contracted COVID-19 and only emerged from his self-isolation on Thursday.']",['Matt Hancock'],Agency for Healthcare Research and Quality (AHRQ)
0,134,147.0,"['“We immediately jumped\xa0on filling out the loan and\xa0getting with the SBA [Small Business Administration],” Bausch said.']",['Bausch'],Small Business Administration (SBA)
0,137,150.0,"['Our concern is the lack of action, these are procedural concerns that can save the lives of our Veterans,” Rosie Torres, founder of veteran advocacy group Burn Pits 360 said to Fox News.']",['Rosie Torres'],Court of Appeals for Veterans Claims
0,140,154.0,"['Trump said that while the White House activated the act against GM, it may not be needed.']",['Trump'],White House
0,147,163.0,"[""White House coronavirus task force member Dr. Anthony Fauci said on Friday that all of\xa0China's wet markets should be shut down immediately in light of the pandemic ravaging much of the world.""]",['Anthony Fauci'],White House
0,156,173.0,"['Brian Kemp said Wednesday\xa0that he had just learned this week that the coronavirus can be contagious before people are showing symptoms, citing that fact as part of the reason why he ordered a more strict shelter-in-place order for his state after previously balking on doing so -- yet the White House had said so as early as Jan. 31.']",['Brian Kemp'],White House
0,157,174.0,"['Oz said that after speaking with members of the White House Coronavirus Task Force, they seem to think that that is a good idea.']",['Oz'],White House
0,160,178.0,"['House Speaker Nancy Pelosi, D-Calif.,\xa0rejected criticism that she tried to squeeze the Democrats\' wish lists into the recently passed stimulus bills, saying ""that isn\'t so.""']",['Nancy Pelosi'],Congress—U.S. House of Representatives
0,164,182.0,"['The USNS Comfort arrived Monday at the front lines of the\xa0coronavirus\xa0outbreak\xa0in the United States, bringing a message to all New Yorkers that the Navy is ""with you"" and ""remains committed in this fight,"" Rear Adm. John Mustin said.']",['John Mustin'],Navy
0,165,183.0,"['(AP)\n      \n\n\nCLICK HERE FOR FULL CORONAVIRUS COVERAGE\xa0\n""Today, like then, we bring a message to all New Yorkers -- now your Navy has\xa0returned\xa0and we are with you, committed in this fight,"" Mustin said, adding that ""words are incapable of expressing the depth of my gratitude for those on this mission and for the families they leave behind.""']",['Mustin'],Navy
0,173,193.0,"[""In one of the cases, Bowman jailed a mother\xa0for being 20 minutes late after her bus was delayed,\xa0according to an Emergency Motion\xa0filed by\xa0the ACLU lawyers with the state's\xa0Court of Appeals, the report said.""]",['Bowman'],Court of Appeals for the Armed Forces
0,175,196.0,"['USNS COMFORT HOSPITAL SHIP ARRIVES IN NEW YORK HARBOR AMID CORONAVIRUS OUTBREAK\nAnother US Navy hospital ship, the USNS Mercy, docked in Los Angeles, had a total of 15 patients, that vessel’s captain, John Rotruck, said on the call.']",['John Rotruck'],Navy
0,190,211.0,"[""Golnick, a Navy veteran, says it's important they connect those in need of help with others who've worked in emergency response or the armed forces.""]",['Golnick'],Navy
0,196,218.0,"['Modly said he thought the skipper became ""overwhelmed"" at the situation and acted unprofessionally and violated the ""sacred trust"" given to all commanding officers in the Navy.']",['Modly'],Navy
