,0,1,2,3,4
0,36,39.0,"['Piet van Lier, a researcher with Policy Matters Ohio, said:\xa0“I don’t think it takes an expert to understand that if all a sudden you have lots of cases coming out of the prisons, it’s going to overwhelm the medical centers and hospitals, as well.”\nThe inmate is being housed at Pickaway Correctional Institute (PCI) and said he and many in his unit have been experiencing coronavirus symptoms for over a week.']",['Piet van Lier'],Policy Matters Ohio
0,48,52.0,['SEIU spokesman Steve Trossman told the Times the union “was trying to save the lives of healthcare workers and patients” and that union officials “were proud of having made that attempt.”\nHe said the name of the supplier had been turned over to a federal task force investigating suppliers of medical equipment related to COVID-19.'],['Steve Trossman'],The Times Think Tank
0,62,67.0,['(Feeding America)\n      \n\n\nFox News and Facebook also made a joint donation of $1 million to Feeding America’s COVID-19 Response Fund and Amazon founder Jeff Bezos said Thursday that he plans to donate $100 million.'],['Jeff Bezos'],Amazon Environmental Research Institute
0,95,102.0,"['Goodell said the\xa0NFL’s\xa0Management Council Executive Committee was ""unanimous and unequivocal that the draft should go forward as scheduled.” The NFL has already canceled its planned draft festivities in Las Vegas and will proceed with an altered format to protect participants from risks related to the outbreak.']",['Goodell'],Dragonfly
0,103,113.0,"['“By keeping her behind bars, they expose their true motive\xa0—\xa0they are willing to punish health professionals who dare contradict the official Russian narrative and expose flaws in the public health system,” Natalia\xa0Zviagina, Russia director of Amnesty International, said in a statement.']",['Natalia Zviagina'],Amnesty International
0,106,116.0,"['SXSW, AMAZON PARTNER UP TO BRING THE FILM FESTIVAL ONLINE\n“What we do later in the year would clearly be a differently programmed festival than what we would have done in April,” Rosenthal said in a phone interview Thursday.']",['Rosenthal'],Amazon Environmental Research Institute
0,150,167.0,"['""He’s not smart, or articulate, and to the extent the press wants to focus on us versus him, we will be in a much stronger PR position than simply explaining for the umpteenth time how we’re trying to protect workers,"" Amazon General Counsel David Zapolsky said, according to Vice News.']",['David Zapolsky'],Amazon Environmental Research Institute
0,151,168.0,"['Amazon previously justified its firing of Smalls by saying that Smalls ""was found to have had close contact with a diagnosed associate with a confirmed case of COVID-19 and was asked to remain home without pay for 14-days...']",['Smalls'],Amazon Environmental Research Institute
0,168,186.0,"['Dr. Alex Billioux, assistant secretary for the state Office of Public Health, said, “If there is a place to draw hope here it is that these new data reveal our COVID-19 related hospitalization and death rates, while still concerningly high, are trending more in line with the national average.”\nAmid the shortages, the state is also converting the Ernest N. Morial Convention Center in New Orleans into a temporary hospital with 2,000 beds, The Advocate reported.']",['Alex Billioux'],Advocates Coalition for Development and Environment
0,177,198.0,"['Amazon founder Jeff Bezos said Thursday that he plans to donate $100 million to food banks across America, which is currently facing a severe and steep economic downturn because of the\xa0coronavirus epidemic.']",['Jeff Bezos'],Amazon Environmental Research Institute
