,0,1,2,3,4
0,8,8,"['“Even prior to COVID-19, the majority of low-income people were already experiencing toxic stress and the impossible choice between basic necessities and paying their rent,” said Emily Benfer, a law professor and director of the Health Justice Advocacy Clinic at Columbia University.']",['Emily Benfer'],Columbia University
0,17,17,"['New York City’s DOC said detainees are not deprived of meals or water and that the department is committed to “robust sanitation protocols throughout its facilities” and has “ramped up existing cleaning policies to combat the potential spread of the coronavirus.”\n\n\nFights regularly break out in the hallways, often instigated by staff, according to Corey Williams, who tested positive for the coronavirus on Tuesday.']",['Corey Williams'],Murdoch University
0,24,24,"['After about 20 years of declines, the United States started seeing more black lung cases in the 1990s, said Dr. Leonard Go, a physician and black lung researcher at the University of Illinois at Chicago and Northwestern University.']",['Leonard Go'],Northwestern University
0,48,48,"['“Right off the bat, it’s important to know that indoor air quality is not necessarily better than outdoor,” said Jane Clougherty, an associate professor in the department of environmental and occupational health at Drexel University’s Dornsife School of Public Health.']",['Jane Clougherty'],Drexel University
0,67,71,"['William Winecoff, a political science professor at the University of Indiana, said the program hasn’t gotten enough attention.']",['William Winecoff'],Indiana University
0,86,90,"['“If and when the governor extends the state of emergency,” said Georgia Secretary of State Brad Raffensperger, “we can re-evaluate the situation and determine if moving the election is appropriate in light of the circumstances in order to best protect the health and safety of voters, election officials and poll workers.”\n\n\nA number of other states have already pushed back their primary elections to help stop the spread of the coronavirus.']",['Brad Raffensperger'],Pennsylvania State University
0,95,99,"['“If people wait till things start to hurt, already they’ve waited a little bit too long,” said Alan Hedge, director of the human factors and ergonomics research group at Cornell University.']",['Alan Hedge'],Cornell University
0,103,108,"['He put on the sweatshirt, blew the whistle and made these guys work,” said Nick Spitzer, host of public radio’s American Routes and an anthropology professor at Tulane University.']",['Nick Spitzer'],Tulane University
0,111,116,"['This is the time to follow the rules because these situations are when we’re most likely to make a mistake,” said Robertson Davenport, director of the blood bank and transfusion service at the University of Michigan.']",['Robertson Davenport'],University of Michigan
0,191,201,"['“Learning life skills, going on nature walks or having a baking class can create some good memories and structure during this time.” \n\nEncourage Virtual Social Interaction\n\n“We all do better when we are connected with others,” said Robin Gurwitch, a Duke University psychiatry professor specializing in family and child mental health.']",['Robin Gurwitch'],Duke University
0,197,207,"['Yet-to-be-published research by the same team has found pollution also worsened flu pandemics in 1957-58 and 1968-69, said Karen Clay, an economics and public policy professor at Carnegie Mellon University and one of the studies’ authors.']",['Karen Clay'],Carnegie Mellon University
