,0,1,2,3,4
0,4,4.0,"['While Robert Redfield, director for the Centers for Disease Control and Prevention, did say this week that\xa0the agency found more evidence proving asymptomatic spread, he and several other public health officials have been warning Americans for months that the evidence already obtained suggested this was the case.']",['Robert Redfield'],Centers for Disease Control and Prevention (CDC)
0,7,7.0,"['Smith Collection/Gado via Getty Images\n\n\n\nSecretary of Defense Mark Esper said Sunday that “only” 155 COVID-19 cases have been confirmed on the aircraft carrier USS Theodore Roosevelt, pictured.']",['Mark Esper'],Defense Acquisition University
0,31,31.0,"['If you own a small business, Mankin said, you could consider applying for a Small Business Administration disaster loan.']",['Mankin'],Small Business Administration (SBA)
0,32,32.0,"['Kushner, a White House adviser, faced a wave of criticism at the task force update on Thursday after he said that the medical supplies in the national stockpile were not meant for state governors to use.']",['Kushner'],White House
0,33,33.0,"['When it comes to following guidelines from the Centers for Disease Control and Prevention, President\xa0Donald Trump is using a “do as I say, not as I do” approach.']",['Donald Trump'],Centers for Disease Control and Prevention (CDC)
0,35,35.0,"['“While the government should have released these people without need for judicial intervention, we applaud the Court for this ruling, which will help to save our vulnerable clients from contracting a virus that has already killed thousands worldwide,” Stoughton said at the time.']",['Stoughton'],Administrative Office of the U.S. Courts
0,54,58.0,"['“Congress had an opportunity to enact a law that was stronger,” said Vicki Shabo, a senior fellow and paid leave expert at the liberal New America think tank.']",['Vicki Shabo'],Congress—U.S. House of Representatives
0,55,59.0,"['“Instead Congress made choices that are forcing people to continue to go to work potentially sick and infect others.”\n\n\nOn Twitter, Shabo simply said that the department took a “hacksaw” to the law.']",['Shabo'],Congress—U.S. House of Representatives
0,65,69.0,"['“As long as you hire the people back, the loan is forgiven,” Treasury Secretary Steven Mnuchin said during a CNBC appearance on Wednesday to promote the program.']",['Steven Mnuchin'],Department of the Treasury
0,66,70.0,['And Mnuchin has said he would ask Congress for more funding if that $350 billion runs out.'],['Mnuchin'],Congress—U.S. House of Representatives
0,73,77.0,"['“The government has in normal times a lot of things to protect it, including lengthy contracts and oversight,” said Justin Oberman, a former Transportation Security Administration official who now consults with businesses trying to navigate the federal procurement process.']",['Justin Oberman'],Transportation Security Administration (TSA)
0,84,88.0,"['David Ralston, the state House speaker, has deep concerns about this system, in part because the “possibilities of fraud are incredibly prevalent in this kind of voting,” as he said in an interview with the Georgia news site FetchYourNews.']",['David Ralston'],Congress—U.S. House of Representatives
0,90,94.0,"['“Now I have some peace of mind as we apply for [Small Business Administration] loans to pay rent, vendors, and other expenses,” Doyle said.']",['Doyle'],Small Business Administration (SBA)
0,91,95.0,"['We’re trying to make this an educational experience, but I’m mostly drinking,” said Reynolds, who happens to own a gin company, Aviation gin, so he clearly has a plentiful supply of alcohol.']",['Reynolds'],Federal Aviation Administration (FAA)
0,100,104.0,"['“Finding out that this virus is now transmitting before people see signs ... what we’re been telling people from directives from the [Centers for Disease Control and Prevention] for weeks now that if you start feeling bad, stay home ― [but] those individuals could have been infecting people before they ever felt bad, but we didn’t know that until the last 24 hours.”\xa0\n\n\nCDC Director Robert Redfield said Monday that as many as 25% of people infected with the new coronavirus could show no symptoms.']",['Robert Redfield'],Centers for Disease Control and Prevention (CDC)
0,113,118.0,"['“Social Security recipients who are not typically required to file a tax return need to take no action, and will receive their payment directly to their bank account,” Treasury Secretary Steven Mnuchin said in a news release.']",['Steven Mnuchin'],Social Security Administration (SSA)
0,135,140.0,['Surgeon General Jerome Adams said Wednesday that he has asked the Centers for Disease Control and Prevention to consider whether people should wear masks to prevent the spread of the coronavirus.'],['Jerome Adams'],Centers for Disease Control and Prevention (CDC)
0,142,147.0,"['Navajo Nation President Jonathan Nez said Tuesday that the U.S. government “once again has ignored” the country’s Indigenous people, accusing Congress of failing to deliver enough much-needed resources to help fight the coronavirus.']",['Jonathan Nez'],Congress—U.S. House of Representatives
0,147,153.0,"['On Tuesday, Pritzker went on to say Illinois was largely dealing with the onslaught of coronavirus patients thanks to the work of local hospitals and testing facilities, rather than from aid from the White House.']",['Pritzker'],White House
0,155,161.0,['DeSantis said at his own news conference Tuesday that he was waiting for the White House task force to recommend that to him first.'],['DeSantis'],White House
0,163,169.0,"['Specifically, Trump said he would treat as optional a provision requiring the special inspector general to notify Congress if it is unreasonably denied information about loan decisions made by the Treasury Department.']",['Trump'],Department of the Treasury
0,176,185.0,"['House Speaker Nancy Pelosi (D-Calif.) has said more payments to individuals will be a priority for Democrats if Congress takes up another bill to respond to the pandemic fallout, and several Democrats who’ve pushed for big increases to existing tax credits echoed the sentiment.']",['Nancy Pelosi'],Congress—U.S. House of Representatives
0,178,187.0,"['“Hopefully the stimulus that Congress approved will help pay my biggest costs, the mortgage and the maintenance,” said Maher.']",['Maher'],Congress—U.S. House of Representatives
0,180,189.0,"['Dr. Anthony Fauci, a member of the White House’s coronavirus task force, said on Monday that the virus outbreak could ultimately kill 100,000 to 200,000 Americans and infect millions.']",['Anthony Fauci'],White House
0,181,190.0,"['As of Monday, the only in-person teaching taking place was flight instructing, and that was going to be suspended to comply with the governor’s order, said Liberty spokesman Scott Lamb.']",['Scott Lamb'],Radio Free Europe and Radio Liberty (RFE/RL)
0,183,192.0,"['Rep. Thomas Massie, who has said the government’s response to the pandemic is worse than the pandemic itself, tried to stop a so-called voice vote that would not have required members to be present in the House chamber.']",['Thomas Massie'],Congress—U.S. House of Representatives
0,184,193.0,['House Speaker Nancy Pelosi said Thursday in a private call with lawmakers that she was determined to hold the vote Friday if she could get enough lawmakers back to Washington.'],['Nancy Pelosi'],Congress—U.S. House of Representatives
0,211,221.0,"['Gap’s spokesman Sandy Goldberg said the furloughs affect nearly 80,000 out of 129,000 employees across all brands, including Banana Republic and Old Navy.']",['Sandy Goldberg'],Navy
0,221,231.0,"['Pritzker said he had asked the federal government to help Illinois by providing personal protective equipment (PPE) like N95 masks, but that the White House instead sent 300,000 surgical masks.']",['Pritzker'],White House
0,222,232.0,"['Medicare Scams\n\nSara Hornick, a financial adviser with Hudson Wealth Management, says many of her clients are seniors, who tend to be targets of all types of scams.']",['Sara Hornick'],Centers for Medicare and Medicaid Services (CMS)
0,223,233.0,"['“Medicare itself is not providing anything,” Hornick said.']",['Hornick'],Centers for Medicare and Medicaid Services (CMS)
0,227,237.0,"['“The SEC noted that there have been a number of internet promotions claiming that products and services of publicly traded companies can prevent, detect or cure coronavirus, and the value of the stock of these companies will increase dramatically as a result,” said William M. Welch II, deputy counsel and chief compliance and ethics officer for Voya Financial.']",['William M. Welch II'],Secret Service
0,228,238.0,"['“Tax scammers may file a return in your name or contact you claiming to be the IRS,” Tayne said.']",['Tayne'],Bureau of Indian Affairs
0,231,241.0,"['“Our first bills were about addressing the emergency,” Pelosi said on the call, referring to smaller bills Congress passed earlier this month.']",['Pelosi'],Congress—U.S. House of Representatives
0,233,243.0,"['“I would hope anybody that’s talking about a Phase 4 would pause right now,” House Minority Leader Kevin McCarthy (R-Calif.) said Friday on Fox News.']",['Kevin McCarthy'],Congress—U.S. House of Representatives
0,234,244.0,"['“Let’s make sure this is actually working in the process and be smart, get the data back of where — if — we do need more help.”\n\n\nTreasury Secretary Steven Mnuchin did not rule out the possibility of needing another financial aid package in an interview with CBS’ “Face the Nation” on Sunday, saying, “If this takes longer, we will go back to Congress and get more support for the American economy, but I hope that’s not needed.”\n\n\n\n\n\nA HuffPost Guide To Coronavirus\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nCalling all HuffPost superfans!']",['Steven Mnuchin'],Department of the Treasury
0,237,247.0,"['“We are currently reviewing what the governor said but aren’t able to make a comment at this moment,” said Liberty spokesman Scott Lamb.']",['Scott Lamb'],Radio Free Europe and Radio Liberty (RFE/RL)
0,247,257.0,"['He also declined to in any back-and-forth with Trump about a White House race, saying, “As far as the president’s comment about having a political contest with me, I am not engaging the president in politics.']",['Trump'],White House
0,257,267.0,"['Ghosh said she’s hopeful that health care providers and health departments across the country do their best to follow the Centers for Disease Control and Prevention guidelines on who gets tested, “because there really is a shortage and we need to reserve these resources for those who need it most.”\n\nHow to get a coronavirus test if you need one\n\nThe first step in trying to get a coronavirus test is to call your doctor and discuss your symptoms.']",['Ghosh'],Centers for Disease Control and Prevention (CDC)
0,260,270.0,"['Yahoo News\n\n\n\n\n\n\nThe evident disconnect between Trump’s promise and on-the-ground reality is reflected in a sign that, according to a company representative, has been placed at every Target around the nation (Target’s pharmacies are operated by CVS): “This store is NOT a CDC testing center,” the signs say, using the acronym for the Centers for Disease Control and Prevention.']",['Trump'],Centers for Disease Control and Prevention (CDC)
0,272,282.0,"['“There’s this old saying, ‘When America catches a cold, Black America catches pneumonia,’” Ron Busby, president and CEO of the United States Black Chambers Inc., told HuffPost.']",['Ron Busby'],Administrative Conference of the United States
0,283,293.0,"['U.S. Treasury Secretary Steven Mnuchin on Sunday said Americans can expect to receive a portion of the $2 trillion coronavirus stimulus package within three weeks, either by direct deposit or a check in the mail.']",['Steven Mnuchin'],Department of the Treasury
0,284,294.0,"['ASSOCIATED PRESS\n\n\n\nTreasury Secretary Steven Mnuchin, speaking with reporters outside of the White House on Sunday, said Americans can expect to receive a coronavirus stimulus check within the next three weeks.']",['Steven Mnuchin'],Department of the Treasury
0,285,295.0,"['Trump said Saturday that he was considering issuing a quarantine order for the tri-state area, but later said it “will not be necessary.” Instead, the U.S. Centers for Disease Control and Prevention issued a travel advisory urging people in those states to “refrain from non-essential domestic travel” for the next two weeks.']",['Trump'],Centers for Disease Control and Prevention (CDC)
0,299,310.0,"['On March 22, however, volunteers say they received an email informing them they would be COSed — a Peace Corps acronym meaning “close of service.”\n\n\n“In one single email, the entirety of what my future was going to look like and the hopes that I had for returning, you know, was just, in a sense, decimated,” said Alex Sproule-Fendel, a Morocco youth development volunteer who began his service in September 2019.']",['Alex Sproule-Fendel'],Peace Corps
0,304,315.0,"['The provision authorizing the IG to unilaterally inform Congress is “unreasonable,” Trump said in his statement.']",['Trump'],Congress—U.S. House of Representatives
0,305,316.0,"['Trump’s statement also said he would not follow the law’s requirement to consult with congressional committees about any reallocation of funds, because this would be an “impermissible form of congressional aggrandizement.” And he won’t consult Congress, as required by the law,\xa0about the staffing of the new Pandemic Response Accountability Committee.']",['Trump'],Congress—U.S. House of Representatives
0,306,317.0,"['He says he wants to fight to keep Congress and regular Americans from knowing about fraud, waste and abuse in implementing the bailout,” Shaub added.']",['Shaub'],Congress—U.S. House of Representatives
0,311,322.0,"['“Pelosi had a significant amount of power in negotiating this package because members weren’t here,” said a second senior aide to a progressive House member.']",['Pelosi'],Congress—U.S. House of Representatives
0,321,332.0,"['“Everyone involved is interested in providing DoD assistance as quickly as possible as we work with our interagency partners to check the spread of COVID-19,” said Army Lt. Col. Chris Mitchell, a Defense Department spokesman.']",['Chris Mitchell'],Defense Department (DOD)
0,343,354.0,"['Drollinger is free to believe this theology of hate, she said, but the White House and state capitals must not give it a platform.']",['Drollinger'],White House
0,351,362.0,"['Lawmakers are pointing to Rep. Thomas Massie, who has said the government’s response to the pandemic is worse than the pandemic itself, as the lawmaker refusing to go along with a so-called voice vote that would not require members to be present in the House chamber.']",['Thomas Massie'],House of Representatives
0,355,366.0,"['“There isn’t current medical evidence of the efficacy of that drug in treating COVID-19.”\n\n\nKUOW said it will review its decision daily and “will continue to treat all opportunities for live preemption on a case-by-case basis weighing for importance, news value and immediacy of need-to-know.”\n\n\nMSNBC and CNN cut away from Trump’s news conference earlier this week, angering the White House, The Washington Post noted.']",['Trump'],White House
0,371,382.0,"['Trump has been pushing for the country to get back to normal in as little as two to three weeks, saying doing so would help kickstart the economy as a landmark $2 trillion stimulus package makes its way through Congress.']",['Trump'],Congress—U.S. House of Representatives
0,372,383.0,"['Dr. Deborah Birx, the coordinator for the White House’s coronavirus task force, said during a press update on Thursday that there was no “evidence” that hospitals were facing a severe shortage of ventilators.']",['Deborah Birx'],White House
0,373,384.0,"['“There is no situation in the United States right now that warrants that kind of discussion,” Birx said during Thursday’s White House press conference.']",['Birx'],White House
0,384,395.0,['On Tuesday Cuomo said the Federal Emergency Management Agency was sending 400 ventilators after he warned that the state needed thousands more to deal with an impending “apex” of its infection rate that he estimated would take place in a few weeks.'],['Cuomo'],Federal Emergency Management Agency (FEMA)
0,391,402.0,"['It was Henke who wrote an email to top House and Senate Appropriations Committee staff earlier this month asking for “quick assistance” for the arts center, which she said is projected to lose at least $20 million in revenue and incur debt of up to $12 million by the end of May.']",['Henke'],Congress—U.S. House of Representatives
0,406,417.0,"['Stutts repeatedly said that USPS has “really worked well with us” to try to prepare and assist workers, including having regular teleconferences with district heads to get out information for workers on how to protect themselves with social distancing, hand-washing and more.']",['Stutts'],Postal Service (USPS)
0,407,418.0,"['“There’s a lot more work,” said Joe Palau, a decades-long employee of USPS who currently works at a mail processing facility in New York City.']",['Joe Palau'],Postal Service (USPS)
0,409,420.0,['House Speaker Nancy Pelosi (D-Calif.) called the move “discriminatory”\xa0and said she wanted future legislation to deliver more funding to the nation’s capital.'],['Nancy Pelosi'],Congress—U.S. House of Representatives
0,412,423.0,"['“I will be encouraging the White House, again within the parameters of what makes sense from a public health standpoint, to do everything we can to make that date,” Reed said, “because I think it would be symbolic, it would be significant, it would be inspirational.”\n\n\nTo that end, the White House has been discussing the mechanics of a rollback aimed at getting Americans back to work if they don’t live in current virus hot spots.']",['Reed'],White House
0,418,429.0,"['For him, it’s always been a frame of social justice and also a frame of democracy.”\n\n\nArgentina’s National Campaign for the Right to Legal, Safe and Free Abortion said in a statement Thursday morning that it agreed with and respected Fernández’s decision to prioritize “the health of the entire population” during the virus outbreak, which it referred to as a “moment of solidarity.”\n\n\nBut it also said that it hoped the legalization bill would be introduced into Argentina’s Congress “as soon as possible” once the coronavirus crisis was contained, and said that it would continue working to win support for a law that would end the criminalization of abortion and “guarantee our freedom, autonomy, and the exercise of our rights.”\n\n\nAbortion became such a prominent issue because millions of women took the streets to demand that politicians respond to them ― not just in Argentina, but across Latin America ― and the issues they raised haven’t been addressed.']",['Fernández'],Congress—U.S. House of Representatives
0,444,455.0,"['But Julie Kashen, senior policy adviser at the National Domestic Workers Alliance, warned, “many who are in informal arrangements, work irregular hours, work for multiple employers, who are misclassified as independent contractors will be excluded.”\n\n\nWhile the Senate’s recently agreed-upon $2 trillion stimulus package was broadened to include freelancers, furloughed employees and gig workers, such as Uber drivers, there are still some gaps, experts say.']",['Julie Kashen'],Senate
0,449,461.0,"['In November, the Iranian government unexpectedly responded to a United Nations query by saying that Levinson was the subject of an “open case” in Iranian Revolutionary Court.']",['Levinson'],U.S. Mission to the United Nations
0,451,463.0,"['“This activity is the most easily accessible, but it may be difficult to maintain distance in more densely populated areas,” said Nagrani, medical director for Heal.']",['Nagrani'],Defense Health Agency
0,469,485.0,"['“This [agreement was] negotiated by Republican senators and the White House and Democratic senators, who believe that it is essentially necessary,” Raju said.']",['Raju'],White House
0,474,491.0,['Burel said Congress never set aside funds specifically for pandemic influenza again.'],['Burel'],Congress—U.S. House of Representatives
0,482,499.0,"['“I’ll tell you what I know from the nanny cam and from videos, because I can’t see him, which is the very worst part,” Cohen said on\xa0SiriusXM’s “Jeff Lewis Live.”\xa0“But he’s great, and his nanny (tested) negative.”\n\n\nWhile some children have contracted the virus, adults make up most of the known cases to date, according to the Centers for Disease Control and Prevention, as the tally continues to rise in major cities across the United States.']",['Cohen'],Centers for Disease Control and Prevention (CDC)
0,494,511.0,"['Just last week,\xa0Sanders’ campaign said he would “assess” his bid for the White House after another round of primary losses.']",['Sanders’'],White House
0,495,512.0,"['On Monday, he delivered remarks from his home about the ongoing coronavirus pandemic, lambasting President Donald Trump’s response and saying the White House bears the “responsibility for our response.”\n\n\n“The president says no one saw this coming.']",['Donald Trump'],White House
0,504,521.0,"['“He insisted he had to speak out against China in this moment.”\n\n\n\n\n\n\n\n\nSOPA Images via Getty Images\n\n\n\nRep. Judy Chu (D-Calif.) says House lawmakers hoping to pass a resolution blaming China for the coronavirus are ""putting lives in danger,"" namely Asian Americans facing a rise in hate crimes.']",['Judy Chu'],Congress—U.S. House of Representatives
0,510,527.0,"['Utilities are primarily regulated on the state and local level, and the federal Energy Information Administration only surveys national disconnection rates once every four years, said John Howat, a senior energy analyst at the National Consumer Law Center.']",['John Howat'],Energy Information Administration
0,527,544.0,"['Reynolds said Tuesday that his gin brand, called Aviation, will be donating $15,000 and 30% of all orders purchased online to the\xa0United States Bartenders’ Guild.']",['Reynolds'],Federal Aviation Administration (FAA)
0,550,568.0,['The National Institutes of Health said Monday that Fauci was still a regular part of the White House briefing schedule.'],['Fauci'],White House
0,551,569.0,"['Dr. Deborah Birx, the White House’s coronavirus response coordinator, spoke about the infection rates in states around the country, saying each state would have its own disease curve to deal with.']",['Deborah Birx'],White House
0,556,575.0,"['“I think it’s prudent to wait,” said Justin Pritchard, a certified financial planner and founder of Approach Financial, Inc. “We’re hearing about new relief efforts every day, and it would be unfortunate to cash out and then find out you have better options.”\n\nFor example, the IRS pushed back the tax filing deadline to July 15.']",['Justin Pritchard'],Bureau of Indian Affairs
0,557,576.0,"['“It’s important to note that investment options in 401(k) accounts are limited — you can’t just invest in any stock or bond that you like, and for most of us who aren’t stock analysts, it’s not in your best interest to chase returns in industries or companies that seem ‘hot’ right now,” said Brittney Castro, the in-house certified financial planner for Mint and Turbo, and founder and CEO of Financially Wise, Inc.\n\nFor example, she said, a pharmaceutical company could announce it’s close to a vaccine or treatment option, only to have it not pan out and its stock drop sharply.']",['Brittney Castro'],Mint
0,597,621.0,['President Donald Trump on Sunday refused to say if he would bar his own company from receiving stimulus money included in any potential bailout package Congress passed to deal with the ongoing coronavirus pandemic.'],['Donald Trump'],Congress—U.S. House of Representatives
