,0,1,2,3,4
0,22,22.0,"['“That’s a huge void, not being able to get him the support he needs to communicate, it’s devastating,” Stuart said, noting an IEP meeting for her son was canceled with no apparent makeup in sight.']",['Stuart'],Robert Krieps Foundation
0,47,47.0,"['Brittney, a 31-year-old data analyst in Chicago\n\n\nIn a statement, Frontier said it would refund anyone whose flight was canceled by the airline.']",['Brittney'],Frontier Centre for Public Policy
0,53,57.0,"['“We know these occupations are essential, and we know that means that [health care workers] may have to keep working,” said Vasu Reddy, a senior policy analyst at the National Partnership for Women and Families.']",['Vasu Reddy'],National Partnership for Women and Families
0,64,68.0,"['The greater the increase in travel distance, the more likely it becomes that individuals will not be able to obtain the care they need, said Rachel Jones, a research scientist at Guttmacher.']",['Rachel Jones'],Guttmacher Institute
0,68,72.0,"['They are actively making life harder for sex workers in this crisis.”\n\n\nAndrew Stettner, a senior fellow at progressive think tank The Century Foundation, said it “makes zero sense” for any legal workers to be denied aid.']",['Andrew Stettner'],Century Foundation
0,87,91.0,"['“It’s a scary, scary time,” said Michelle Evermore, a senior researcher and policy analyst and the National Employment Law Project.']",['Michelle Evermore'],National Employment Law Project
0,99,103.0,"['for nine ... special agents to provide protective services for Dr. Fauci,” the Justice Department said in a statement to the Times.']",['Fauci'],The Times Think Tank
0,109,114.0,"['(Trump has been rightfully criticized for calling the pandemic the “Chinese Virus.”) \n\n\nShe also attempted to peddle a right-wing conspiracy theory, saying American journalists “have teamed up with Chinese Communist Party narratives” and are siding with “foreign state propaganda, Islamic radicalism, Latin gangs and cartels.”\n\n\nOANN is a small, family-owned conservative television network based in San Diego that has been challenging bigger outlets like Fox News for conservative cable and satellite TV viewers.']",['Trump'],Party School of the Communist Party of China Inner Mongolia Autonomous Region
0,131,136.0,"['“I think that that may be inevitable if nothing is announced, and possibly the government, at provincial or federal level, is just waiting to see how this plays out and crafting their response.”\n\n\nFuture evictions likely if tenants don’t pay: landlord\xa0\n\n\nWilliam Blake, a member of the Ontario Landlords Association (OLA) who has properties in several provinces, said small landlords are also facing challenges during this time.']",['William Blake'],Ecolatina
0,159,165.0,"['Sanders also linked to a report in The Nation last week saying carriers reported not being given soap, disinfectant wipes or gloves.']",['Sanders'],The Institute of Economics of the National Academy of Sciences of Belarus
0,166,172.0,"['Next: Trump says earth flat, scientists say otherwise.”\xa0\n\n\nLater, he added: “It matters that you’re failing, and it’s not about a lowly reader trying to score points, but the fact that @NYTimes [is] eliding, equivocating on the federal response has consequences for millions of people.”\xa0\n\n\n\nThe Times is often accused of engaging in “both-sides-ism” — or giving improper weight to both sides of a particular argument when the facts heavily favor one side.']",['Trump'],The Times Think Tank
0,175,184.0,"['It’s a “quite significant” development, said Bob Greenstein, president of the Center on Budget and Policy Priorities, a liberal D.C. think tank.']",['Bob Greenstein'],Center on Budget and Policy Priorities
0,189,199.0,"['A spokesperson previously said\xa0the focus will be\xa0on the couple’s core issues: “the Commonwealth, community, youth empowerment and mental health, collectively.”\xa0\n\n\nDisney confirmed Meghan’s first post-royal project: a voiceover role for its documentary “Elephant,” which will stream on Disney Plus April 3.']",['Meghan'],Commonwealth Foundation
0,215,225.0,"['Chris Smalls, the employee who helped organize the demonstration, said he felt Amazon had failed to enact adequate measures to protect workers at the facility as many Americans turn to online shopping as stay-at-home mandates expand around the country.']",['Chris Smalls'],Amazon Environmental Research Institute
0,216,226.0,"['“Amazon would rather fire workers than face up to its total failure to do what it should to keep us, our families, and our communities safe,” Smalls said in a statement obtained by HuffPost.']",['Smalls'],Amazon Environmental Research Institute
0,244,254.0,"['“For the bigger players, it will be easier to go back to business as normal of late last year,” said Mike Konzcal, a fellow with the progressive Roosevelt Institute.']",['Mike Konzcal'],The Roosevelt Institute
0,271,281.0,"['“He was placed in paid quarantine out of an abundance of caution because we notified him that he may have had close contact with someone at the building who was diagnosed.”\n\n\nThe statement also stressed that the company had “taken extreme measures to keep people safe” at its Staten Island warehouse, including “tripling down on deep cleaning, procuring safety supplies that are available and changing processes to ensure those in our buildings are keeping safe distances.”\n\n\nBut Stuart Appelbaum,\xa0the president of the Retail, Wholesale and Department Store Union, said Amazon had not done enough to keep its employees safe.']",['Stuart Appelbaum'],Amazon Environmental Research Institute
0,340,351.0,"['“It is code for doing less,” said John Holahan, a health policy researcher and fellow at the Urban Institute.']",['John Holahan'],Urban Institute
0,344,355.0,"['“We’re all freaked out,” Monica Moody, who works at an Amazon warehouse in North Carolina, said on a call reported by HuffPost on Thursday.']",['Monica Moody'],Amazon Environmental Research Institute
0,399,410.0,"['“We greeted each other from afar, each of us on opposite ends of the table,” Albert said in an interview with the French radio station RTL.']",['Albert'],Heartland Forward
0,425,436.0,"['“After they told us, the building was just running as it has been,” said Terrell Worm, an Amazon worker in Staten Island and member of Make the Road New York, an activist group.']",['Terrell Worm'],Amazon Environmental Research Institute
0,426,437.0,"['I’m scared for my own safety and the safety of my own community,” said Monica Moody, who works at an Amazon warehouse in Concord, North Carolina, near Charlotte, speaking on another call with workers and activists on Tuesday.']",['Monica Moody'],Amazon Environmental Research Institute
0,427,438.0,"['Monica Moody, Amazon warehouse worker\n\n\nWorkers are still gathering in groups of 10 or more, she said.']",['Monica Moody'],Amazon Environmental Research Institute
0,429,440.0,"['“You’re either getting a lot of money or you’re sitting at home worried about the bills,” said Jana Jumpp, a United for Respect member who works in a Jeffersonville, Indiana, Amazon fulfillment center and spoke on the call Wednesday.']",['Jana Jumpp'],Amazon Environmental Research Institute
0,430,441.0,"['Jumpp is 58 years old and has loved working at Amazon until recently, she said.']",['Jumpp'],Amazon Environmental Research Institute
0,432,443.0,"['“Amazon’s paid sick leave is a joke,” said Jumpp.']",['Jumpp'],Amazon Environmental Research Institute
0,465,481.0,"['“This would have been an ideal circumstance for somebody to walk in to a VITA site,” said Howard Gleckman, a senior fellow with the Urban-Brookings Tax Policy Center.']",['Howard Gleckman'],Civita
0,490,507.0,"['No matter how careful you are when dressing and how much the vehicle is sterilized after each service, it is always a difficult situation.”\n\n\nRocca said that at least four Red Cross volunteers were in intensive care in Lombardy, and several dozen were quarantined.']",['Rocca'],Red Cross / Red Crescent Climate Centre
0,493,510.0,"['“We are seeing a significant increase in demand, which means our labor needs are unprecedented for this time of year,” Dave Clark, Amazon’s senior vice president of operations, said in a recent memo, The Wall Street Journal reported.']",['Dave Clark'],Amazon Environmental Research Institute
0,564,583.0,"['“He wants to blame everybody but himself,” said Norman Ornstein, a scholar with the conservative-leaning American Enterprise Institute.']",['Norman Ornstein'],American Enterprise Institute 
0,576,597.0,"['“If you think you might be eligible for benefits, by all means claim,” said Stephen Woodbury, the senior economist for the W.E.']",['Stephen Woodbury'],New Economics Foundation
0,594,616.0,"['This can contribute to diseases that are chronic in nature, things as cardiovascular disease and diabetes.” \n\nNate Favini, medical lead at Forward, added that it would be misleading to say that we fully understand the relationship between sugar and our immune system.']",['Nate Favini'],Heartland Forward
0,610,634.0,"['“As a global network airline, we find ourselves in a situation where we cannot viably operate passenger services until countries reopen their borders and travel confidence returns,” Emirates Chairman Sheikh Ahmed bin Saeed al-Maktoum said in a statement.']",['Ahmed bin Saeed al-Maktoum'],Emirates Center for Strategic Studies and Research
0,618,642.0,"['A few days before that, director Eliza Hittman said Focus was debating whether to postpone the debut, but she was adamant that going digital wasn’t an option.']",['Eliza Hittman'],Climate Focus
0,644,670.0,"['“People across the country are being urged to stay at home and limit social interactions as much as possible,” said Megan Donovan, senior policy manager at the Guttmacher Institute.']",['Megan Donovan'],Guttmacher Institute
0,646,672.0,"['“There’s a reason that attention and resources are being deployed promoting and supporting telehealth as we grapple with COVID-19,” said Donovan, the Guttmacher policy analyst.']",['Donovan'],Guttmacher Institute
0,664,690.0,"['“HUD has been in contact with every Public Housing Agency in the country to ensure the millions of low-income Americans we serve continue to have a roof over their head,” Carson said.']",['Carson'],Hudson Institute
0,684,710.0,"['According to reports she heard of those efforts, states would be given the freedom “to request permission from the secretary to waive their requirements of IDEA,” King said.']",['King'],Our Algeria Built on New Ideas
0,693,719.0,"['Rachel Deutsch, Center for Popular Democracy\n\n\nAn associate who makes $12 an hour working overnight stocking shelves in Virginia said he’s unsure whether he should quit.']",['Rachel Deutsch'],Center for Popular Democracy
0,694,720.0,"['“As per usual the shareholders and customers were put above us.”\n\n\n‘It’s This Fake Thing’\n\n\nWalmart’s new COVID-19 leave policy as written is overly complex and restrictive, said Rachel Deutsch, supervising attorney for worker justice at the Center for Popular Democracy.']",['Rachel Deutsch'],Center for Popular Democracy
0,695,721.0,"['“The carve-outs in this bill show the power of the organized business lobby and lay bare the disingenuous statements of the President, who pledged earlier this week to require the large businesses carved out of the package to provide emergency paid sick and family leave,” Vicki Shabo, a senior fellow at New America, said in a statement Wednesday night condemning the bill.']",['Vicki Shabo'],Center for a New American Security
0,799,838.0,"['For example, some companies might lay off workers in anticipation of a new requirement to give paid sick leave, said Claudia Sahm, director of macroeconomic policy at the Washington Center for Equitable Growth.']",['Claudia Sahm'],Washington Center for Equitable Growth
0,806,845.0,"['And he told both the Times and Yahoo News that he still finds time to run:\xa0\n\n\n\n\n\n\nIn a video posted in 2016 by the National Institute On Aging,\xa0Fauci said that he runs an hour about five or six times a week to help keep his weight down and because it makes him feel good.']",['Fauci'],The Times Think Tank
0,815,854.0,"['“I feel like this coronavirus has really shown the heightened risk for gig workers and the gaps in our social safety net,” said Laura Padin, a staff attorney at the National Employment Law Project, a worker advocacy group.']",['Laura Padin'],National Employment Law Project
0,833,873.0,"['The union is saying a national school shutdown is “inevitable.”\n\n\n“Closing schools is an agonizing decision, but, with caveats,\xa0it’s the inevitable and correct one in the midst of this unprecedented national emergency,” said a statement from AFT President Randi Weingarten.']",['Randi Weingarten'],Stiftung Marktwirtschaft
0,887,932.0,"['Heidi Shierholz, a senior economist at the Economic Policy Institute and former chief economist at the U.S. Labor Department, said the telework data shows how many occupations still haven’t been integrated.']",['Heidi Shierholz'],Economic Policy Institute
0,891,937.0,"['Community college students like Hill are the ones Christine Wolff-Eisenberg, manager of surveys and research at the nonprofit research organization Ithaka S+R, says she’s particularly worried about.']",['Christine Wolff-Eisenberg'],The Beacon Hill Institute
0,903,950.0,"['Fauci, director of the National Institute of Allergy and Infectious Diseases, told the House Oversight and Reform Committee on Thursday that the shortage of testing is “a failing.”\n\n\nThe “system is not really geared to what we need right now,” he said.']",['Fauci'],Reform
0,916,967.0,"['Fewer visitors and less business means that those impacted will in turn spend less, further propelling the economic downturn caused by the cancellation of massive events like SXSW, said Dean Baker, an economist with the progressive Center for Economic and Policy Research.']",['Dean Baker'],Center for Economic and Policy Research
0,937,989.0,"['The potential problem with including permanent paid sick leave in the package is that it could hinder the bill’s passage and “gum up the works,” said Claudia Sahm, director of macroeconomic policy at the Washington Center for Equitable Growth.']",['Claudia Sahm'],Washington Center for Equitable Growth
0,938,990.0,"['“This is an extremely substantial step toward addressing the very real and immediate needs of this emergency and setting up a system for paid sick days for the future so people won’t face this risk again,” said Vicki Shabo, a senior fellow at The New America Foundation and paid leave expert.']",['Vicki Shabo'],New America Foundation
0,948,1002.0,"['“This is the weirdest thing I’ve ever done, that’s for sure,” Palin said after her unmasking, according to People magazine.']",['Palin'],Amazon Institute of People and the Enviroment
0,976,1030.0,"['Sick leave could be tied to some kind of tax incentive for businesses to make it more palatable to Republicans, said Josh Bivens, an economist at the progressive Economic Policy Institute.']",['Josh Bivens'],Economic Policy Institute
0,977,1031.0,"['“I’d say we’re in a moment positioned for change except for the political landscape is so messed up,” said Vicki Shabo, an expert in paid leave policy and a senior fellow at New America.']",['Vicki Shabo'],Center for a New American Security
0,1029,1090.0,"['On top of this, cruises are “about the most energy- and emissions-intense form of tourism,” said Eke Eijgelaar, a researcher at the Centre for Sustainability, Tourism and Transport at Breda University in the Netherlands.']",['Eke Eijgelaar'],The Centre
0,1030,1091.0,"['“Scrubbers are problematic ― several courts and jurisdictions have banned the use of scrubbers or the discharge that scrubber waste has generated,” said Marcie Keever, the oceans and vessels program director for Friends of the Earth.']",['Marcie Keever'],Friends of the Earth International
0,1046,1107.0,"['“What you want to do in a recession or when people have immediate financial distress is you want to give them the money right away,” said Claudia Sahm,\xa0director of macroeconomic policy at the Washington Center for Equitable Growth and a former section chief at the Federal Reserve who has researched the effectiveness of direct payments during recessions.']",['Claudia Sahm'],Washington Center for Equitable Growth
0,1047,1108.0,"['“I’ve been making the argument as much as I can,” said Jay Shambaugh, director of the Hamilton Project and a senior fellow in economic studies at the Brookings Institution.']",['Jay Shambaugh'],Brookings Institution
0,1057,1118.0,"['In a statement, Flybe Chief Executive Mark Anderson said the company had been “unable to overcome significant funding challenges.”\n\n\n“The UK has lost one of its greatest regional assets,” Anderson said.']",['Mark Anderson'],Anderson Center for Economic Research
0,1069,1130.0,"['In the way that OSHA responded to the AIDS epidemic with its bloodborne pathogens regulation, Michaels said the agency could do the same now with an infectious disease standard.']",['Michaels'],Vitosha Research
0,1112,1173.0,"['“Right now, parents don’t have solutions for emergency child care problems,” said Julie Kashen, the director for women’s economic justice at The Century Foundation.']",['Julie Kashen'],Century Foundation
0,1113,1174.0,"['Access to paid sick leave is particularly low among Latinx workers, said Vicki Shabo, a senior fellow at New America and an expert on workplace equity.']",['Vicki Shabo'],Center for a New American Security
0,1117,1178.0,"['Kashen, of the Century Foundation, said she hasn’t heard many parents talking about their plans for child care should schools close.']",['Kashen'],Century Foundation
0,1149,1211.0,"['“You could not design a better way of creating pandemics,” said Joe Walston, head of global conservation at the nonprofit Wildlife Conservation Society.']",['Joe Walston'],Wildlife Conservation Society - Bolivia
0,1151,1213.0,"['He said that while people have long viewed species loss as a tragic but inevitable part of development, it is now clear that it is a driver of emerging pandemics, which Walston called “one of the great health and economic challenges of our world today.”\n\n\nResearchers at Auburn University hypothesized in a study last year that the emergence of infectious diseases in humans is linked to habitat loss.']",['Walston'],Auburn University Government and Economic Development Institute
0,1152,1214.0,"['A look at the latest developments:\n\n\nTREATMENT OF WHISTLEBLOWER DOCTOR INVESTIGATED\n\n\nFollowing an online uproar over the government’s treatment of Dr. Li Wenliang, the ruling Communist Party said it was sending an investigation team to “fully investigate relevant issues raised by the public” regarding the case.']",['Li Wenliang'],Party School of the Communist Party of China Inner Mongolia Autonomous Region
0,1162,1224.0,"['WHO Secretary-General Tedros Adhanom Ghebreyesus said that despite the emergency declaration, there is “no reason for measures that unnecessarily interfere with international travel and trade.”\n\n\nMeanwhile, the ruling Communist Party postponed the end of the Lunar New Year holiday in Hubei province, where Wuhan is located, for an unspecified “appropriate extent” and appealed to people there to stay home.']",['Tedros Adhanom Ghebreyesus'],Party School of the Communist Party of China Inner Mongolia Autonomous Region
0,1201,1273.0,"['“It was actually a pleasant surprise to see [the FTC] try to educate the marketplace through warning letters, and it was very effective,” Thompson said.']",['Thompson'],RECOFTC
