,0,1,2,3,4
0,50,50,"['That’s a heavy ask,” said Dr. Adam Schlifke, a Stanford University professor and anesthesiologist who is part of an effort to convert outpatient clinics into facilities for infected patients.']",['Adam Schlifke'],Stanford University
0,72,73,"['“The ability to carry out a prophylaxis trial will tell us whether plasma is effective in protecting our health care workers and first responders from COVID-19,” said Arturo Casadevall, a Johns Hopkins infectious disease expert, in a statement.']",['Arturo Casadevall'],Johns Hopkins University
0,82,83,"['“That’s a fantastic donation.”\n\nThe Boston Red Sox-loving mayor said, “If someone wants to show up with hundreds of thousands of masks, of course we’re going to accept them with great gratitude.”\n\nDe Blasio also thanked Facebook for donating 25,000 face masks, Ford for donating 50,000 face shields, American Express for sending over 36,000 N95 masks, Louis Vuitton for donating 25,000 masks, Qatar for donating 65,000 surgical masks and Shanghai for giving 20,000 masks.']",['De Blasio'],University of Oxford
0,105,106,"['Meanwhile, plasma infusion can be “a stopgap measure that we can put into place quickly,” said Washington University’s Dr. Jeffrey Henderson, who is working with a team of researchers to study the treatment.']",['Jeffrey Henderson'],University of Washington
0,118,119,"['Birx said Tuesday that the White House modeling was “based on using very much what’s happened in Italy” and is informed by “five or six international and domestic modelers from Harvard, from Columbia, from Northeastern, from Imperial who helped us tremendously.”\n\nBut experts told the Washington Post they don’t know how White House officials arrived at their numbers, which fall between a dire projection of 1.1 million to 2.2 million deaths by UK researchers, depending on social distancing steps, and the 38,000 to 162,000 by the Institute for Health Metrics and Evaluation at the University of Washington.']",['Birx'],University of Washington
0,180,183,"['But for now, business owners who wait or have problems filing their applications might lose out to larger applicants, said Veronique de Rugy, a research fellow at George Mason University.']",['Veronique de Rugy'],George Mason University
0,183,186,['Secretary of State Mike Pompeo said late last month that Iran had rejected offers of US aid to combat the pandemic.'],['Mike Pompeo'],Pennsylvania State University
0,188,191,"['“It’s a small community so you know everyone by name,” said the assistant manager of the local IGA grocery store, who only identified himself as Greg.']",['Greg'],University of Michigan
0,194,197,"['Navarro said the mission was an example of private companies heeding the call during the pandemic which has so far infected more than 216,000 people in the U.S. and killed over 5,100, according to Johns Hopkins University.']",['Navarro'],Johns Hopkins University
0,197,200,"['In a statement to The Post this week, FEMA spokesman Daniel Llargues said, “FEMA is aware of many states’ planning efforts to account for mortuary contingencies and has increased its posture to support these requests once received from the states.”\n\nHe continued: “Prudent planning for these future conditions is taken very seriously by FEMA, and we are working with Regional and State health and emergency managers to ramp up available assets to meet contingency needs for the most affected areas.”\n\nNationally, more than 210,000 people have been infected by COVID-19 in the largest publicly acknowledged outbreak in the world.']",['Daniel Llargues'],Pennsylvania State University
0,200,203,"['A witness reported that Lewis had been trying to break into cars before a cop stopped him, Metropolitan police said.']",['Lewis'],Tokyo Metropolitan University
0,230,233,"['Although the US is now considered the epicenter of the pandemic — with more than 200,000 cases — “in a month’s time, the epicenter will shift,” Teo Yik Ying, dean of the Saw Swee Hock School of Public Health at the National University of Singapore, said on CNBC’s “Street Signs” program.']",['Teo Yik Ying'],National University of Singapore
0,235,238,"['President Trump has touted hydroxychloroquine as a possible drug to be used to prevent the coronavirus – and also said chloroquine, another antimalarial and autoimmune disease drug, “could be a game changer.”\n\nThe latest study – which was conducted at the Renmin Hospital of Wuhan University in the city where the virus originated — included 62 patients with an average age of about 45 and had a control group, according to the newspaper.']",['Trump'],Wuhan University
0,259,262,"['The chances of anything surviving or coming out of it are small,” said Alison Stout, an expert in infectious diseases and public health at Cornell University.']",['Alison Stout'],Cornell University
0,291,294,"['“The Ford and GE Healthcare teams, working creatively and tirelessly, have found a way to produce this vitally needed ventilator quickly and in meaningful numbers,” Ford president and CEO Jim Hackett said in a Monday statement.']",['Jim Hackett'],University of Oxford
0,292,295,"['“Just as Ford in the last century moved its manufacturing might seamlessly from auto to tank production during World War II, the Ford team is working with GE Healthcare to use its awesome engineering and manufacturing capabilities to voluntarily help this nation solve one of its most pressing problems,” Navarro said in a statement.']",['Navarro'],University of Oxford
