,0,1,2,3,4
0,3,3.0,"['When you have intentional, cold-blooded premeditated action like you have with China, this would be considered first-degree murder.”\n\nEllis said the options under consideration include filing a complaint with the European Court of Human Rights or working “through the United Nations.”\n\nExecutives from 3M and Honeywell told US officials that the Chinese government in January began blocking exports of N95 respirators, booties, gloves and other supplies produced by their factories in China, according to a senior White House official.']",['Ellis'],White House
0,9,9.0,['President Trump said he was meeting with the White House coronavirus task force Sunday and warned Americans that “a rough two weeks are coming up!”\n\n“I will be having a White House CoronaVirus Task Force meeting in a short while.'],['Trump'],White House
0,11,11.0,"['US Defense Secretary Mark Esper on Sunday defended the removal of a Navy captain who blew the whistle about a coronavirus outbreak aboard his aircraft carrier, saying that’s “how we hold leaders accountable.']",['Mark Esper'],Navy
0,12,12.0,"['Dr. Anthony Fauci, an infectious disease expert on the White House coronavirus task force, said Sunday it is likely that the virus will become a seasonal illness.']",['Anthony Fauci'],White House
0,13,13.0,"['“It’s tragically fitting that we’re talking at the beginning of Holy Week because this is going to be the hardest and the saddest week of most Americans’ lives,” Adams said on “Fox News Sunday.”\n\nThe US trails behind Italy and Spain — both of which grappled with earlier outbreaks — for the highest number of cumulative deaths, according to the tally.']",['Adams'],Administration for Native Americans
0,22,22.0,"['After The Post contacted the hospital, Cohen said he heard from a hospital official late Saturday afternoon that it would allow the procedure to go forward.']",['Cohen'],Military Postal Service Agency
0,39,39.0,['This is the captain of a massive ship … he shouldn’t be talking that way in a letter.”\n\nThe president also chided Crozier for allowing the ship to stop in Vietnam as the outbreak was growing worldwide and said he agreed “100%” with the Navy’s decision to oust him.'],['Crozier'],Navy
0,40,40.0,"['“We are determining how best to collect this information in one place,” said DOE spokeswoman Miranda Barbot.']",['Miranda Barbot'],Energy Department (DOE)
0,45,45.0,"['“What we are seeing in some countries is that there are individuals in their 30s, who are in their 40s and 50s who are in the ICU and who have died,” said Maria Van Kerkhove, head of WHO’s emerging diseases.']",['Maria Van Kerkhove'],Agriculture Library
0,48,48.0,"['“It is outrageous that we even have to be in Court to ensure our employer protects the lives of our members,” COBA President Elias Husamudeen said.']",['Elias Husamudeen'],Administrative Office of the U.S. Courts
0,55,55.0,"['The masks from the White House were sent directly to our public hospital system,” Feyer said.']",['Feyer'],White House
0,63,64.0,"['“This is an ever-changing situation and we intend to honor our contracts and continue to support the bus workforce while exploring ways to utilize these vehicles to serve the city during a crisis,” DOE spokeswoman Danielle Filson said in an email.']",['Danielle Filson'],Energy Department (DOE)
0,71,72.0,['White House coronavirus task force member Dr. Anthony Fauci said on Friday that all of\xa0China‘s wet markets should be shut down immediately in light of the pandemic ravaging much of the world.'],['Anthony Fauci'],White House
0,83,84.0,"['“Today I can so proudly announce that hospitals and health care providers treating uninsured coronavirus patients will be reimbursed by the federal government using the economic relief package Congress passed last month,” Trump said at the White House coronavirus briefing.']",['Trump'],Congress—U.S. House of Representatives
0,84,85.0,"['Health and Human Services Secretary Alex Azar said providers would forbidden from charging uninsured patients for treatment for COVID-19, with the federal government reimbursing them.']",['Alex Azar'],"Civil Rights, Department of Health and Human Services Office for"
0,94,95.0,['Shea said on Monday the department was working to “boost up that capacity.”\n\nA high-ranking source told the Post earlier this week the NYPD was working on three or four sites to be up running by the end of the week.'],['Shea'],Military Postal Service Agency
0,95,96.0,"['The fired aircraft carrier commander who raised alarm about a coronavirus outbreak placed his 5,000-man crew “at risk” of attack, acting Navy Secretary Thomas Modly said Friday.']",['Thomas Modly'],Navy
0,103,104.0,['Joe Biden has again declared that he does not back Medicare for all — and said that it would not have made a difference in dealing with the escalating coronavirus pandemic.'],['Joe Biden'],Centers for Medicare and Medicaid Services (CMS)
0,113,114.0,"['“President Trump conveyed that the United States stands with the French people and expressed condolences for those who have lost their lives in France as a result of the pandemic,” the White House said in a statement.']",['Trump'],White House
0,115,116.0,"['The National Guard will pick up the ventilators and other equipment and redeploy them, Cuomo said.']",['Cuomo'],National Guard
0,116,117.0,"['Brett Crozier — the ship captain who was reassigned because the Navy said he broke protocol by alerting the higher-ups about a coronavirus outbreak on his boat — received a prideful, raucous farewell Friday morning, footage of his exit posted on social media shows.']",['Brett Crozier'],Navy
0,130,131.0,"['“I’ve talked to our colleagues in the Navy, I don’t have a question in my mind that number’s going to change very rapidly,” de Blasio said on MSNBC’s “Morning Joe.”\n\n“I’m sure that ship will be very full soon.']",['de Blasio'],Navy
0,147,149.0,"['Another US Navy hospital ship, the USNS Mercy, docked in Los Angeles, had a total of 15 patients, that vessel’s captain, John Rotruck, said on the call.']",['John Rotruck'],Navy
0,148,150.0,"['Abrams, whose job site at Manhattan’s Pier 55 was shut down last week, said he has placed around 600 calls to the DOL to finish his application since filling out an online form on Monday.']",['Abrams'],Department of Labor (DOL)
0,152,154.0,"['Navarro said that an order, expected to be issued Friday,\xa0will enable the US Customs and Border Protection to enforce the crack down.']",['Navarro'],Customs and Border Protection
0,160,162.0,"['Influencer Ali Maffucci, who defied public health guidelines and came under fire for quitting New Jersey to drive to Florida amid a pandemic, is vehemently defending herself, saying her move “may save lives.”\n\nThe 33-year-old, who runs the cooking blog “Inspiralized,” was lambasted on Instagram and Twitter by followers outraged over her decision to uproot her family in spite of rules laid out by the Centers for Disease Control and Prevention.']",['Ali Maffucci'],Centers for Disease Control and Prevention (CDC)
0,162,165.0,"['The National Park Service said it closed the tourist hotspot until further notice after receiving a letter from officials in Coconino County, Ariz.\n\n“As soon as we received the letter from the Health and Human Services Director and Chief Health Officer for Coconino County recommending the closure of Grand Canyon National Park, we closed the park,” Interior Secretary David Bernhardt said in a statement.']",['David Bernhardt'],"Civil Rights, Department of Health and Human Services Office for"
0,171,174.0,"['President Trump was re-tested for the coronavirus on Thursday and the results indicate he is not infected, the White House says.']",['Trump'],White House
0,175,178.0,"['On Wednesday, State Department spokeswoman Morgan Ortagus said, “Both countries have provided humanitarian assistance to each other in times of crisis in the past and will no doubt do so again in the future.']",['Morgan Ortagus'],State Department (DOS)
0,191,194.0,['Kemp said they had also been relying on the Centers for Disease and Control and Prevention — clearly missing the agency’s warnings since early February that it was spread by people without symptoms.'],['Kemp'],Centers for Disease Control and Prevention (CDC)
0,196,199.0,"['The military’s Defense Logistics Agency “is currently responding to FEMA’s prudent planning efforts for 100,000 pouches to address mortuary contingencies on behalf of state health agencies,” Pentagon spokesman Lt. Col. Mike Andrews said in a statement to Bloomberg News.']",['Mike Andrews'],Defense Logistics Agency (DLA)
0,202,205.0,"['Senate Majority Leader Mitch McConnell says he won’t quickly pass a “phase four” coronavirus bill, citing his concern about the cost of another massive spending package.']",['Mitch McConnell'],Senate
0,203,206.0,"['A spokesperson said changes would be “tailored to focus on middle-class earners and include limitations on the higher end.”\n\nSenate Minority Leader Chuck Schumer (D-NY), a key player in all coronavirus bill negotiations, said Wednesday that he wanted “green” infrastructure.']",['Chuck Schumer'],Senate
0,208,211.0,"['After the deal collapsed, Russia and Saudi Arabia both said they were ready to raise production, but Russian Energy Minister Alexander Novak also told Reuters on Thursday it had no plans to crank up its crude output.']",['Alexander Novak'],Bureau of Ocean Energy Management
0,215,218.0,"['I’m rubbing alcohol over everything,” Anna says of trying to adhere to the Centers for Disease Control and Prevention’s safety standards.']",['Anna'],Centers for Disease Control and Prevention (CDC)
0,216,219.0,"['“They’re coming up and they’re occupying hotel rooms, Airbnbs, that type of thing,” said McLaughlin, adding that his county had 51 cases of COVID-19 as of Tuesday — “seven at least that are direct from New York City.”\n\nLast week, he appealed to Gov.']",['McLaughlin'],USAGov
0,218,221.0,"['REUTERS/Lim Huey Teng\n\n\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\t\t\t\t\t\n\n\t\t\t\t\t\t\t\n\n\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\n\t\t\t\t\n\t\t\t\t\n\t\t\t\t\t\n\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\n\t\t\t\t\t\t\tA police officer in Kuala Lumpur, Malaysia\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\nEPA/FAZRY ISMAIL\n\n\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\t\t\t\t\t\n\n\t\t\t\t\t\t\t\n\n\t\t\t\t\t\n\t\t\n\t\t\n\t\t\n\n\t\t\n\n\t\t\n\n\t\t\n\t\t\n\t\t\n\n\t\n\n\t\n\n\t\n\t\n\t\n\n\n\n\n\n\t\n\n\n“We apologize if some of the tips we shared were inappropriate and touched on the sensitivities of some parties,” the ministry’s women development department said in a statement.']",['Lim Huey Teng'],Commerce Department (DOC)
0,220,223.0,['Treasury Secretary Steven Mnuchin said Social Security recipients won’t have to file a tax return to receive a coronavirus stimulus check.'],['Steven Mnuchin'],Department of the Treasury
0,221,224.0,"['“Social Security recipients who are not typically required to file a tax return do not need to take an action, and will receive their payment directly to their bank account,” Mnuchin said in a statement released Wednesday.']",['Mnuchin'],Social Security Administration (SSA)
