,0,1,2,3,4
0,25,25.0,"['Gavin Newsom painted a different picture in his Saturday briefing, saying he does not anticipate the NFL opening on time with fans in the stands in his state.']",['Gavin Newsom'],Dragonfly
0,52,52.0,"['“The Union will vigorously defend our dedicated members if they are disciplined for using N95 masks to protect themselves.”\n\nVincent Variale, who represents uniformed EMS officers, saying the FDNY was following inadequate guidelines from the Centers for Disease Control about mask use — to the peril of first responders.']",['Vincent Variale'],The Union of Albanian Roma 
0,62,62.0,"['“While many of our customers have been following the advice of the medical community regarding social distancing and safety, we have been concerned to still see some behaviors in our stores that put undue risk on our people,” Dacona Smith, Walmart’s executive vice president and COO, said in a statement Friday.']",['Dacona Smith'],Women's Coordinator
0,77,78.0,"['“We are definitely worried,” Dr. Hans Kluge, the agency’s regional director for Europe, said on the Times’ daily podcast.']",['Hans Kluge'],The Times Think Tank
0,108,109.0,"['Reuters\nWang Zhonglin, Wuhan’s Communist Party chief, said the risk of a rebound in the city’s coronavirus epidemic remained high due to both internal and external risks and that it must continue to maintain prevention and control measures.']",['Wang Zhonglin'],Party School of the Communist Party of China Inner Mongolia Autonomous Region
0,109,110.0,"['Outfoxed!Amazon\n“A pie has gone missing, and you’re trying to solve the mystery of who stole the pie,” says Engelstein, whose friends’ kids are big fans.']",['Engelstein'],Amazon Environmental Research Institute
0,133,134.0,"['“I remember laying there thinking, ‘What do you mean, if this doesn’t work?’ He says, ‘We don’t know what direction this is going to go.’\n\n“I don’t know if I ever was like I thought I was going to die, but I remember having the conversation with myself: I don’t want to die here.”\n\nA Pro Bowler in five of his seven NFL seasons and a four-time finalist for the Pro Football Hall of Fame, the 47-year-old Boselli experienced flu symptoms as early as March 16.']",['Boselli'],Dragonfly
0,135,136.0,"['Dr. Allen Sills said though the NFL wants to start the season as scheduled, it will wait for medical experts to first determine if the coronavirus pandemic has been slowed enough that it’s safe for players and fans alike.']",['Allen Sills'],Dragonfly
0,146,147.0,['Amazon said Smalls was canned for violating social distancing guidelines and a company-imposed 14-day quarantine after he came into contact with an employee who tested positive for the virus.'],['Smalls'],Amazon Environmental Research Institute
0,149,151.0,"['“He’s not smart, or articulate,” Amazon general counsel David Zapolsky said in notes from an internal meeting of Amazon leadership obtained by the outlet.']",['David Zapolsky'],Amazon Environmental Research Institute
0,150,152.0,"['In a statement to VICE News, Zapolsky said his “comments were personal and emotional.”\n\n“I was frustrated and upset that an Amazon employee would endanger the health and safety of other Amazonians by repeatedly returning to the premises after having been warned to quarantine himself after exposure to virus Covid-19,” he said.']",['Zapolsky'],Amazon Environmental Research Institute
0,212,215.0,"['“The fact that you’re willing to leave your hometown, leave your family, and come here in our hour of need I cannot thank you enough,” de Blasio said at the park, which was once home to a Union fort during the Civil War.']",['de Blasio'],The Union of Albanian Roma 
0,223,226.0,"['Former NFL kicker Tom Dempsey is in hospice care after being diagnosed with coronavirus, relatives said.']",['Tom Dempsey'],Dragonfly
0,283,286.0,"['“From April 1, we will publish reports, outcomes and management of asymptomatic people in daily epidemic notifications, and respond to social concerns in a timely manner,” Jile said at a news conference in Wuhan, the website reported, citing state-run China Central Television.']",['Jile'],Vision
0,300,303.0,"['“That’s my expectation,” NFL executive vice president and general counsel Jeff Pash said Tuesday on a conference call.']",['Jeff Pash'],Dragonfly
0,301,304.0,"['But I’m planning on it, and in the same way, I’m planning on having a full season.”\n\nAccording to Pash, the NFL remains focused on playing the season in full, as scheduled, and “in front of fans in our regular stadiums.” Much of that plan, of course, will depend on public-health recommendations related to COVID-19, he said, and the potential extension of the limiting of large gatherings to stem the spread of the virus.']",['Pash'],Dragonfly
0,327,330.0,"['Kristen Kisha, an Amazon spokeswoman, said “Mr.']",['Kristen Kisha'],Amazon Environmental Research Institute
0,337,340.0,"['It is a pretty good analogy,” said EMT Phil Suarez, also a humanitarian aid worker who has provided trauma care in Mosul in northern Iraq for the US’ war against ISIS.']",['Phil Suarez'],International Crisis Group
0,354,357.0,"['The group of DAs said in the letter that they were “assured” inmates to be released would not include those serving time for domestic violence or sex offenses, but that they “later learned that such individuals were indeed included in the ranks of those to be released.”\n\nAdditional reporting by Julia Marsh']",['Julia Marsh'],Think Tank ADASTRA
0,366,369.0,"['Meanwhile, an indoor training area at the USTA Billie Jean King National Tennis Center has been converted into a 350-bed medical facility, USTA spokesman Chris Widmaier said Monday.']",['Chris Widmaier'],Sustainable Chile
0,390,393.0,"['“Parents are loading up on building, craft and activity toys.”\n\nSales of Lite-Brite toys were up 800 percent on Amazon last week, Foreman said.']",['Foreman'],Amazon Environmental Research Institute
0,397,400.0,"['“When I pitched this to the [NFL] Players Association, I told them this is an opportunity for us to be a resource and a support system to our guys during this time,’’ Copeland said.']",['Copeland'],Dragonfly
0,404,407.0,"['“At a time when so many New Yorkers are struggling and are deeply concerned about their safety, this action was also immoral and inhumane.”\n\nSmalls, a dad of three who said he’d worked at Amazon five years, waved off the stated reason for his termination — claiming he was allowed to come into work for days after the company knew he’d been in contact with the worker who tested positive.']",['Smalls'],Amazon Environmental Research Institute
0,436,439.0,"['“When we see emergency measures passed, particularly today, they tend to be sticky,” Snowden said in an interview with the Copenhagen International Documentary Film Festival, CNET reported.']",['Snowden'],ArcticNet
0,447,450.0,"['Secondly, the Family and Medical Leave Act (FMLA) and the Americans with Disabilities (ADA) would protect sick workers from being fired, said attorney Peter Romer-Friedman, who represents workers.']",['Peter Romer-Friedman'],CADAL
0,465,468.0,"['King Maha Vajiralongkorn, 67, reportedly booked the entire Grand Hotel Sonnenbichl with “special permission” to break the lockdown in the Alpine resort town of Garmisch-Partenkirchen, the Independent said, quoting German media.']",['Maha Vajiralongkorn'],Centre for Independent Studies
0,526,529.0,"['Clarke, 21, said she’s spent hours calling the Labor Department in the roughly two weeks since the closure of the Macy’s and Century 21 department stores where she worked.']",['Clarke'],The Institute for 21st Century Questions
0,529,532.0,"['Plousis said the New Jersey Division of Gaming Enforcement, the agency responsible for investigating the Eldorado/Caesars merger, has not yet made a recommendation to his commission, which would then decide whether to approve the deal.']",['Plousis'],Vision
0,533,536.0,"['Rao’s/Sovos Foods in Montclair has donated 360 jars of pasta sauce, 360 packages of pasta and 390 cans of soup to Toni’s, Jackson said.']",['Toni'],Henry Jackson Society
0,576,579.0,['“He’s truly the only quarterback I ever evaluated who is going to throw into bigger windows in the NFL than he did in college.” Nagy said.'],['Nagy'],Dragonfly
0,589,592.0,"['Two weeks ago, “it was like escape from New York — people were fleeing the city,” said Matthew Breitenbach, a broker with Compass in the Hamptons on Long Island.']",['Matthew Breitenbach'],Compass
0,621,624.0,"['“It was heart failure,” Moran said, adding, “People don’t want to let you heal … I’m so upset.”\n\n\nHe admitted his son had “not been ill” in the days leading up to his death before he became unresponsive and was taken to a hospital, where he died Sunday, the Advocate said.']",['Moran'],Advocates Coalition for Development and Environment
0,650,653.0,"['The problem is they can’t see the enemy,” said Rep. Peter King (R-LI).']",['Peter King'],Centre for Liberal Strategies
0,713,716.0,"['Overton, in the letter, said the company hopes to resume rent payments “as soon as reasonably possible.”\n\nA company spokesperson told Eater, “We have very strong, longstanding relationships with our landlords.']",['Overton'],Greater Mekong Research Center
0,762,766.0,"['The Vargas’ roster of rentals — more than 30 properties — are sought after by families “asking about internet service and Wi-Fi and trying to keep connected but get out of the New York City area,” says Vanessa.']",['Vanessa'],Getulio Vargas Foundation
0,821,825.0,"['“Trade, tourism, catering and other services not only help to prop up an economy’s growth, but also embody a city’s vitality,” financial magazine Yicai reported Zhang Jinghua, party secretary of Nanjing, as saying in early March, days before the eastern Chinese city announced it would give away 318 million yuan worth of shopping coupons in a lottery-style scheme.']",['Zhang Jinghua'],YICAI Research Institute
0,834,838.0,"['“We are supporting the individuals, following guidelines from local officials, and are taking extreme measures to ensure the safety of all the employees at our sites,” Amazon spokeswoman Lisa Levandowski said in an emailed statement.']",['Lisa Levandowski'],Amazon Environmental Research Institute
0,835,839.0,['Levandowski declined to say if workers at any other Amazon facility have tested positive for COVID-19.'],['Levandowski'],Amazon Environmental Research Institute
0,836,840.0,"['Despite the spread of the coronavirus in Amazon’s U.S. warehouses, it probably will find workers for the new posts, said Elaine Kwon, founder of e-commerce management and software firm Kwontified and a former Amazon manager.']",['Elaine Kwon'],Amazon Environmental Research Institute
0,890,894.0,"['“Once this whole issue started to explode with regard to the pandemic, we implemented a price decrease to effectively revert back to 2015 pricing across all customers,” said the drug manufacturer’s COO, Ira Baeringer, who later added that they’d implement another 20% decrease.']",['Ira Baeringer'],Women's Coordinator
0,904,908.0,"['Katie HillGetty Images for MAKERS\nWhile Hill copped to the “throuple” relationship, she vehemently denies any affair with her Capitol Hill staffer, saying that the leaks about her personal life were coming from her abusive estranged husband.']",['Katie HillGetty'],The Beacon Hill Institute
0,914,918.0,"['Jeff Bezos saved a small fortune by selling billions of dollars in Amazon shares before the coronavirus pandemic crashed the stock market, a new report said.']",['Jeff Bezos'],Amazon Environmental Research Institute
0,998,1002.0,"['“We don’t take this lightly,” Dr. Laura Forese, the hospital system’s executive vice president and COO, said during the briefing.']",['Laura Forese'],Women's Coordinator
0,1016,1020.0,"['And to be a part of this group and to try to help, like I said get to the top of the mountain is an exciting new challenge for me.”\n\nRivers was selected to eight Pro Bowls in his time with the Chargers since the famous 2004 NFL Draft day trade when the Giants traded him to San Diego in exchange for Eli Manning.']",['Rivers'],Dragonfly
0,1054,1058.0,"['Sources close to him told Page Six on March 2 that he is planning to run as a possible mayoral candidate and “working on building a team,” although a Citi rep said it’s “pure speculation.”\n\nMcGuire has all the right credentials to bring the city together.']",['McGuire'],Citizen Power
