,0,1,2,3,4
0,27,28,"['The organizing on WeChat — which many Chinese-Americans prefer because their friends and relatives in China can use the app — is not unusual, said Mae Ngai, a professor of Asian-American studies and history at Columbia University.']",['Mae Ngai'],Columbia University
0,53,58,"['“We’re going to see a battle between charisma and competence,” said Tim Bale, a professor of politics at Queen Mary University in London.']",['Tim Bale'],Queen Mary University of London
0,55,60,"['“For the next few years,” said Mr. Bale, of Queen Mary University, “he is arguably going to be playing on home turf rather than on the opposition’s turf.”']",['Bale'],Queen Mary University of London
0,56,61,"['We do have evidence that measures we put in place two or three weeks ago may be having an effect,” said Jeffrey Shaman, a professor of environmental health sciences at Columbia University.']",['Jeffrey Shaman'],Columbia University
0,66,72,"['“People want to talk about this virus as an equal-opportunity pathogen, but it’s really not,” said Dr. Ashwin Vasan, a doctor and public health professor at Columbia University.']",['Ashwin Vasan'],Columbia University
0,75,81,"['“The characteristics align with obsessive compulsive tendencies, which get triggered when people feel threatened,” said Nick Haslam, a professor of psychology at the University of Melbourne in Australia and the author of “Psychology in the Bathroom.”\nMany people are low-level paper hoarders even in the best of times — stuffing takeout menus in kitchen drawers and piling months-old magazines on coffee tables.']",['Nick Haslam'],University of Melbourne
0,76,85,"['Dr. Domenico Accili, an endocrinologist at Columbia University, said he thought efforts to use the vaccine against the coronavirus sound “a bit like magical thinking.” \nWhile acknowledging that B.C.G.']",['Domenico Accili'],Columbia University
0,93,116,"['I’ve never been on unemployment in my life,” said Casey Cox, who three weeks ago worked two jobs, one conducting sleep research at the University of Michigan and another as a technician at the St. Joseph Mercy Chelsea Hospital near Ann Arbor, Mich.']",['Casey Cox'],University of Michigan
0,104,130,"['Stefan Flores, an emergency room doctor at NewYork-Presbyterian/Columbia University Medical Center, had an orthopedic resident by his side recently, and said specialist doctors were helping monitor patient vitals and doing bedside rounds.']",['Stefan Flores'],Columbia University
0,106,132,"['If you have money to spare, send some to your child care provider, said Dr. Arthur Caplan, Ph.D., director of the division of medical ethics at the New York University Grossman School of Medicine in New York.']",['Arthur Caplan'],New York University
