,0,1,2,3,4
0,3,3.0,"['There are also political challenges, said Waleed Shahid, a spokesman for Justice Democrats.']",['Waleed Shahid'],Bureau of Justice Statistics
0,10,11.0,"['“These products are a right, not a privilege.”\nIt’s especially important because women might feel ashamed requesting supplies, said Angela Soriano, a volunteer and donation drive manager at the Salvation Army in the D.C. area.']",['Angela Soriano'],Army
0,16,17.0,"['“I thought it was terrible what he did.”\n\n\nSecretary of Defense Mark T. Esper said Sunday on CNN’s “State of the Union” that there were 155 confirmed cases of Covid-19 among sailors aboard the aircraft carrier, and that more than half of the ship had been tested.']",['Mark T. Esper'],Defense Acquisition University
0,17,18.0,"['A Navy spokesman said that Crozier has been reassigned to the headquarters of the Naval Air Forces Pacific command in San Diego, but that he must complete a quarantine period first.']",['Crozier'],Navy
0,19,20.0,"['“There is a specific line in the bill that says that the secretary, meaning me, will determine proper compensation,” Mr. Mnuchin said at a White House briefing last week.']",['Mnuchin'],White House
0,25,26.0,"['“We have to deal with this,” Mr. McLaughlin, the head of the Senate Republican campaign group, said of the pandemic.']",['McLaughlin'],Senate
0,30,32.0,"['“I’m not aware that we are tracking Chinese students in the United States who are seeking assistance inasmuch as we are seeking to repatriate U.S. citizens from overseas,” said Ian Brownlee, principal deputy assistant secretary in the Bureau of Consular Affairs at the State Department.']",['Ian Brownlee'],Bureau of Consular Affairs
0,34,36.0,"['Now that the Centers for Disease Control and Prevention has encouraged Americans to wear masks when they venture outside, more state and local politicians have begun donning the protective gear themselves, standing in contrast to President Trump, who says the masks aren’t his style.']",['Trump'],Centers for Disease Control and Prevention (CDC)
0,42,46.0,"['He said he fears for his patients, a group of Americans who, in isolation or poverty, “quietly pass off our radar.”\n“I worry a lot,” he added, “that if community health centers go away, we won’t as a society hear the struggles of these people.”\nCommunity health centers are expecting a boost from the $2 trillion stimulus package recently passed by Congress and signed by President Trump; they will share $1.3 billion.']",['Trump'],Congress—U.S. House of Representatives
0,43,47.0,"['But while Medicaid now pays for such visits, they can be difficult for low-income patients who often “don’t have the minutes on their phone, don’t have the data plan,” Mr. Wagner said.']",['Wagner'],Centers for Medicare and Medicaid Services (CMS)
0,48,52.0,['Interior Minister Christophe Castaner said security services were trying to establish the nature and circumstances of the stabbings.'],['Christophe Castaner'],Department of the Interior (DOI)
0,49,54.0,"['General Mark A. Milley, the chairman of the Joint Chiefs of Staff, said Friday that the Defense Department was reassessing whether to allow coronavirus patients aboard the ships.']",['Mark A. Milley'],Joint Chiefs of Staff
0,68,74.0,"['WASHINGTON — President Trump said on Friday that the Centers for Disease Control and Prevention was urging all Americans to wear a mask when they leave their homes, but he immediately undercut the message by repeatedly calling the recommendation voluntary and promising that he would not wear one himself.']",['Trump'],Centers for Disease Control and Prevention (CDC)
0,71,77.0,['recommends and the task force recommends wearing cloth face coverings in public settings where other social distancing measures are difficult.”\nBut some White House officials have resisted and Mr. Trump on Friday time and again said it was voluntary.'],['Trump'],White House
0,72,78.0,"['Dr. Deborah L. Birx, the coordinator of the White House coronavirus response, expressed serious reservations on Thursday, saying that asking all Americans to wear masks could inadvertently signal that Americans can abandon social distancing and return to public life as long as they wear a mask.']",['Deborah L. Birx'],White House
