,0,1,2,3,4
0,1,1.0,"['Melissa Knapp, a moderator for the Sew Face Masks for Quincy, IL Healthcare Workers Facebook group, said she has received numerous messages threatening to limit her posts.']",['Melissa Knapp'],Quincy Institute
0,12,13.0,"['“There’s no playbook for how you cover sports when sports are not being played,” said Randal Archibold, the Sports editor for The Times.']",['Randal Archibold'],Sports Think Tank
0,13,14.0,"['Benjamin Hoffman, a senior Sports editor, said that covering the coronavirus hadn’t been as difficult as one might expect because sports coverage prepares reporters and editors to respond immediately to drastic change.']",['Benjamin Hoffman'],Sports Think Tank
0,21,22.0,"['Eric Heller, a former Amazon senior manager who advises major brands at Wunderman Thompson Commerce, said his clients saw canned meat sales rise 700 percent.']",['Eric Heller'],Amazon Environmental Research Institute
0,22,23.0,"['“We’re not going to ship a prom dress or a Ping-Pong table if that’s going to slow down in any way the intake or outflow of essential items.”\nA ‘particularly insufficient’ response\n\n\nWhen Amazon announced unlimited unpaid leave, it also said it would pay two weeks of sick time for “all Amazon employees diagnosed with Covid-19 or placed into quarantine.” On Friday, a day after it received questions from The Times about the situation, Amazon said it had issued a check for Mr. Manrique’s father-in-law, who is ending his second week of quarantine.']",['Manrique'],Amazon Environmental Research Institute
0,52,57.0,"['“The reason why we in Germany have so few deaths at the moment compared to the number of infected can be largely explained by the fact that we are doing an extremely large number of lab diagnoses,” said Dr. Christian Drosten, chief virologist at Charité, whose team developed the first test.']",['Christian Drosten'],Prisma Charity Association
0,54,59.0,"['That, too, could help Mr. Starmer, analysts said, by making Labour look more plausible as a governing party.']",['Starmer'],Labour Market Information System
0,58,63.0,"['“I think a lot of it will remain this way after this crisis,” said Beccy Baird, a senior fellow at the King’s Fund, a health care research charity.']",['Beccy Baird'],The King's Fund
0,101,124.0,"['“In the 10 years I took to write her biography, I observed many Janes,” she wrote in an essay for The Times in 2011.']",['Janes'],The Times Think Tank
0,119,146.0,"['“The speed of the job losses is unlike anything we’ve ever seen,” said Gabriel Mathy, an assistant professor at American University whose specialty is economic history.']",['Gabriel Mathy'],"Center of Gender Development and Studies,  American University of Iraq"
