,Name,Org,Sentence
0,['Rachel Maddow'],['MSNBC'],"['“All of us should stop broadcasting it, honestly,” MSNBC host Rachel Maddow said last month.']"
1,['Verlander'],"['Instagram', 'MLB', 'NBC']","['Verlander and his supermodel wife announced their donation in an Instagram message where the player said he would donate every MLB check until the season returns or the coronavirus threat is over, NBC reported.']"
2,['Inslee'],['CDC'],"['Inslee said, “We’ve had good communications with the vice president, with the CDC.']"
3,['Donald Trump'],['White House'],"['On Wednesday, President Donald Trump said during the White House coronavirus daily briefing that the nation’s Strategic National Stockpile of personal protective equipment (PPE), such as N95 masks, had been nearly depleted when he assumed office.']"
4,['Tyler'],"['SAT', 'ACT']","['“Choosing to begin these new admissions standards this fall is due to the coronavirus canceling the SAT and the ACT this spring,” Tyler said.']"
5,['Edtstadler'],['EU'],"['“It is clear that the mandatory distribution of asylum seekers in the EU has failed,” Ms Edtstadler said on Thursday.']"
6,['Karl Nehammer'],['Interior'],"['On March 1st when Austria’s\xa0Interior Minister Karl Nehammer confirmed that his country would repel any migrants trying to enter their country, he said that he relied on neighbouring Hungary to stop the flow.']"
7,['Anthony Fauci'],"['CBS', '“Face the Nation,” National Institute of Allergy and Infectious Diseases']","['Sunday on CBS’s “Face the Nation,”\xa0National Institute of Allergy and Infectious Diseases director Anthony Fauci said that it would be “false” to say the federal government had the coronavirus pandemic under control.']"
8,['Pritzker'],['the White House'],"['Pritzker said, “We now know that intelligence sources and all the best advice that was given was given in January and early February to the president and the White House, and they seem not to have acted at all upon it.']"
9,['Ulrica Granberg'],"['the Border Police', 'Sveriges Radio']","['Ulrica Granberg, the head of the Border Police in the district of Bergslagen, has sounded the alarm, saying that detention centres are packed with migrants awaiting deportation but many will have to be released, Sveriges Radio reports.']"
10,['Granberg'],"['the Migration Studies Delegation', 'Delmi']","['Sweden will likely be faced with the real possibility many of the freed migrants will go into hiding, a fact Granberg admitted,\xa0saying: “There is probably an imminent risk, yes.”\n\nPrior to the coronavirus outbreak, Sweden still had major issues with facilitating deportations of illegal migrants and failed asylum seekers with a\xa0report from the Migration Studies Delegation (Delmi) in early February stating the government had made deportations a low priority.']"
11,['Mikael Ribbenvik'],['Swedish Migration Board'],"['Swedish Migration Board Director-General\xa0Mikael Ribbenvik went even further, saying the current Swedish asylum rules allow potential terrorists and war criminals to remain in Sweden even if they fail their asylum claims.']"
