,Name,Org,Sentence
2,['Alvin Gwynn Sr.'],['Friendship Baptist Church'],"['Alvin Gwynn Sr. of Friendship Baptist Church in Baltimore, Maryland, said he had a steady stream of people walking through the church, processional style, careful not to have more than eight or nine.']"
3,['Carlos Gimenez'],['YouTube'],"['Miami-Dade County Mayor Carlos Gimenez thanked religious leaders who were holding services online in lieu of regular mass on Palm Sunday, he said in a video briefing on YouTube.']"
4,['Thomas Wenski'],"['The Archdiocese of Miami', 'CNN']","[""The Archdiocese of Miami suspended all Masses and events on March 16 and encouraged parishes to use livestreaming when possible, Archbishop Thomas Wenski said this week on CNN's New Day.""]"
7,['Kirk Gunderson'],['EMS'],"[""The fire department's EMS captain, Kirk Gunderson, created the idea and said he's already received five more requests.""]"
8,['Stephanie McMahon'],['WWE'],"['""Each WrestleMania has its own personality and has been different then the rest,"" Stephanie McMahon , chief brand officer of WWE, said Saturday, to kick off the event.']"
9,['Nadia'],['USDA'],"['Samples from Nadia were taken and tested after several lions and tigers at the zoo showed symptoms of respiratory illness, the USDA said in a release.']"
12,['Steve Smith'],['Henderson County Health'],"['It is a very difficult situation for all involved,” said Steve Smith, Henderson County Health Director.']"
13,['James Harvey'],"['CDC', 'the NC State Health Department']","['""Since early February, Cherry Springs Village has adhered to aggressive infection-control policies,"" said James Harvey, with Cherry Springs Village, ""in compliance with guidelines set by the CDC and the NC State Health Department.']"
14,['Whitmer'],['Twitter'],"['In response, Whitmer said on Twitter ""that governor is me.""']"
16,['Levett'],['the Georgia Department of Public Health'],"['""I received a call from the Georgia Department of Public Health in reference to my test results this afternoon and I was told that I have tested positive for the COVID-19 virus,"" Levett said in a news release Saturday.']"
17,['Lee Thomas'],['RCSO'],"['“One of the deputies has since recovered and is scheduled to return back to work Monday, April 6, while the others are still self-quarantining at home,” said RCSO Public Information Officer Lee Thomas.']"
19,['Donald Trump'],['CDC'],"['""The CDC is advising the use of nonmedical cloth face covering as a voluntary health measure,"" Donald Trump said.']"
20,['Mnuchin'],['White House'],"['Mnuchin said at a White House coronavirus briefing that payments would go out within two weeks to people whose direct deposit details are on file with the government, echoing comments he made after passage of the $2.2 trillion stimulus bill that payments would not go out until mid-April.']"
25,['Becker'],['FDA'],"['Becker says many of these companies are incorrectly claiming that the FDA has reviewed or recommended their test, neither of which is true.']"
26,['Nichole Quick'],['FDA'],"['The health officer for Orange County, California, has warned against using tests that have not been approved by the FDA ""These nonapproved tests can produce false results and lead to unintended negative consequences for the individual and the broader community,"" Dr. Nichole Quick said in a March 26 statement.']"
28,['Alyssa Bronikowski'],['Amazon'],"['""The millions of masks we ordered weeks ago are now arriving, and we\'re distributing them to our teams as quickly as possible,"" Amazon spokesperson Alyssa Bronikowski said in a statement Friday.']"
29,['Avi Kaner'],['Morton Williams'],"['Morton Williams, a grocery chain in New York, is mandating its employees wear masks, said owner Avi Kaner.']"
33,['Adams'],['Covid-19'],"[""When asked about the President's promotion of hydroxychloroquine as a way to treat Covid-19 despite a lack of firm evidence that it's safe to do so, Adams said the drug should be available as a last-resort option for extremely ill patients.""]"
34,['Mark Esper'],"['Defense', 'Pentagon']","['Defense Secretary Mark Esper said Sunday that the Pentagon has deployed ""many"" of the 2,000 ventilators it committed to the national coronavirus fight, after apparent confusion last week over where they should be sent.']"
36,['Jerome Adams'],['Fox News'],"['Vice Admiral Jerome Adams, the US surgeon general, said this is going to be the ""hardest and the saddest week in most Americans\' live,"" describing it on ""Fox News Sunday"" as a ""Pearl Harbor moment"" and a ""9/11 moment.""']"
41,['Deborah Birx'],"['Johns Hopkins University', 'White House']","['Early Sunday, the nationwide death toll had gone up to at least 8,503 people, with at least 312,245 infected, according to data compiled by Johns Hopkins University\n\nThe big test will come in the coming days, said Dr. Deborah Birx, the White House coronavirus response coordinator.']"
42,['Adams'],['Fox News'],"['""I want Americans to understand that as hard as this week is going to be, there is a light at the end of the tunnel,"" Adams said on ""Fox News Sunday.""']"
45,['Joe Biden'],['the Democratic National Convention'],"['Former Vice President Joe Biden said the Democratic National Convention, which has already been pushed back from July to August, may have to go virtual if the coronavirus continues as a public health threat into the summer.']"
46,['George Stephanopoulos'],['ABC'],"['We may not be able to put 10, 20, 30,000 people in one place,"" he said in an interview Sunday morning with George Stephanopoulos on ABC\'s ""This Week.""']"
47,['Jerome Adams'],['Fox News'],"['""I want Americans to understand that as hard as this week is going to be, there is a light at the end of the tunnel,"" Vice Admiral Jerome Adams said on ""Fox News Sunday.""']"
48,['Donald Trump'],['Johns Hopkins University'],"['Early Sunday, the nationwide death toll had gone up to at least 8,503 people, with at least 312,245 infected, according to data compiled by Johns Hopkins University\n\nWhile speaking at Saturday\'s coronavirus task force briefing at the White House, President Donald Trump said that this week and next will probably be the toughest in the fight against coronavirus and that ""there will be a lot of death.""']"
49,['Anthony Fauci'],['CNN'],"['In doing so, they\'ve collectively ignored the stay-at-home pleas of Dr. Anthony Fauci, the nation\'s top infectious disease expert, who said in a CNN interview: ""If you look at what\'s going on in this country, I just don\'t understand why we\'re not doing that.""']"
50,['Adams'],['Covid-19'],"[""Lessons the AIDS epidemic has for coronavirus When asked about the President's promotion of hydroxychloroquine as a way to treat Covid-19 despite a lack of firm evidence that it's safe to do so, Adams said the drug should be available as a last-resort option for extremely ill patients.""]"
51,['Esper'],['Navy'],"['The Navy has a culture of swiftly and decisively removing captains if they lose confidence in them,"" Esper said.']"
52,['Jahan Fahimi'],['UCSF'],"['""If I have to attribute it to one thing, it has to be (San Francisco) Mayor London Breed\'s foresight in calling state of emergency early, getting people to shelter in place early, and really just wonderful messaging of social distancing,"" said Dr. Jahan Fahimi, an emergency room physician at UCSF.']"
53,['Leonard Marcus'],"['the National Preparedness Leadership Initiative', 'the Harvard School of Public Health']","['""Without overarching guidelines from the federal government, this has been a story of each state, each city, and each business doing it their own way,"" said Leonard Marcus, co-director of the National Preparedness Leadership Initiative at the Harvard School of Public Health.']"
54,['Marc Perrone'],['United Food and Commercial Workers'],"['Marc Perrone, president of the United Food and Commercial Workers union representing 1.3 million grocery and food processing workers, said ""the government really should take a position as it relates to people in these essential positions.""']"
55,['Patrick Murray'],['Monmouth'],"['""Governors ... seem to be emerging as the most trusted official voice in this crisis across the board,"" said Patrick Murray, director of the Monmouth poll that found broad approval for governors.']"
56,['Inslee'],['DNC'],"['""The way the DNC rules were set up made it a lot easier for people who already had big email lists to work from,"" a senior Inslee aide said.']"
57,['Helima Croft'],['RBC Capital Markets'],"['And it\'s unclear Washington is willing to pay that price,"" said Helima Croft, global head of commodity strategy at RBC Capital Markets.']"
58,['Wellenstein'],['Covid-19'],"['But for couples who still have the urge, Wellenstein said she would ""absolutely not"" advise anyone to get pregnant now, due to the uncertainty swirling around Covid-19.']"
61,['Donald Trump'],['CNN'],['(CNN) President Donald Trump said Saturday that there could be a shortage of ventilators available to Americans as the coronavirus pandemic spreads across the nation .']
62,['Eric Yuan'],['Zoom'],"['""We believe every business has the social responsibility to contribute back to the community and to society, and it\'s critically important during times of crisis,"" said Zoom founder and CEO Eric Yuan in a recent blog post.']"
63,['Lawrence R.'],['AA'],"['Some AA members greeted the online alternatives with skepticism, said Lawrence R., who hosts a nightly meeting from northern California.']"
64,['Deborah Birx'],['White House'],"['The big test will come in the next few days, said Dr. Deborah Birx, the White House coronavirus response coordinator.']"
65,['José H. Gomez'],['the US Conference of Catholic Bishops'],"['""Future generations will look back on this as the long Lent of 2020, a time when disease and death suddenly darkened the whole earth,"" said Archbishop José H. Gomez of Los Angeles, president of the US Conference of Catholic Bishops in a statement this week.']"
66,['Susan B. Reynolds'],['Candler School of Theology'],"[""Susan B. Reynolds, a Catholic theologian, says she's noticed renewed interest in Lent among the Methodists she teaches at Candler School of Theology in Atlanta.""]"
67,['Cathleen Kaveny'],['Boston College'],"['Perhaps our lives now more closely resemble ancient anchorites, religious recluses who lived alone in rooms adjoining churches, said Cathleen Kaveny, a Catholic theologian at Boston College.']"
68,['Anthea Butler'],['the University of Pennsylvania'],"['""That is Lent,"" says Anthea Butler, a Catholic and scholar of religion at the University of Pennsylvania.']"
72,['Gardere'],['CNN'],"['""In this time of uncertainty and instability, and a world and existence we no longer recognize, people need an anchor to familiarity and what once brought them comfort, stability, safety, and happiness,"" Gardere said in an email to CNN.']"
73,['Stevens'],['the University of Kent'],"['""I\'m very apprehensive about what\'s happening right now and what\'s going to happen over the next few weeks to this group of our society who are extremely vulnerable, who\'ve been exposed to adverse experiences, neglect and abuse from childhood onwards, and now risk being put at the back of the queue for support when in fact, they should be in front of it,"" said Stevens, from the University of Kent.']"
74,['Anthony Fauci'],['the National Institute of Allergy and Infectious Diseases'],"['However, there is no ""definitive information to be able to make any comment,"" said Dr. Anthony Fauci, director of the National Institute of Allergy and Infectious Diseases, at the briefing.']"
75,['Fauci'],['Covid-19'],"['The relationship between lupus and Covid-19 is currently being studied in ""a natural history study,"" Fauci said.']"
76,['Causey'],"['Family Promise', 'the City of Little Rock']",['Causey says that Family Promise has been working with the City of Little Rock and other community members to get more stations in place.']
77,['Mark Mueller'],"['Mueller Dairy Farm', 'the Dairy Farmers of America']","['Mark Mueller, owner of Mueller Dairy Farm in Greenleaf says that on April 1, a driver from the Dairy Farmers of America informed them they had to dump 56,000 pounds of milk.']"
78,['Natasha Kassam'],"['Lowy Institute', 'WHO', 'WHO']","['Natasha Kassam, an expert on China, Taiwan and diplomacy at Australia\'s Lowy Institute, said that early on in the coronavirus pandemic, a lack of direct and timely channels to the WHO ""resulted in inaccurate reporting of cases in Taiwan,"" with WHO officials apparently relying on Beijing for numbers from the island.']"
79,['Hua Chunying'],"['Chinese Foreign Ministry', 'WHO']","['Speaking to reporters Friday, Chinese Foreign Ministry spokeswoman Hua Chunying, said that all sides clearly understand ""that WHO members have to be sovereign states.""']"
80,['Pence'],['FEMA'],"['And we are surging supplies, specifically ventilators, but all personal protective equipment from FEMA to those areas,"" Pence said.']"
81,['Kemp'],['Twitter'],"['However, Kemp posted photographs of Georgia beaches and lakes on his official Twitter account today saying, ""Photos from Tybee Island - \u2066@GaDNRLE and \u2066@ga_dps report no issues as they patrol the beach and surrounding areas.']"
82,['Kemp'],['Department of Natural Resources'],"[""After Kemp issued his shelter-in-place order, the state Department of Natural Resources put limits on beachgoers, saying they must practice social distancing and can't bring chairs, umbrellas or tents to the beach, at least through April 13.""]"
83,['Gimenez'],['Larkin Community Hospital'],"[""Two passengers needing immediate medical attention will be taken to Miami's Larkin Community Hospital, and an unspecified number of others also will be taken to hospitals soon, Gimenez said.""]"
84,['Gimenez'],['Centers of Disease Control and Prevention'],"[""About 15 other ill passengers who don't need immediate hospitalization will remain aboard for medical treatment until they are cleared for travel by the US Centers of Disease Control and Prevention, Gimenez said.""]"
85,['Eric Yuan'],['Zoom'],"[""Eric Yuan, the founder and CEO of Zoom, apologized to the video conferencing app's users for the privacy issues earlier this week, saying his team will stop adding new features for the next 90 days and instead focus solely on addressing privacy issues.""]"
86,['Yuan'],['Covid-19'],"['Yuan said over 90,000 schools across 20 countries have been using the platform for online teaching since the company offered its services free of charge to schools because of the Covid-19 pandemic.']"
89,['Abdulaziz bin Salman Al Saud'],['Saudi Press Agency'],"['The official Saudi Press Agency on Saturday said Saudi Energy Minister Prince Abdulaziz bin Salman Al Saud ""is still welcoming to anyone who wants to find solutions to the challenges of the oil market.""']"
90,['Fan'],"['Chicago White Sox', 'White Sox']","['The Fan wears a Chicago White Sox shirt while watching a baseball game on TV and says, ""If my White Sox win, you\'ve got to stay home.""']"
