,Name,Org,Sentence
0,['David Holtgrave'],['Albany University Public Health'],"['“Time is of the essence,’’ said Albany University Public Health Dean David Holtgrave, who is on the state’s research team, in a statement.']"
1,['Anna Bershteyn'],"['the Department of Population Health', 'NYU Langone']","['“Currently, there is no proven way to prevent COVID-19 after being exposed,” said Anna Bershteyn, an assistant professor with the Department of Population Health at NYU Langone and the study’s co-principal investigator.']"
2,['Anthony Fauci'],"['the National Institutes of Health', 'Northwell Health', 'Lenox Hill', 'Staten Island University', 'Maimonides Medical Center']","['But Dr. Anthony Fauci of the National Institutes of Health, asked recently whether the drug was considered a treatment for the novel coronavirus, said, “The answer is no … The evidence that you’re talking about … is anecdotal evidence.”\n\nMeanwhile, Northwell Health facilities — including Lenox Hill, Long Island Jewish and Staten Island University hospitals — and Maimonides Medical Center are giving moderately to seriously ill coronavirus patients certain antiviral drugs such as Sarilumab, an IL-6 inhibitor, and Remdesivir, a drug that incorporates itself into the genome.']"
3,['Ellis'],"['the European Court of Human Rights', 'the United Nations', '3M', 'Honeywell', 'White House']","['When you have intentional, cold-blooded premeditated action like you have with China, this would be considered first-degree murder.”\n\nEllis said the options under consideration include filing a complaint with the European Court of Human Rights or working “through the United Nations.”\n\nExecutives from 3M and Honeywell told US officials that the Chinese government in January began blocking exports of N95 respirators, booties, gloves and other supplies produced by their factories in China, according to a senior White House official.']"
4,['Naser'],['The Post'],"['Naser, 49, said he hadn’t personally seen the body bags but told The Post that “patients are dying every day, every moment.”\n\nHis patient load has more than doubled.']"
5,['David Behrbom'],['COVID-19'],"['City schoolteacher David Behrbom, whose family was battling red tape to get him pioneering therapy in his battle against COVID-19, died Sunday — just hours before a potential key breakthrough, his kin said.']"
6,['David Greenfield'],['Met Council'],"['“It’s a tragedy that these elderly survivors will be all alone for Passover,” David Greenfield of Met Council said in a statement.']"
7,['Mayley Prim'],['Uber'],"['“Passover seder is a celebration of perseverance and resilience, and that message feels more important now than ever,” said\xa0Uber public-affairs manager Mayley Prim.']"
8,['Rajbir Raju'],['Liquor-store'],"['But we get paid by the hour, thank God for that.”\n\nLiquor-store owner Rajbir Raju said the shuttered casinos have all but killed his business.']"
9,['Trump'],"['White House', 'White House', 'CoronaVirus Task Force']",['President Trump said he was meeting with the White House coronavirus task force Sunday and warned Americans that “a rough two weeks are coming up!”\n\n“I will be having a White House CoronaVirus Task Force meeting in a short while.']
10,['Hizzoner'],['City Hall'],"['“We have bought a few more days here,” Hizzoner said during a City Hall press briefing.']"
11,['Mark Esper'],"['Defense', 'Navy']","['US Defense Secretary Mark Esper on Sunday defended the removal of a Navy captain who blew the whistle about a coronavirus outbreak aboard his aircraft carrier, saying that’s “how we hold leaders accountable.']"
12,['Anthony Fauci'],['White House'],"['Dr. Anthony Fauci, an infectious disease expert on the White House coronavirus task force, said Sunday it is likely that the virus will become a seasonal illness.']"
13,['Adams'],"['Americans’', 'Fox News']","['“It’s tragically fitting that we’re talking at the beginning of Holy Week because this is going to be the hardest and the saddest week of most Americans’ lives,” Adams said on “Fox News Sunday.”\n\nThe US trails behind Italy and Spain — both of which grappled with earlier outbreaks — for the highest number of cumulative deaths, according to the tally.']"
14,['Bill de Blasio'],['Elmhurst'],"['On Friday, Mayor Bill de Blasio said Elmhurst would be among the hospitals to benefit from a shipment of 200,000 N95 respirators provided by the federal government.']"
15,['Joe Biden'],['Democratic National Convention'],['Joe Biden said Sunday the already rescheduled Democratic National Convention may have to be a “virtual” event because of social distancing guidelines amid the coronavirus pandemic.']
16,['Jerome Adams'],['Fox News'],"['“It’s tragically fitting that we’re talking at the beginning of Holy Week because this is going to be the hardest and the saddest week of most Americans’ lives,” Jerome Adams said on “Fox News Sunday.”\n\n“This is going to be our Pearl Harbor moment and our 9/11 moment only it’s not going to be localized, it’s going to be happening all over the country.”\n\nBut, he noted, that the “public along with the state and federal government has the power to change the trajectory of this epidemic,” referring to abiding by the stay-at-home measures and social distancing guidelines to contain the coronavirus outbreak.']"
17,['Gary Wagner'],"['the University of Louisiana at Lafayette', 'the Wall Street Journal']","['Gary Wagner, an economics professor at the University of Louisiana at Lafayette, said the parish of Orleans, which encompasses the Big Easy, saw a coronavirus death rate of 37.93 per 100,000 people as of Friday, the Wall Street Journal reported.']"
18,['Esper'],['CNN'],"['The bulk of them will go to the Javits Center, and then as of late yesterday we agreed to deploy a few hundred of them to 11 New York City hospitals that are also seeing a deficiency when it comes to medical staff,” Esper said on CNN’s “State of the Union” on Sunday.']"
19,['Dolan'],['The Post'],"['Dolan wrote in The Post that “Passover and Easter will be especially meaningful this week.”\n\nHe said “millions of Jews and Christians recall with awe that our God is Lord of life and death, and can bring good out of evil, healing from illness, life from death.”']"
20,['Johnny Boychuk'],['the Montreal Canadiens.AP Boychuk'],"['Islanders defenseman Johnny Boychuk takes a skate to the face against the Montreal Canadiens.AP\nBoychuk said he was back at home that night after getting stitched up, both on the inside and outside of his face.']"
21,['Cohen'],['White Plains Hospital'],"['But White Plains Hospital does not have a contract with the blood center for the plasma donations, and Cohen said its blood bank refused to write the necessary order to do it.']"
22,['Cohen'],['Post'],"['After The Post contacted the hospital, Cohen said he heard from a hospital official late Saturday afternoon that it would allow the procedure to go forward.']"
23,['Trump'],['FDA'],['“There’s a study out that says people with lupus are not catching this horrible virus … it’s a game-changer if it checks out.”\n\nThe FDA approved the drug for use in coronavirus patients on an emergency basis this week — and Trump said Saturday that there are 29 million doses of it in the national stockpile.']
24,['Brian Windhorst'],"['NBA', 'ESPN']","['“It is clear that the NBA is angling to set up a deal that enables them to shut the season down,” ESPN insider Brian Windhorst said Friday on “SportsCenter.”\n\n“They don’t have to do that yet.']"
25,['Gavin Newsom'],['NFL'],"['Gavin Newsom painted a different picture in his Saturday briefing, saying he does not anticipate the NFL opening on time with fans in the stands in his state.']"
26,['Adam Silver'],['NBA'],"['The NBA, which was the first league to suspend play, would like to take the lead in restarting the economy after public health officials approve, commissioner Adam Silver reportedly said on the call.']"
27,['Francesa'],"['Twitter', 'Funhouse', 'Entercom', 'WFAN']","['During a rare series of Twitter interactions on Saturday, Francesa said the decision to ban Funhouse from using his content came from Entercom, WFAN’s parent company.']"
28,['Francesa'],['Entercom'],"['On Thursday, during his half-hour show, Francesa expressed his displeasure with the situation and said Entercom was taking legal steps to prevent social media accounts from posting clips of the show.']"
29,['Bryant'],['the Hall of Fame'],['Bryant died about three weeks before the Hall of Fame said — as if there was going to be any doubt — that he was a finalist.']
30,['Jerry Colangelo'],['Hall of Fame'],"['“This is an incredibly special class, for many reasons,” Hall of Fame Chairman and enshrinee Jerry Colangelo said.']"
31,['Jeanie Buss'],['Lakers'],"['“No one deserves it more,” Lakers Governor Jeanie Buss said.']"
32,['Stevens'],['the Hall of Fame'],"['“The incredible emotions that I felt after receiving the call from the Hall of Fame Friday afternoon, I can’t even put into words,” Stevens said.']"
33,['Colangelo'],['FIBA'],"['“He was the head of FIBA and this was a way to honor him,” Colangelo said.']"
34,['Anasia Ventura'],['CityMD'],"['“The homeless people that are usually at Penn Station continue to approach people at very close distances and repeatedly ask for change,” said New Jersey resident Anasia Ventura, 24, who works as medical assistant at a CityMD in Manhattan.']"
35,['Patrick Warren'],"['MTA', 'COVID', 'DHS']","['The MTA’s Chief Safety Officer Patrick Warren said it “continues to pursue extensive homeless outreach during this emergency situation,” before noting the agency “expects the city will step up efforts to provide safe shelter so that subways are not used as a de facto shelter of last resort.”\n\nClose to 200 positive COVID patients were identified by DHS among sheltered and unsheltered homeless, and 11 homeless people have died as of Friday, according to the department.']"
36,['John Vincent Scalia'],['COVID-19'],"['“I’ve never seen anything like this,” said John Vincent Scalia, whose Staten Island funeral home has seen 19 COVID-19 cases in recent weeks, and counting.']"
37,['Cuomo'],['COVID-19'],"['“The shift is undeniable,” Cuomo said, calling Long Island the state’s newest COVID-19 hotspot.']"
38,['Trump'],['OPEC'],"['Trump, at his daily press briefing, said, “I don’t care about OPEC.']"
