,0,1,2,3,4
0,22,"'In criminal law, compare this to the levels that we have for murder,” said Jenna Ellis, a senior legal adviser to Trump’s re-election campaign.\n\n'",['Jenna Ellis'],['Trump’s'],New York Post
0,38,"'Naser, 49, said he hadn’t personally seen the body bags but told The Post that “patients are dying every day, every moment.'",['Naser'],['The Post'],New York Post
0,45,"'It’s a tragedy that these elderly survivors will be all alone for Passover,” David Greenfield of Met Council said in a statement.'",['David Greenfield'],['Met Council'],New York Post
0,45,"'I think it’s amazing what Met Council is doing,” Alex Budnitskiy, CEO of Marks Jewish Community House of Bensonhurst, told The Post.'",['Alex Budnitskiy'],"['The Post', 'Marks Jewish Community House of Bensonhurst']",New York Post
0,53,"'We haven’t seen it play out yet, but if you look at the economic numbers that are going to start coming out in the coming weeks, this portends to be a worse economic downturn than we even saw in the great recession,” Clyde Barrow, a professor at University of Texas Rio Grande Valley and an expert on the casino industry, told The Post.\n\n'",['Clyde Barrow'],"['Post.\\n\\n', 'University of Texas Rio Grande Valley']",New York Post
0,62,"'President Trump said he was meeting with the White House coronavirus task force Sunday and warned Americans that “a rough two weeks are coming up!”\n\n', 'Talks  meetings today are proving promising, but a rough two weeks are coming up!” the president wrote on Twitter.\n\n'",['Trump'],['the White House'],New York Post
0,69,"'We have bought a few more days here,” Hizzoner said during a City Hall press briefing.'",['Hizzoner'],['City Hall'],New York Post
0,84,"'I think Acting [Navy] Secretary [Thomas] Modly made a very tough decision, a decision that I support,” Esper said Sunday on CNN’s “State of the Union,”\xa0referring to Modly’s removal of Capt.'",['Thomas] Modly'],['Navy'],New York Post
0,133,"'It really just came about to spread positivity, good patient outcomes, how we’re really saving lives here at Lenox Hill and to kind of increase the morale and give us a little pep in our step,” Fawcett, 30, told The Post.\n\n'",['Fawcett'],['Post.\\n\\n'],New York Post
0,154,"'It’s an effective killer.”\n\nSpeculating as to what could account for the statistical “blip,” Cuomo suggested that New York may now be hitting the disease’s apex, which could be taking the form of a leveling out more than a sharp peak.\n\n'",['Cuomo'],['’s apex'],New York Post
0,183,"'The United States military will soon be running the largest hospital in the United States.”\n\nSpeaking at the White House’s coronavirus task force briefing on Saturday, President Trump promised the military was on its way to the Big Apple.\n\n'",['Trump'],"[""the Big Apple.\\n\\n'""]",New York Post
0,219,"'The next two weeks are extraordinarily important,” White House coronavirus response coordinator Deborah Birx warned at a press conference late Saturday.\n\n'",['Deborah Birx'],['White House'],New York Post
0,239,"'”\n\nLowe ends the video with some coronavirus advice — telling Turner to “stay safe, and put your mask on.'",['\\n\\nLowe'],['Turner'],New York Post
0,312,"'It is clear that the NBA is angling to set up a deal that enables them to shut the season down,” ESPN insider Brian Windhorst said Friday on “SportsCenter.'",['Brian Windhorst'],"['SportsCenter', 'ESPN']",New York Post
0,314,'The Fiend needs a big win after losing the Universal championship to Goldberg and beating “the greatest of all time” in Cena will deliver just that.',['Goldberg'],['Fiend'],New York Post
0,321,"'This is an incredibly special class, for many reasons,” Hall of Fame Chairman and enshrinee Jerry Colangelo said.\n\n\n'",['Jerry Colangelo'],['” Hall of Fame'],New York Post
0,326,"'The MTA’s Chief Safety Officer Patrick Warren said it “continues to pursue extensive homeless outreach during this emergency situation,” before noting the agency'","['Patrick Warren', 'Safety']",['MTA'],New York Post
0,335,"'In these scary times,” Hayward told the Post, “we are prepared.”'",['Hayward'],['Post'],New York Post
0,339,"'We are determining how best to collect this information in one place,” said DOE spokeswoman Miranda Barbot.\n\n'",['Miranda Barbot.\\n\\n'],['DOE'],New York Post
0,372,"'We found that this (spot) is usually hidden inside the virus, and only exposed when that part of the virus changes its structure, as it would in natural infection,” Wilson’s colleague, Meng Yuan, said in a statement.\n\n'",['Meng Yuan'],['Wilson’s'],New York Post
0,395,"'Using blue shop towels in homemade face masks can filter particles two to three times better than cotton, according to Lindsay Medoff, the CEO of Suay Sew Shop.\n\n'",['Lindsay Medoff'],"[""Suay Sew Shop.\\n\\n'""]",New York Post
0,395,"'So Schempf, Medoff, and Medoff’s business partner, Heather Pavlu, a co-owner of Suay Sew Shop, researched proper materials and found “by adding two blue shop towels and using a design that produces a tighter-fitting mask, they could make a mask that could block up to 95% of the particles, while the cotton masks blocked 20% to 60% of the particles,” according to Business Insider.\n\n'","['Schempf', 'Medoff', 'Heather Pavlu']",['Suay Sew Shop'],New York Post
0,428,"'As we draw on the love of each other, and our own humanity, we will certainly get through this, and somehow, even though this is so painful, we will be better off because of it,” former NYPD Transit Chief Joe Fox wrote in a post on his website titled, “Reflections During My COVID-19 Inflection”.\n\n'",['Joe Fox'],['NYPD'],New York Post
0,428,"'As we draw on the love of each other, and our own humanity, we will certainly get through this, and somehow, even though this is so painful, we will be better off because of it,” former NYPD Transit Chief Joe Fox wrote in a post on his website titled, “Reflections During My COVID-19 Inflection”.\n\n'",['Joe Fox'],['NYPD'],New York Post
0,435,"'My CEO is desperate to offer a helping hand with our equipped medical facilities and physicians, [nurse practitioners] and [physician assistants],” a Katsnelson employee wrote in a March 19 email to city Health Department Assistant Commissioner Jennifer Rakeman, state Bureau of Communicable Disease Control director Daniel Kuhles, state Division of Epidemiology director Debra Blog, and others.\n\n'","['Debra Blog', 'Katsnelson', 'Daniel Kuhles', 'Jennifer Rakeman']","['Division of Epidemiology', 'Bureau of Communicable Disease Control', 'Health Department']",New York Post
0,436,"'The Union will vigorously defend our dedicated members if they are disciplined for using N95 masks to protect themselves.”\n\nVincent Variale, who represents uniformed EMS officers, saying the FDNY was following inadequate guidelines from the Centers for Disease Control about mask use — to the peril of first responders.\n\n'",['Variale'],"['the Centers for Disease Control', 'EMS']",New York Post
0,478,"'I find that so offensive,” genetic researcher Sharon Moalem, MD, told The Post.'",['Sharon Moalem'],['The Post'],New York Post
0,495,"'We see unemployment rates in the US and Europe getting up well up into the teens,” Deutsche Bank’s Peter Hooper told Bloomberg.'","['Peter Hooper', 'Bloomberg']",['Deutsche Bank’s'],New York Post
0,496,"'We want to let people know that we are serious about this, that businesses that flagrantly violate this will be shut down short-term and prosecuted in the medium term as well,” Garcetti warned, saying the Department of Water and Power could potentially cut off service to shops refusing to shut down.\n\n'",['Garcetti'],['the Department of Water and Power'],New York Post
0,500,"'While many of our customers have been following the advice of the medical community regarding social distancing and safety, we have been concerned to still see some behaviors in our stores that put undue risk on our people,” Dacona Smith, Walmart’s executive vice president and COO, said in a statement Friday.\n\n'",['Dacona Smith'],"['COO', 'Walmart’s']",New York Post
0,521,"'This is an ever-changing situation and we intend to honor our contracts and continue to support the bus workforce while exploring ways to utilize these vehicles to serve the city during a crisis,” DOE spokeswoman Danielle Filson said in an email.\n\n'",['Danielle Filson'],['DOE'],New York Post
0,523,"'Bookies are “adjusting, innovating … and finding a market,” explained Dr. Timothy Fong, co-director of the UCLA Gambling Studies Program.'",['Timothy Fong'],['the UCLA Gambling Studies Program'],New York Post
0,531,"'With a study in China indicating the mortality rate among COVID-19 patients requiring mechanical ventilator at more than 85%, the world desperately needs a therapy that can help this patient population,” CytoDyn CEO Nader Pourhassan said in a statement.\n\n'",['Nader Pourhassan'],['CytoDyn'],New York Post
0,538,"'I think [Cuomo] is doing a hell of a job,” Biden told MSNBC on March 24.'",['Biden'],['MSNBC'],New York Post
0,573,"'Until it touches you, or touches somebody you know or you hear a story, you kind of feel removed from it,” Baker, president of Exclusive Sports Group, told CNN.\n\n'",['Baker'],['Exclusive Sports Group'],New York Post
0,579,"'Since we’re talking about the elderly being the most vulnerable, or people with underlying conditions, there is a theoretical benefit of doxycycline over azithromycin because doxycycline is not associated with cardiovascular disease,” said Dr. Sten H. Vermund, the dean of the Yale School of Public Health.\n\n'",['Sten H. Vermund'],"[""the Yale School of Public Health.\\n\\n'""]",New York Post
0,579,"'I am optimistic about this combination, but a well-designed clinical study is urgently needed to identify the appropriate patient population, optimize dosing regimen and assess the side effect profile of this combination therapy,” added Dr. Ryan Saadi, a Yale-trained infectious disease epidemiologist who is currently developing a ventilator technology at Quantaira Health.\n\n'","['Ryan Saadi', ""Quantaira Health.\\n\\n'""]",['Yale'],New York Post
0,624,"'The ability to carry out a prophylaxis trial will tell us whether plasma is effective in protecting our health care workers and first responders from COVID-19,” said Arturo Casadevall, a Johns Hopkins infectious disease expert, in a statement.\n\n'",['Arturo Casadevall'],['Johns Hopkins'],New York Post
0,633,"'This week’s missive from Margaret Huang, the group’s executive director, demands the feds “ensure everyone who requests access to testing can receive it” and complains that “those who are marginalized and at greater risk” will be “disproportionately affected.'",['Margaret Huang'],['’s'],New York Post
0,633,"'This week’s missive from Margaret Huang, the group’s executive director, demands the feds “ensure everyone who requests access to testing can receive it” and complains that “those who are marginalized and at greater risk” will be “disproportionately affected.'",['Margaret Huang'],['’s'],New York Post
0,644,"'As Maria Doulis of the Citizens Budget Commission put it, they “passed something akin to a wish list and punted to the state budget director to figure out what can and should happen later.'",['Maria Doulis'],['the Citizens Budget Commission'],New York Post
0,644,"'It wasn’t “a normal budget,” complained Senate Majority Leader Andrea Stewart-Cousins, “not even the budget we envisioned a month ago.'",['Andrea Stewart-Cousins'],['Senate'],New York Post
0,647,"'She telephoned me today and she said she had experienced an empty feeling in her soul for some time,” said Beslow, whose clients have included Demi Moore, the Duchess of York and supermodel Adriana Lima.\n\n'","['Demi Moore', ""Adriana Lima.\\n\\n'"", 'Beslow']",['the Duchess of York'],New York Post
0,648,"'I saw a video of someone making a mask out of a diaper, and you know, it actually worked,” says Dr. Deborah Spicehandler, co-chief of infectious diseases at Northern Westchester Hospital.\n\n'",['Deborah Spicehandler'],"[""Northern Westchester Hospital.\\n\\n'""]",New York Post
0,648,"'“Health-care workers on the front lines need the personal protective equipment,” Dr. Tania Elliott, spokesperson for the American College of Allergy, Asthma  '","[""Asthma  '"", 'Tania Elliott']",['the American College of Allergy'],New York Post
0,649,"'We are definitely worried,” Dr. Hans Kluge, the agency’s regional director for Europe, said on the Times’ daily podcast.'",['Hans Kluge'],['Times'],New York Post
0,649,"'We have very justifiable concerns right now about the mental health of this population,” Yulia Chentsova Dutton, a cultural psychology professor at Georgetown University, told The Washington Times.\n\n'",['Chentsova Dutton'],"[""The Washington Times.\\n\\n'"", 'Georgetown University']",New York Post
0,650,"'I’m definitely going to rethink how I handle knives in the future, and maybe not make knife art at all,” Erichsen said in a message to The Post after his spiky slip-up.\n\n'",['Erichsen'],['Post'],New York Post
0,670,"'This really adds up,” said de Blasio, who also gave a special shout out to Rihanna and her nonprofit the Clara Lionel Foundation for aiding the city’s public schools.'",['de Blasio'],"['the Clara Lionel Foundation', 'Rihanna']",New York Post
0,672,"'There’s no time to waste,” former Brooklyn Councilman David Greenfield, who is CEO of the Met Council, told The Post on Friday.\n\n'","['Brooklyn Councilman', 'David Greenfield']","['the Met Council', 'Post']",New York Post
0,674,"'Two inmates at the facility, including one of Christie’s former roommates, have died of the virus, according to Christie’s attorney, David Rangaviz.\n\n'","[""David Rangaviz.\\n\\n'""]",['Christie’s'],New York Post
0,700,"'If I can be provocative,” responded Jean-Paul Mira, head of intensive care at Cochin Hospital in Paris, “should'",['Jean-Paul Mira'],['Cochin Hospital'],New York Post
0,706,"'Speed is of the essence here for these types of small businesses,” Chief Executive Brian Moynihan said in a CNBC interview on Friday.'",['Brian Moynihan'],['CNBC'],New York Post
0,723,"'The first couple of weeks they were caught off guard and were unprepared,” said Vinny Perrone, President of Local 84 that represents UPS warehouse workers.'",['Vinny Perrone'],['Local 84'],New York Post
0,738,"'Even more layoffs could slam the sector given that last month’s losses account for just about 3 percent of the nation’s restaurant employment, according to Curt Long, chief economist and vice president of research at the National Association of Federally-Insured Credit Unions.\n\n'",['Curt Long'],"[""the National Association of Federally-Insured Credit Unions.\\n\\n'""]",New York Post
0,738,"'Most of us are surprised to see how drastic the drop is this early,” Glassdoor senior economist Daniel Zhao told The Post.'",['Daniel Zhao'],['Post'],New York Post
0,739,"'Zoom told The Washington Post in a statement that it provides hosts with information on how to bolster the privacy of their calls, and that it urges them to “to use extreme caution and be transparent with meeting participants, giving careful consideration to whether the meeting contains sensitive information and to participants’ reasonable expectation.'",['Zoom'],['The Washington Post'],New York Post
0,823,"'The searing loss is yet another reminder of the lethal danger of COVID-19.”\n\nBeck, meanwhile, said Friday that the on-duty death classification for DiFranco – who was hospitalized last weekend – was made with consideration that cops and first responders face greater risks to contract the coronavirus than the citizens they serve, the Tribune reports.\n\n'",['DiFranco'],['Tribune'],New York Post
0,826,"'Meanwhile, plasma infusion can be “a stopgap measure that we can put into place quickly,” said Washington University’s Dr. Jeffrey Henderson, who is working with a team of researchers to study the treatment.\n\n'",['Jeffrey Henderson'],['Washington University’s'],New York Post
0,836,"'Here we are, locked in, for who knows how long,” Pinzler, a 45-year-old theater professor, tells The Post.'",['Pinzler'],['Post'],New York Post
0,841,"'Jacobi Medical Center nurse Freda Ocran, both lost to COVID-19\n\n“Personal protective equipment and supplies are running low and being reused every day,” said Sasha Winslow, a union nurse working at the hospital.\n\n'",['Freda Ocran'],"['COVID-19\\n\\n', 'Jacobi Medical Center']",New York Post
0,841,"'Mike Pappas, a family medicine physician who helped organize rally and does not work at Mount Sinai, demanded that workers need “PPE and supplies now for every single healthcare worker — period.'",['Mike Pappas'],['Mount Sinai'],New York Post
0,841,"'In a Friday statement, Mount Sinai spokesman Jason Kaplan said keeping staff and patients safe “is our absolute number one mission right now.'",['Jason Kaplan'],['Mount Sinai'],New York Post
0,880,"'Marco Conner, staff attorney for Transportation Alternatives and Families for Safe Streets, told The Post the policy would be “unacceptable under normal circumstances.'",['Marco Conner'],"['Transportation Alternatives and Families for Safe Streets', 'Post']",New York Post
0,901,"'Birx said Tuesday that the White House modeling was “based on using very much what’s happened in Italy” and is informed by “five or six international and domestic modelers from Harvard, from Columbia, from Northeastern, from Imperial who helped us tremendously.'",['Birx'],['the White House'],New York Post
0,901,"'Birx said Tuesday that the White House modeling was “based on using very much what’s happened in Italy” and is informed by “five or six international and domestic modelers from Harvard, from Columbia, from Northeastern, from Imperial who helped us tremendously.'","['’s', 'Birx']",['the White House'],New York Post
0,922,"'I feel guilty about sleeping when doctors are in danger,” said Drozd, a 38-year-old Brooklyn artist who’s been using a 3D printer to churn out plastic face shields day and night for Big Apple healthcare workers.\n\n'",['Drozd'],['’s'],New York Post
0,933,"'Films that were slated to premiere at the fest included Judd Apatow and Pete Davidson’s “King of Staten Island,” as well as Kitao Sakurai’s hidden camera comedy “Bad Trip” with Eric Andre, Lil Rel Howery and Tiffany Haddish.'",['Judd Apatow'],['Pete Davidson’s'],New York Post
0,934,"'For my own mental health, I’ve just been resolved that I’m exposed and I run a very high risk of contracting it,” one American Airlines attendant told Mother Jones.'",['Mother Jones'],['American Airlines'],New York Post
0,936,"'The coronavirus pandemic demonstrates why we should get cleanup done once and for all,” said Jay Coghlan, executive director of Nuclear Watch New Mexico.'",['Jay Coghlan'],['Nuclear Watch New Mexico'],New York Post
0,936,"'This action is being taken out of an abundance of caution for the safety of employees and the community,” said Donavan Mager, a spokesman for Nuclear Waste Partnership, the contractor that runs the repository.\n\n'",['Donavan Mager'],['Nuclear Waste Partnership'],New York Post
0,952,"'This is a period of enormous stress,” Milkman told the Denver Post.'",['Milkman'],['the Denver Post'],New York Post
0,952,"'The fake cops may also be motivated by boredom or simply taking advantage of the chaos associated with the pandemic, according to Harvey Milkman, an emeritus professor of psychology at Metropolitan State University of Denver.\n\n'",['Harvey Milkman'],['Metropolitan State University'],New York Post
0,1031,"'”\n\nOn New Year’s Eve, she suggested something new career-wise was on the horizon when, on CNN’s “New Year’s Eve Live With Anderson Cooper and Andy Cohen,” she told the hosts that she was “taking back the life that I worked so hard for and sharing it with my family and you guys.”\n\n\n'",['Andy Cohen'],['CNN'],New York Post
0,1036,"'We think we can win [against] everybody, so we just come out and play hard,” Luwawu-Cabarrot said after scoring 13 points in the Nets’ last game, including 11 in a 17-5 third-quarter run to help power a win over LeBron James and the Lakers in Los Angeles on March 10.'",['LeBron James'],"['Nets', 'Lakers']",New York Post
0,1101,"'The current public health emergency does not justify the complete elimination of this right [to bear arms], especially during a time when many New Yorkers have valid concerns about their physical safety and welfare,” William A. Brewer III, a lawyer for the NRA, said in a statement.\n\n'",['William A. Brewer III'],['NRA'],New York Post
0,1115,'White House trade adviser Peter Navarro said\xa0 that the feds have had issues making sure the company’s products made around the world are “coming back here to the right places.',['Peter Navarro'],"['White House', '’s']",New York Post
0,1145,"'Our hearts and souls go out to those who are working on the front lines,” John D. Idol, chairman and CEO of Capri Holdings, said in a statement.'",['John D. Idol'],['Capri Holdings'],New York Post
0,1184,"'You suffer when you have this at home,” Cuomo told fellow CNN anchor Anderson Cooper and network chief medical correspondent, Dr. Sanjay Gupta.\n\n'","['Anderson Cooper', 'Cuomo', 'Sanjay Gupta.\\n\\n']",['CNN'],New York Post
0,1189,"'“Close the lid and then flush,” a mechanical engineering professor from Purdue University, Dr. Qingyan Chen, told Forbes.'","['Forbes', 'Qingyan Chen']",['Purdue University'],New York Post
0,1202,"'We’ve received a number of calls, texts, and Facebook messages expressing concern and asking about a post that was published on Facebook by Sapulpa Times this morning regarding our schools and students,” Sapulpa Public Schools said Wednesday on its official Facebook account.\n\n'",['Facebook'],['Sapulpa Public Schools'],New York Post
0,1204,"'“Angelo was beloved in our community because he lived his life for others,” said Father Joy Mampilly, the pastor of St. Anne’s.'",['Joy Mampilly'],['St. Anne’s'],New York Post
0,1212,"'I’m glad to help Pastor Spell in his fight to preserve our religious liberty,” Moore told Fox News.'",['Moore'],['Fox News'],New York Post
0,1213,"'The Yogi Bear Show,” has died at the age of 88 from coronavirus complications,\xa0her talent agent Mark Scroggs confirmed to Fox News.\n\n'",['Mark Scroggs'],"[""Fox News.\\n\\n'""]",New York Post
0,1228,"'He’s not smart, or articulate,” Amazon general counsel David Zapolsky said of Kelly in notes from an internal meeting of Amazon leadership obtained by the outlet.\n\n\n'",['David Zapolsky'],"['Amazon', 'Kelly']",New York Post
0,1248,"'If I’m blunt about it, it’s a joke,” Michael Dowling, the head of New York’s Northwell Health hospital system, told the Times.\n\n'",['Michael Dowling'],['Northwell Health'],New York Post
0,1250,"'We continue to work with the Panamanian authorities on approval to transit the Panama Canal for sailing to Fort Lauderdale,” spokesman Erik Elvejord told the Florida Sun-Sentinel.\n\n'",['Erik Elvejord'],"[""the Florida Sun-Sentinel.\\n\\n'""]",New York Post
0,1273,"'I would expect hospitals to argue that their obligations are to make sure they have adequate equipment in ordinary times, not in pandemic times,” I. Glenn Cohen, a bioethics expert at Harvard Law School, told Bloomberg.'","['I. Glenn Cohen', 'Bloomberg']",['Harvard Law School'],New York Post
0,1290,"'He’s not smart, or articulate,” Amazon general counsel David Zapolsky said in notes from an internal meeting of Amazon leadership obtained by the outlet.\n\n'",['David Zapolsky'],['Amazon'],New York Post
0,1297,"'“Large numbers of frail elderly and people with disabilities will be deprived of home care by these restrictive standards,” said longtime Assemblyman Dick Gottfried (D-Manhattan) who chairs the chamber’s healthcare committee.'",['Dick Gottfried'],"['’s healthcare', 'D-Manhattan']",New York Post
0,1301,"'These two viruses, which are closely related to SARS-CoV-2, teach us that a particular protein, called a spike protein, is important for inducing immunity against the virus,” read a statement from co-senior author Andrea Gambotto, M.D., associate professor of surgery at the Pitt School of Medicine.\n\n'",['Andrea Gambotto'],"[""the Pitt School of Medicine.\\n\\n'""]",New York Post
